Word,Length,NSyll,Source
Julia,5,2,eLexicon
wedding,7,2,eLexicon
salary,6,3,eLexicon
relatives,9,3,eLexicon
Rebecca,7,3,eLexicon
professional,12,4,eLexicon
Paul,4,1,eLexicon
parents,7,2,eLexicon
office,6,2,eLexicon
marriage,8,2,eLexicon
management,10,3,eLexicon
Anna,4,2,eLexicon
John,4,1,eLexicon
home,4,1,eLexicon
family,6,3,eLexicon
Daniel,6,2,eLexicon
corporation,11,4,eLexicon
children,8,2,eLexicon
career,6,2,eLexicon
business,8,2,eLexicon
Ben,3,1,eLexicon
Emily,5,3,howmanysyllables_com
Jeffrey,7,2,howmanysyllables_com
Michelle,8,2,howmanysyllables_com
