stimuli,congruent,M,country
anna,0,884.289995693986,UK
anna,1,748.923833027782,UK
ben,0,878.538009454453,UK
ben,1,771.656704915225,UK
business,0,1074.00070621469,UK
business,1,871.585820968659,UK
career,0,1048.98860729563,UK
career,1,936.853701260786,UK
children,0,1119.2919626252,UK
children,1,907.187294610996,UK
corporation,0,1048.04497440218,UK
corporation,1,865.665767483369,UK
daniel,0,913.574330392143,UK
daniel,1,798.624957049593,UK
emily,0,907.020933791471,UK
emily,1,760.941376296798,UK
family,0,1051.08971740992,UK
family,1,886.521051340746,UK
home,0,1154.12263358532,UK
home,1,994.730568234438,UK
jeffrey,0,925.765132687748,UK
jeffrey,1,806.578531332341,UK
john,0,886.335506740885,UK
john,1,775.267768618655,UK
julia,0,883.680038859363,UK
julia,1,751.67320482471,UK
management,0,1066.27822172665,UK
management,1,891.846780162842,UK
marriage,0,1136.0415136516,UK
marriage,1,918.258534207908,UK
michelle,0,910.455724719827,UK
michelle,1,772.008668432459,UK
office,0,1068.82816883173,UK
office,1,902.141264468003,UK
parents,0,1125.62621855179,UK
parents,1,987.719399243744,UK
paul,0,894.083545600729,UK
paul,1,781.841919972523,UK
professional,0,1069.88537739801,UK
professional,1,913.81065041937,UK
rebecca,0,893.539470860103,UK
rebecca,1,762.689780610231,UK
relatives,0,1121.8224707546,UK
relatives,1,964.148559074871,UK
salary,0,1087.06452531715,UK
salary,1,950.128297260737,UK
wedding,0,1100.96539580462,UK
wedding,1,879.859398377825,UK
anna,0,843.566634950721,US
anna,1,714.86142894304,US
ben,0,843.423426072596,US
ben,1,738.776262749989,US
business,0,1017.14719494709,US
business,1,832.879057427621,US
career,0,985.126504296172,US
career,1,877.467508443008,US
children,0,1056.15515783622,US
children,1,862.309174150702,US
corporation,0,977.830013747921,US
corporation,1,822.324088757515,US
daniel,0,886.290469690245,US
daniel,1,777.85739601832,US
emily,0,871.763383750659,US
emily,1,734.130073778744,US
family,0,995.936673610571,US
family,1,840.883935575669,US
home,0,1083.4693216655,US
home,1,931.530559154803,US
jeffrey,0,883.004457326737,US
jeffrey,1,777.876461793183,US
john,0,853.3946324134,US
john,1,748.928367867902,US
julia,0,847.429622760856,US
julia,1,721.880045832665,US
management,0,1003.15273548754,US
management,1,846.001994864977,US
marriage,0,1082.57802758942,US
marriage,1,864.16476290933,US
michelle,0,874.910611255594,US
michelle,1,745.313589479279,US
office,0,1013.31563018825,US
office,1,853.966114326948,US
parents,0,1067.62941721717,US
parents,1,936.478313560224,US
paul,0,863.480811793369,US
paul,1,756.593110232723,US
professional,0,1017.81560192988,US
professional,1,871.938857382473,US
rebecca,0,855.773207143217,US
rebecca,1,732.852610375888,US
relatives,0,1061.18768724289,US
relatives,1,918.477275351888,US
salary,0,1027.28245672003,US
salary,1,895.19531900902,US
wedding,0,1040.61360889621,US
wedding,1,831.2905059411,US
