First word,Second word,cosine distance
rebecca,career,0.3035305744186232
rebecca,family,0.209738338475419
rebecca,male,0.27993484776867716
rebecca,female,0.22539443862800168
michelle,career,0.38113384080862345
michelle,family,0.33415959841566556
michelle,male,0.37742678966900534
michelle,female,0.3226227461415341
emily,career,0.297198174818294
emily,family,0.25136421024797906
emily,male,0.314344231003278
emily,female,0.26288992556862667
julia,career,0.3134095512076843
julia,family,0.23259801735731278
julia,male,0.3000581202729079
julia,female,0.24701094308327742
anna,career,0.2746749894061977
anna,family,0.20723568609715037
anna,male,0.27798246334903953
anna,female,0.22665737374665085
ben,career,0.25065900514877537
ben,family,0.13369777216537004
ben,male,0.21087489224411116
ben,female,0.15739795740056584
paul,career,0.23417194296937904
paul,family,0.13903344211755164
paul,male,0.217937425248523
paul,female,0.16213522332001162
daniel,career,0.2449744849721156
daniel,family,0.14237976678823705
daniel,male,0.22816714093877988
daniel,female,0.16621485668075464
john,career,0.22854392563540094
john,family,0.11020894162428485
john,male,0.20148918017811301
john,female,0.14262769534344633
jeffrey,career,0.315981722198332
jeffrey,family,0.2828862124294569
jeffrey,male,0.3431249990900719
jeffrey,female,0.29249293094240236
career,career,0.0
career,family,0.20703062697310237
career,male,0.312843686727467
career,female,0.2547530593735816
corporation,career,0.34256016859620086
corporation,family,0.05475816737547967
corporation,male,0.16793781068122549
corporation,female,0.11454802745314596
salary,career,0.137540883676051
salary,family,0.08989034995128264
salary,male,0.18596959158054083
salary,female,0.12017484707089887
office,career,0.2926907969304341
office,family,0.04348421174379613
office,male,0.16774534030827848
office,female,0.11695625733183368
professional,career,0.1907121716356548
professional,family,0.04753971717119121
professional,male,0.15007147689440703
professional,female,0.07240383604243716
management,career,0.2884787120390211
management,family,0.05988397591975536
management,male,0.1732280219756288
management,female,0.10042459323825104
business,career,0.20826764588918978
business,family,0.02098494155134245
business,male,0.13095914432767253
business,female,0.06723301243548974
wedding,career,0.22482697546877362
wedding,family,0.07754261906352755
wedding,male,0.1762545985392462
wedding,female,0.12292205092313102
marriage,career,0.14813707722614877
marriage,family,0.0458392992294
marriage,male,0.1585030825283994
marriage,female,0.09230034283044741
parents,career,0.2510827315906117
parents,family,0.11682825266996455
parents,male,0.2303210332602219
parents,female,0.1649761049036247
relatives,career,0.3152126144735097
relatives,family,0.14682293992751494
relatives,male,0.2572011504752495
relatives,female,0.1848327426389993
family,career,0.20703062697310248
family,family,0.0
family,male,0.13075970273562543
family,female,0.06596139303510895
home,career,0.22439248744164997
home,family,0.11112389233950826
home,male,0.20934412672893943
home,female,0.15368553014764752
children,career,0.2694982223093796
children,family,0.06612994572614328
children,male,0.17289210566226498
children,female,0.11163180726585109
