First word,Second word,cosine distance
rebecca,career,0.45862636181493477
rebecca,family,0.5100170666879473
rebecca,male,0.475711725004046
rebecca,female,0.46843860562181194
michelle,career,0.47788447642901866
michelle,family,0.5436207499140944
michelle,male,0.50034467604046
michelle,female,0.49155002893295685
emily,career,0.4032438283612947
emily,family,0.4305559413865597
emily,male,0.40656693857803516
emily,female,0.40071675814155805
julia,career,0.3866637103106578
julia,family,0.42490591741511496
julia,male,0.40178535443551333
julia,female,0.39487578724717565
anna,career,0.36082155575166486
anna,family,0.38561675804633844
anna,male,0.37406182196227544
anna,female,0.3712646712647908
ben,career,0.33778269139890293
ben,family,0.371636071186476
ben,male,0.35648587365240414
ben,female,0.36479057695338024
paul,career,0.2657788536636151
paul,family,0.2656321046860699
paul,male,0.2986242134249104
paul,female,0.32101805285162965
daniel,career,0.3612876269264226
daniel,family,0.40297670084010584
daniel,male,0.39336022520479763
daniel,female,0.3950524933805055
john,career,0.2768015357529915
john,family,0.22688456579124894
john,male,0.30349793648190493
john,female,0.33006404472168327
jeffrey,career,0.4522913259689293
jeffrey,family,0.5212805457535779
jeffrey,male,0.4936788770354842
jeffrey,female,0.491443638491852
career,career,0.0
career,family,0.25083007973397864
career,male,0.2659040313524127
career,female,0.2794971893490221
corporation,career,0.3265939938654777
corporation,family,0.3489602889854021
corporation,male,0.35834036334661
corporation,female,0.371508016391061
salary,career,0.33697972016060973
salary,family,0.4011676183371049
salary,male,0.37180167443034573
salary,female,0.3735859203151797
office,career,0.25661610757188735
office,family,0.2119766166373206
office,male,0.2691693986182402
office,female,0.2929769589803828
professional,career,0.22109259205607223
professional,family,0.23697103067091863
professional,male,0.24927096133123572
professional,female,0.2629499930268475
management,career,0.26992694202801404
management,family,0.25631991328043313
management,male,0.2862836546844436
management,female,0.3041464815868381
business,career,0.24625836006606105
business,family,0.2028661638383148
business,male,0.25930090792883476
business,female,0.2841797055382559
wedding,career,0.3368537900736136
wedding,family,0.3498799140857941
wedding,male,0.3498455618071098
wedding,female,0.34993631937371894
marriage,career,0.2522897230391169
marriage,family,0.23378554475140334
marriage,male,0.2604294585526228
marriage,female,0.266358986908536
parents,career,0.2407169167870935
parents,family,0.18894746379149796
parents,male,0.21840932883482134
parents,female,0.23434085396457027
relatives,career,0.3141871755897786
relatives,family,0.3087826671071152
relatives,male,0.2968083715632417
relatives,female,0.3007154031876713
family,career,0.25083007973397875
family,family,0.0
family,male,0.2334109115158659
family,female,0.25474968377641904
home,career,0.25915671048779665
home,family,0.1735514069971421
home,male,0.24903160742671338
home,female,0.27825885731089295
children,career,0.2642886752472364
children,family,0.16620837135897937
children,male,0.22445175540571682
children,female,0.24466489450182205
