First word,Second word,cosine distance
rebecca,career,0.9157207572881868
rebecca,family,0.7090581977413885
rebecca,male,0.9359172758492433
rebecca,female,0.8693766957921851
michelle,career,0.8139549626824806
michelle,family,0.7308992596393261
michelle,male,0.9094894269909314
michelle,female,0.82515575549502
emily,career,0.9163516715717768
emily,family,0.6533295314643026
emily,male,0.8812088853573992
emily,female,0.7973253377782581
julia,career,0.9168446958782317
julia,family,0.7052303068673553
julia,male,0.8812195764780743
julia,female,0.7784181595004276
anna,career,0.8408646951622122
anna,family,0.7288780196849463
anna,male,0.8789316193704624
anna,female,0.7727208612964767
ben,career,0.8769855502231985
ben,family,0.7309419155747269
ben,male,0.9335286905304336
ben,female,0.9268461180104048
paul,career,0.8011134481972784
paul,family,0.7924785245357789
paul,male,0.9692417361738466
paul,female,0.933688405088605
daniel,career,0.8768138400293658
daniel,family,0.7004916682938724
daniel,male,0.9724404662891358
daniel,female,0.9661890201119347
john,career,0.742672726392378
john,family,0.7948091877855723
john,male,0.9910256760949697
john,female,0.9144264377772607
jeffrey,career,0.9463199143445292
jeffrey,family,0.9088885646196663
jeffrey,male,0.9723178279598119
jeffrey,female,0.9506881218251373
career,career,0.0
career,family,0.7404870888319077
career,male,0.8342250803577426
career,female,0.8131602134397284
corporation,career,0.9167817601564219
corporation,family,1.0115782047947943
corporation,male,1.0003788819596195
corporation,female,0.9959413112607269
salary,career,0.7027319402371273
salary,family,0.857685697855852
salary,male,0.8979365158766112
salary,female,0.9005297930870513
office,career,0.9145139348048148
office,family,0.771343315964597
office,male,0.9312468197916044
office,female,0.8765386758796099
professional,career,0.49265777457687465
professional,family,0.810192619277216
professional,male,0.727481423880606
professional,female,0.7099263761351886
management,career,0.7555401183049593
management,family,0.8758793070282517
management,male,0.9067091234502057
management,female,0.9283372125422853
business,career,0.6634740061719567
business,family,0.6854585260123212
business,male,0.9062978071156508
business,female,0.9234909268624162
wedding,career,0.8184857466765335
wedding,family,0.6236431894709368
wedding,male,0.9787380338128873
wedding,female,1.0185122500477497
marriage,career,0.7024260039789778
marriage,family,0.5945087778393174
marriage,male,0.8247847073742511
marriage,female,0.8438160512017698
parents,career,0.8104218373363847
parents,family,0.34786512944343695
parents,male,0.8103099183208604
parents,female,0.8477691517608446
relatives,career,1.00624343377949
relatives,family,0.3638379464726439
relatives,male,0.852662071220244
relatives,female,0.847025140850483
family,career,0.7404870888319077
family,family,0.0
family,male,0.8331513139566389
family,female,0.8694093325427193
home,career,0.8451893028235359
home,family,0.4137501102508333
home,male,0.9614245723608636
home,female,0.9666210092033464
children,career,0.8749856124989324
children,family,0.49433562404026765
children,male,0.8440201684974096
children,female,0.850469242971276
