First word,Second word,cosine distance
rebecca,career,0.3182427760728923
rebecca,family,0.38026365352989244
rebecca,male,0.35376890500054525
rebecca,female,0.34420809015189835
michelle,career,0.30961749809438344
michelle,family,0.3593687031935717
michelle,male,0.34231521446436597
michelle,female,0.33225922653709683
emily,career,0.3137651717783734
emily,family,0.36524646112420567
emily,male,0.33731721648493695
emily,female,0.3329387618773738
julia,career,0.31499652309516235
julia,family,0.3637559192289652
julia,male,0.3400471221040886
julia,female,0.32880759621039846
anna,career,0.30982115943713195
anna,family,0.36407731373231744
anna,male,0.3397786971966752
anna,female,0.3285871146665251
ben,career,0.26672815721937126
ben,family,0.260092575477085
ben,male,0.30712570247407367
ben,female,0.2983292103929499
paul,career,0.261577818216436
paul,family,0.21970521146391297
paul,male,0.32938337987714805
paul,female,0.31262246158365525
daniel,career,0.27969708582594943
daniel,family,0.3070621373174859
daniel,male,0.32522481630125744
daniel,female,0.3200562597343215
john,career,0.27913729249273556
john,family,0.20829874829909534
john,male,0.3484064957030951
john,female,0.3282708451266333
jeffrey,career,0.43927402944229155
jeffrey,family,0.5339947239285942
jeffrey,male,0.454483091196472
jeffrey,female,0.4492070593971016
career,career,1.1102230246251565e-16
career,family,0.2763089451321378
career,male,0.30793844326010034
career,female,0.29206130638034855
corporation,career,0.3658026593896262
corporation,family,0.4361939510576286
corporation,male,0.4056963243808668
corporation,female,0.40081495361786124
salary,career,0.37026325139540495
salary,family,0.46482329616876805
salary,male,0.41246377327069306
salary,female,0.4092917707789596
office,career,0.2684520735156194
office,family,0.23523758818193596
office,male,0.32382709527112274
office,female,0.3107540249092964
professional,career,0.22892542544709538
professional,family,0.2933364841174324
professional,male,0.2956702539191307
professional,female,0.28216110273806716
management,career,0.2898469222204171
management,family,0.3408965889308023
management,male,0.3440231205286539
management,female,0.33779011497187317
business,career,0.2532769311637475
business,family,0.19926005834679672
business,male,0.31922091099010785
business,female,0.30961548549790663
wedding,career,0.2831176212389477
wedding,family,0.28167951695424354
wedding,male,0.3308284460114521
wedding,female,0.32456057165593855
marriage,career,0.2769356471864258
marriage,family,0.2971982291263763
marriage,male,0.32411092171507083
marriage,female,0.32070456537675873
parents,career,0.25493391347459415
parents,family,0.20035903892397566
parents,male,0.2842268986908969
parents,female,0.2839663698975413
relatives,career,0.3492671211503051
relatives,family,0.3650710088372291
relatives,male,0.3516584135414229
relatives,female,0.3504161890635751
family,career,0.2763089451321378
family,family,0.0
family,male,0.3143670388739048
family,female,0.30683141289907856
home,career,0.2873581666050681
home,family,0.1572669024213056
home,male,0.33676642200879614
home,female,0.32390494985806284
children,career,0.2746464538562714
children,family,0.17624127039019477
children,male,0.3025144161961676
children,female,0.2935766364668462
