First word,Second word,cosine distance
rebecca,career,0.9823094927746661
rebecca,family,0.9977222039383847
rebecca,male,0.9693409208064657
rebecca,female,0.9721124765697119
michelle,career,0.9806794086786514
michelle,family,0.9940962137793696
michelle,male,0.9723547291578782
michelle,female,0.9720888956358825
emily,career,0.9787945565149792
emily,family,0.9902606215917361
emily,male,0.9642081995265905
emily,female,0.9662849227161818
julia,career,0.9868059612337788
julia,family,0.9935187228573272
julia,male,0.9773644244426827
julia,female,0.9757594891768746
anna,career,0.9840259400511504
anna,family,0.9938286448811854
anna,male,0.9759349867173811
anna,female,0.9696997366731562
ben,career,0.9791438733105451
ben,family,0.9695733298255926
ben,male,0.9691257766642654
ben,female,0.9712186875412356
paul,career,0.982765215475637
paul,family,0.9485972770116168
paul,male,0.9795246254635811
paul,female,0.9737905441758109
daniel,career,0.9811249014179365
daniel,family,0.980867146201361
daniel,male,0.9699836079514356
daniel,female,0.9714244367865739
john,career,0.9831706001784932
john,family,0.9324297860288258
john,male,0.9827694250012625
john,female,0.9790354902933667
jeffrey,career,1.0022181948717759
jeffrey,family,1.0045050031335185
jeffrey,male,0.9883827910579331
jeffrey,female,0.9826410521737567
career,career,2.220446049250313e-16
career,family,0.9694578209279524
career,male,0.963242527937435
career,female,0.9548347739147189
corporation,career,0.9704419653044787
corporation,family,0.9970251468404021
corporation,male,0.975569497278977
corporation,female,0.9750550213800344
salary,career,0.9661918166683322
salary,family,1.0091940226743854
salary,male,0.975945267586121
salary,female,0.9734283320324997
office,career,0.9525635618863648
office,family,0.9563993692024151
office,male,0.9704934544768072
office,female,0.9702352987474846
professional,career,0.9315168963720407
professional,family,0.9864879605448026
professional,male,0.9275334643224538
professional,female,0.9112195898280574
management,career,0.9521676620158406
management,family,0.9970093939278629
management,male,0.9636745846961735
management,female,0.9657565209609252
business,career,0.9401096395955989
business,family,0.9335011199034015
business,male,0.9760101274852504
business,female,0.9741619342424831
wedding,career,0.9504733406638248
wedding,family,0.9594370360733611
wedding,male,0.9661555440560889
wedding,female,0.9630868818995421
marriage,career,0.9283571738325725
marriage,family,0.9674336433581721
marriage,male,0.9611545764064282
marriage,female,0.966881485199195
parents,career,0.9589677505689979
parents,family,0.9259636078297477
parents,male,0.9628741280197339
parents,female,0.9656369398425884
relatives,career,0.9753705206471251
relatives,family,0.9626730342841939
relatives,male,0.9651511802576849
relatives,female,0.9685845609409874
family,career,0.9694578209279524
family,family,0.0
family,male,0.975133800799677
family,female,0.9787621749895178
home,career,0.9841004803428267
home,family,0.9150073368054958
home,male,1.0036611990318456
home,female,1.0064283760217818
children,career,0.9765091883972982
children,family,0.923013775416651
children,male,0.9728991142185693
children,female,0.9736356335263266
