First word,Second word,cosine distance
rebecca,career,0.7521852451993882
rebecca,family,0.6735509627523621
rebecca,male,0.8123215685692755
rebecca,female,0.7632476014945656
michelle,career,0.754338956917423
michelle,family,0.6442593522715705
michelle,male,0.7749780895319183
michelle,female,0.7509009481837297
emily,career,0.7799273435216219
emily,family,0.6388040507937593
emily,male,0.7808611160877761
emily,female,0.711053053195799
julia,career,0.8167373674982243
julia,family,0.6576951640887683
julia,male,0.7710327400568557
julia,female,0.7232528033844334
anna,career,0.7633270128402364
anna,family,0.7160733850567548
anna,male,0.8047219046073566
anna,female,0.7415539538234839
ben,career,0.7206893358937181
ben,family,0.6351741956014407
ben,male,0.7455162562801751
ben,female,0.7564838462063548
paul,career,0.6478443749698034
paul,family,0.6048585536023499
paul,male,0.7445895530969271
paul,female,0.7485756418172311
daniel,career,0.7096057433688878
daniel,family,0.6746300104209748
daniel,male,0.8267247836547975
daniel,female,0.844807305156672
john,career,0.6301884036485297
john,family,0.6493338906134071
john,male,0.770934761239622
john,female,0.7444211936537082
jeffrey,career,0.7673665822253585
jeffrey,family,0.7408805876114222
jeffrey,male,0.8185948536307145
jeffrey,female,0.8019614729309101
career,career,0.0
career,family,0.596077993207786
career,male,0.7197434932466631
career,female,0.7075611111910871
corporation,career,0.7615581680350605
corporation,family,0.7500228294402171
corporation,male,0.8468065366199373
corporation,female,0.8685443094015284
salary,career,0.6348963614658574
salary,family,0.7026144341440692
salary,male,0.8187471317922667
salary,female,0.8116998964561591
office,career,0.7041148222116012
office,family,0.602984294295547
office,male,0.7963900205550924
office,female,0.75410027018307
professional,career,0.4456664981630405
professional,family,0.6260778201809354
professional,male,0.686202768842465
professional,female,0.665828979391748
management,career,0.6387643946353806
management,family,0.682389066418859
management,male,0.7623667291830649
management,female,0.7900078706559813
business,career,0.5478612129383538
business,family,0.5322212409939651
business,male,0.722735500267262
business,female,0.7200496297144203
wedding,career,0.7097038555082826
wedding,family,0.5476976743046589
wedding,male,0.820187402946247
wedding,female,0.8528290266728138
marriage,career,0.6532479467663904
marriage,family,0.5772207238574611
marriage,male,0.772159014437748
marriage,female,0.789433427234709
parents,career,0.6704390691591229
parents,family,0.3201562605057896
parents,male,0.6762201617032593
parents,female,0.7285619465159403
relatives,career,0.8180695415281329
relatives,family,0.45436953818066894
relatives,male,0.7826877263750143
relatives,female,0.7835350513319661
family,career,0.596077993207786
family,family,0.0
family,male,0.6711875295250174
family,female,0.719845497978235
home,career,0.6187200972611093
home,family,0.3509627049337877
home,male,0.769969396596888
home,female,0.7275170818131056
children,career,0.7068265979752182
children,family,0.4058854810448188
children,male,0.7141369769237162
children,female,0.7536815433761164
