First word,Second word,cosine distance
rebecca,career,0.6911139703931349
rebecca,family,0.5795643767919474
rebecca,male,0.7348459461357213
rebecca,female,0.6466622053300675
michelle,career,0.6890519014033971
michelle,family,0.5618966667966044
michelle,male,0.7754172886702532
michelle,female,0.722215696808002
emily,career,0.703686991213572
emily,family,0.5428172958008852
emily,male,0.7363809933938376
emily,female,0.6655109827392962
julia,career,0.6701347285914144
julia,family,0.5671982460305641
julia,male,0.828937354973129
julia,female,0.7727618667602077
anna,career,0.746029560186902
anna,family,0.5553482647650712
anna,male,0.7684642948726024
anna,female,0.7203722447428988
ben,career,0.7542050592323601
ben,family,0.6522668361936179
ben,male,0.7838519341606063
ben,female,0.7312782556202391
paul,career,0.6690032840396783
paul,family,0.6185543123290312
paul,male,0.7502737807765626
paul,female,0.7017274807962883
daniel,career,0.8216625617125581
daniel,family,0.654520936667826
daniel,male,0.7993729629974957
daniel,female,0.7469275919010527
john,career,0.7079617799360044
john,family,0.5794194046967929
john,male,0.7462431980706342
john,female,0.7054649481075355
jeffrey,career,0.8146830886263001
jeffrey,family,0.6746330823818645
jeffrey,male,0.8210384565890354
jeffrey,female,0.7846028205129849
career,career,2.220446049250313e-16
career,family,0.5564485473882606
career,male,0.7045339149961883
career,female,0.6544241752069544
corporation,career,0.6426758127022583
corporation,family,0.6421326632900355
corporation,male,0.8950879248781084
corporation,female,0.8601518656282444
salary,career,0.5515657978485932
salary,family,0.7579476186124356
salary,male,0.7639272076207364
salary,female,0.7492340378572355
office,career,0.6292816315581852
office,family,0.5414832965216845
office,male,0.7429482935080932
office,female,0.6987213086217998
professional,career,0.3975620419880681
professional,family,0.5334241096719102
professional,male,0.6022696119422156
professional,female,0.5476558339746787
management,career,0.5646888288515937
management,family,0.5799379145522442
management,male,0.6925283358320717
management,female,0.662386326524345
business,career,0.4274183440822711
business,family,0.4366533486632975
business,male,0.7004871935303498
business,female,0.6623586584517963
wedding,career,0.5977300524691342
wedding,family,0.542504961013602
wedding,male,0.7392241027170794
wedding,female,0.7385037047353036
marriage,career,0.5227138523722433
marriage,family,0.40020066842649493
marriage,male,0.6134480254929089
marriage,female,0.6389794539948659
parents,career,0.5478531851649995
parents,family,0.2967225307073029
parents,male,0.5449744283885121
parents,female,0.5404799731148622
relatives,career,0.6688430478281633
relatives,family,0.26241393482479347
relatives,male,0.5285242428454611
relatives,female,0.547180744239335
family,career,0.5564485473882606
family,family,0.0
family,male,0.5416079565611014
family,female,0.5577318595743007
home,career,0.5600285722932001
home,family,0.37424164543900806
home,male,0.6457932051546449
home,female,0.6130998774610736
children,career,0.5905183017093146
children,family,0.364723945769282
children,male,0.5768918659560032
children,female,0.5531837028263749
