First word,Second word,cosine distance
rebecca,career,0.12825197759042528
rebecca,family,0.06121308752197774
rebecca,male,0.09954843454325168
rebecca,female,0.09040487284193888
michelle,career,0.12031559171672779
michelle,family,0.06842180737613834
michelle,male,0.10498237761256157
michelle,female,0.09824632764682106
emily,career,0.11966160652334945
emily,family,0.05803573456094313
emily,male,0.0946186986899532
emily,female,0.08633463211353387
julia,career,0.12134536133968343
julia,family,0.050925307142763776
julia,male,0.08942522976903156
julia,female,0.07963174174665422
anna,career,0.11714847615869228
anna,family,0.0526530550640647
anna,male,0.09025044962531403
anna,female,0.08120736779769411
ben,career,0.12192632266834758
ben,family,0.041499782290441045
ben,male,0.08035607003925038
ben,female,0.07170508581470336
paul,career,0.12443023267031617
paul,family,0.04776263655587243
paul,male,0.0882770455904297
paul,female,0.07863678408841934
daniel,career,0.11366663185061576
daniel,family,0.04278115965869289
daniel,male,0.08137358092208735
daniel,female,0.07257711194507133
john,career,0.14124743578379306
john,family,0.048048550068619855
john,male,0.08872450814958976
john,female,0.07738866811974343
jeffrey,career,0.15438899275539664
jeffrey,family,0.06525560846749456
jeffrey,male,0.10093362122435068
jeffrey,female,0.0904365050616941
career,career,0.0
career,family,0.08847172531262881
career,male,0.11909728201536907
career,female,0.11714531631910885
corporation,career,0.17633376777197096
corporation,family,0.055997111595630256
corporation,male,0.0929037691293928
corporation,female,0.07977330110947356
salary,career,0.1197837604914972
salary,family,0.09436325820425773
salary,male,0.11577147376655383
salary,female,0.11345173332058323
office,career,0.1978195256849764
office,family,0.06072330635047607
office,male,0.11467238603185048
office,female,0.10076497673571505
professional,career,0.07268488805920892
professional,family,0.044606056553740836
professional,male,0.07752496864810865
professional,female,0.07009518585854257
management,career,0.14588861170468825
management,family,0.05753812169191175
management,male,0.10199569301552847
management,female,0.08969777790357425
business,career,0.08228744829629486
business,family,0.023732810301419383
business,male,0.07027547573929471
business,female,0.0604124416626447
wedding,career,0.13689556610114606
wedding,family,0.10229971953290262
wedding,male,0.14642392469050003
wedding,female,0.14023332209358352
marriage,career,0.08680156944076434
marriage,family,0.020594306513507465
marriage,male,0.05890924390825503
marriage,female,0.04895307392220061
parents,career,0.13211950756602242
parents,family,0.06947084252382496
parents,male,0.12733012805314003
parents,female,0.11915342510511584
relatives,career,0.1689642208846016
relatives,family,0.07988292087649407
relatives,male,0.14743457536342108
relatives,female,0.1379098057358864
family,career,0.08847172531262881
family,family,0.0
family,male,0.05422765758575232
family,female,0.04434087395246045
home,career,0.09957080748773872
home,family,0.04125280620560756
home,male,0.09025876231849339
home,female,0.08243006474004688
children,career,0.12712400391413892
children,family,0.04787471170993607
children,male,0.10252202147927192
children,female,0.09075266600076437
