First word,Second word,cosine distance
rebecca,career,0.33888375302575613
rebecca,family,0.4029382693532457
rebecca,male,0.3936987266931833
rebecca,female,0.3785992721871628
michelle,career,0.3417869129123501
michelle,family,0.41248501796175185
michelle,male,0.39540850632671964
michelle,female,0.3813460053161024
emily,career,0.3497340077537924
emily,family,0.40670997344099225
emily,male,0.3921188936387724
emily,female,0.3783637740049999
julia,career,0.32677303926913526
julia,family,0.39177570662986894
julia,male,0.3873706027029299
julia,female,0.37178938112313864
anna,career,0.31651064757246894
anna,family,0.363014148465162
anna,male,0.3677468408219553
anna,female,0.35121546417396987
ben,career,0.2952865119327649
ben,family,0.324871356862274
ben,male,0.34745885806841026
ben,female,0.3330841490619587
paul,career,0.28764157558129
paul,family,0.27463453514182645
paul,male,0.35368372161942807
paul,female,0.3366386897049418
daniel,career,0.29654978814011435
daniel,family,0.32785663674360954
daniel,male,0.346025300358239
daniel,female,0.33199103033845623
john,career,0.33778531015155777
john,family,0.27556203447924077
john,male,0.3967704481268044
john,female,0.3805087637545276
jeffrey,career,0.3778501589767922
jeffrey,family,0.4523921072967956
jeffrey,male,0.42904599948456357
jeffrey,female,0.4202421602256906
career,career,0.0
career,family,0.27021396584451496
career,male,0.29794928139657917
career,female,0.27594434298313675
corporation,career,0.30772943309668
corporation,family,0.363976981337778
corporation,male,0.3772092321078845
corporation,female,0.3683927346756263
salary,career,0.3297492153171694
salary,family,0.4271978625748817
salary,male,0.40820041752795744
salary,female,0.40120977759081655
office,career,0.29758226486299477
office,family,0.2706777553873104
office,male,0.36379091435393107
office,female,0.35180283442891536
professional,career,0.21250475236260025
professional,family,0.2686173698615727
professional,male,0.31019720087895375
professional,female,0.29185808663581736
management,career,0.27870276159977914
management,family,0.2927603200759956
management,male,0.357821564160951
management,female,0.3452013950168954
business,career,0.26050082217899595
business,family,0.255736936781336
business,male,0.3509514099532187
business,female,0.3348266625230564
wedding,career,0.3076774246126469
wedding,family,0.33121853286025293
wedding,male,0.34763271827836617
wedding,female,0.33309898921636594
marriage,career,0.270256982941546
marriage,family,0.2890476426178694
marriage,male,0.304123764285974
marriage,female,0.2933932162594365
parents,career,0.23286135404993769
parents,family,0.22575458125374226
parents,male,0.26571315907183213
parents,female,0.2533948828139855
relatives,career,0.3158624002719904
relatives,family,0.34228459442416315
relatives,male,0.3148208161758982
relatives,female,0.3105348677635581
family,career,0.27021396584451485
family,family,1.1102230246251565e-16
family,male,0.299299918800464
family,female,0.28575840582833867
home,career,0.28841228481877335
home,family,0.2194307011861084
home,male,0.33188129909205366
home,female,0.3158013637926974
children,career,0.27444481206098814
children,family,0.2048130110264218
children,male,0.2931120876831308
children,female,0.27862833569603207
