First word,Second word,cosine distance
rebecca,career,0.9826873047609729
rebecca,family,0.9819297199720242
rebecca,male,0.9827395325947084
rebecca,female,0.9778621135931648
michelle,career,0.9820148349202347
michelle,family,0.9846853744333172
michelle,male,0.9842681368067012
michelle,female,0.9791371265974855
emily,career,0.9835178105412092
emily,family,0.9799352673603701
emily,male,0.980812273911509
emily,female,0.9762336441516276
julia,career,0.9812469829536226
julia,family,0.9821813532913068
julia,male,0.9832052136997868
julia,female,0.9792637495385005
anna,career,0.9829393453453119
anna,family,0.9817949848711451
anna,male,0.9832889387037774
anna,female,0.9773580138551956
ben,career,0.982083807799336
ben,family,0.9836240867031523
ben,male,0.9824619522672329
ben,female,0.980014732238893
paul,career,0.9774956517217468
paul,family,0.9771143785591963
paul,male,0.9846856365259468
paul,female,0.9828620788343515
daniel,career,0.9802962351012728
daniel,family,0.9814690030863659
daniel,male,0.9825784754858599
daniel,female,0.9794201109537998
john,career,0.9793864544454869
john,family,0.9658937194268842
john,male,0.9864993762095555
john,female,0.9859693982580078
jeffrey,career,0.9863744446289461
jeffrey,family,0.9880703658040565
jeffrey,male,0.9870937499422163
jeffrey,female,0.9847776748402608
career,career,2.220446049250313e-16
career,family,0.9873676238186981
career,male,0.987693455413815
career,female,0.984633426470854
corporation,career,0.9886204434729627
corporation,family,0.9923433562409152
corporation,male,0.9921435164258021
corporation,female,0.9918640581036299
salary,career,0.9865913752737553
salary,family,0.9954954377815708
salary,male,0.9940042204445939
salary,female,0.9938495619872743
office,career,0.9916014011677952
office,family,0.9897558819306362
office,male,0.9943042868654521
office,female,0.9946865806569058
professional,career,0.9720315557466821
professional,family,0.9906746619377691
professional,male,0.9886938282998906
professional,female,0.9863644993536309
management,career,0.9810748745956208
management,family,0.9932795039635
management,male,0.9957758684648587
management,female,0.995266169276913
business,career,0.9824206483474707
business,family,0.9871551634793574
business,male,0.9967140547950628
business,female,0.9956548104320293
wedding,career,0.990118357050527
wedding,family,0.9875222763475168
wedding,male,0.9897610387056305
wedding,female,0.9883088680208924
marriage,career,0.9827059899486265
marriage,family,0.9693528247266279
marriage,male,0.9779962303673245
marriage,female,0.9763784728490716
parents,career,0.9873765700051139
parents,family,0.9720154392062335
parents,male,0.9828688583362778
parents,female,0.9817770902209288
relatives,career,0.9916287169088843
relatives,family,0.9727788086124886
relatives,male,0.9757140906328041
relatives,female,0.9763592565025405
family,career,0.9873676238186981
family,family,1.1102230246251565e-16
family,male,0.9845016159543477
family,female,0.9857230393191245
home,career,0.9898265683592475
home,family,0.9763543035093899
home,male,0.9922066912063263
home,female,0.9917293310959222
children,career,0.9923769458837411
children,family,0.9716781773649129
children,male,0.9857270351888626
children,female,0.986264127491487
