First word,Second word,cosine distance
rebecca,career,0.37825668217695585
rebecca,family,0.33240799952832023
rebecca,male,0.4846596355278111
rebecca,female,0.44336496398884795
michelle,career,0.3971787656749747
michelle,family,0.3406875275625737
michelle,male,0.5099231681234647
michelle,female,0.46216340422875646
emily,career,0.45786813445417607
emily,family,0.300792905367133
emily,male,0.39959273066639434
emily,female,0.3733107170608745
julia,career,0.4201844757334414
julia,family,0.30912250234975003
julia,male,0.4966089962024547
julia,female,0.45570052730948085
anna,career,0.3820382152024636
anna,family,0.2919709459381725
anna,male,0.47937102444434965
anna,female,0.44061362914842384
ben,career,0.4165222026073423
ben,family,0.47557551432398815
ben,male,0.598732848367605
ben,female,0.5575345467215699
paul,career,0.42846492774193234
paul,family,0.4887219963637973
paul,male,0.5942863011673354
paul,female,0.5779017007693401
daniel,career,0.4120755942743054
daniel,family,0.43136166849221913
daniel,male,0.5835583757700262
daniel,female,0.5482928504655039
john,career,0.40738242525184765
john,family,0.39841950007628535
john,male,0.6224365074181948
john,female,0.6026942696083535
jeffrey,career,0.5763557720017738
jeffrey,family,0.53025822540457
jeffrey,male,0.6698332853118557
jeffrey,female,0.6344549862985247
career,career,1.1102230246251565e-16
career,family,0.42094261865983873
career,male,0.5668688330949541
career,female,0.5072894443412387
corporation,career,0.500274281816839
corporation,family,0.5566932773735827
corporation,male,0.7750883406387928
corporation,female,0.7357121370725872
salary,career,0.3191235605211269
salary,family,0.5875672163221639
salary,male,0.6333525895379959
salary,female,0.6071741639850186
office,career,0.403594231917749
office,family,0.4029163243023801
office,male,0.6984726924256552
office,female,0.6781903716211563
professional,career,0.1793734892315405
professional,family,0.37992154059818584
professional,male,0.5511755502981395
professional,female,0.5009297452952424
management,career,0.3085059932541028
management,family,0.5278456849672517
management,male,0.7249727519407387
management,female,0.6731374005201131
business,career,0.24854953178146288
business,family,0.41544216697795255
business,male,0.6988830727828711
business,female,0.6468464159781848
wedding,career,0.5629430658916834
wedding,family,0.34553642598807754
wedding,male,0.6426141117025771
wedding,female,0.6084163353508873
marriage,career,0.48145639714500577
marriage,family,0.20099393061807347
marriage,male,0.4241075354772289
marriage,female,0.4095586504717551
parents,career,0.4623860456042731
parents,family,0.1764028514663335
parents,male,0.4278889797861042
parents,female,0.42435116700092956
relatives,career,0.5841925390903863
relatives,family,0.16232723912167313
relatives,male,0.4093363660389032
relatives,female,0.4126591544556376
family,career,0.42094261865983884
family,family,1.1102230246251565e-16
family,male,0.39345864806247954
family,female,0.3732987320688895
home,career,0.31957849716120335
home,family,0.20667779270240705
home,male,0.5821892946593303
home,female,0.5410813397067465
children,career,0.5155528248517425
children,family,0.1842777367402776
children,male,0.41749208042814345
children,female,0.41158047219865934
