First word,Second word,cosine distance
rebecca,career,0.625156044960022
rebecca,family,0.5313531458377838
rebecca,male,0.6489252150058746
rebecca,female,0.6433333456516266
michelle,career,0.5645269751548767
michelle,family,0.568657785654068
michelle,male,0.6340684294700623
michelle,female,0.5957334041595459
emily,career,0.6564015746116638
emily,family,0.5288222134113312
emily,male,0.6626063883304596
emily,female,0.6437291502952576
julia,career,0.5936431586742401
julia,family,0.5721180737018585
julia,male,0.705898106098175
julia,female,0.6838985085487366
anna,career,0.6391509175300598
anna,family,0.5147977471351624
anna,male,0.6717600524425507
anna,female,0.6688431799411774
ben,career,0.7327230274677277
ben,family,0.7187337279319763
ben,male,0.7897142469882965
ben,female,0.7970061004161835
paul,career,0.6910979747772217
paul,family,0.7083888947963715
paul,male,0.8210921734571457
paul,female,0.8279950171709061
daniel,career,0.7073091268539429
daniel,family,0.6755394637584686
daniel,male,0.7729912549257278
daniel,female,0.7731944620609283
john,career,0.6934123039245605
john,family,0.6668484508991241
john,male,0.7772820144891739
john,female,0.8014625608921051
jeffrey,career,0.5948386788368225
jeffrey,family,0.5673030316829681
jeffrey,male,0.6661701798439026
jeffrey,female,0.6732349395751953
career,career,0.0
career,family,0.5699014365673065
career,male,0.627714604139328
career,female,0.6210146546363831
corporation,career,0.6497615277767181
corporation,family,0.6840161085128784
corporation,male,0.8379235118627548
corporation,female,0.8840037286281586
salary,career,0.4600943922996521
salary,family,0.6099238991737366
salary,male,0.6225899755954742
salary,female,0.6045175194740295
office,career,0.652241587638855
office,family,0.6517249345779419
office,male,0.7425250709056854
office,female,0.7283646762371063
professional,career,0.419098436832428
professional,family,0.6006674468517303
professional,male,0.5047903656959534
professional,female,0.4873597025871277
management,career,0.5527317225933075
management,family,0.6227339208126068
management,male,0.6601940095424652
management,female,0.679701030254364
business,career,0.46243202686309814
business,family,0.5045811533927917
business,male,0.6417587399482727
business,female,0.668517142534256
wedding,career,0.6352301836013794
wedding,family,0.5323025286197662
wedding,male,0.7201542854309082
wedding,female,0.6964947581291199
marriage,career,0.4933662414550781
marriage,family,0.42058706283569336
marriage,male,0.6126895248889923
marriage,female,0.6160485744476318
parents,career,0.5966386198997498
parents,family,0.37155842781066895
parents,male,0.5169625282287598
parents,female,0.49881964921951294
relatives,career,0.6617879271507263
relatives,family,0.3463725447654724
relatives,male,0.4978129267692566
relatives,female,0.4872196316719055
family,career,0.5699014365673065
family,family,0.0
family,male,0.5476288497447968
family,female,0.56535205245018
home,career,0.58433997631073
home,family,0.4842851161956787
home,male,0.6265155076980591
home,female,0.642362505197525
children,career,0.6095443665981293
children,family,0.4580080509185791
children,male,0.5418132841587067
children,female,0.5382768511772156
