First word,Second word,cosine distance
rebecca,career,0.9883509445350108
rebecca,family,0.9881343838704716
rebecca,male,0.989996523154941
rebecca,female,0.9908745430361962
michelle,career,0.9909085715061717
michelle,family,0.9916696957562975
michelle,male,0.9876106462777154
michelle,female,0.9853620956850698
emily,career,0.9891930728455779
emily,family,0.9868237695103333
emily,male,0.9853753400312889
emily,female,0.9842677548218763
julia,career,0.9879871223710579
julia,family,0.9859767315338017
julia,male,0.9867810051763438
julia,female,0.9854587937812966
anna,career,0.9865476612212271
anna,family,0.9861285865167997
anna,male,0.9862367574723612
anna,female,0.9827874107863507
ben,career,0.987267961263728
ben,family,0.9859687516288095
ben,male,0.9870424533203878
ben,female,0.9883809003048002
paul,career,0.9811470576423574
paul,family,0.9717200382038824
paul,male,0.9780834587825599
paul,female,0.9828468287018078
daniel,career,0.9900131850926132
daniel,family,0.9869203394963019
daniel,male,0.98557187756484
daniel,female,0.985099379898911
john,career,0.980936533114867
john,family,0.957828050674535
john,male,0.9820700523820305
john,female,0.985182039229442
jeffrey,career,0.9925075195746408
jeffrey,family,0.9867588569331325
jeffrey,male,0.9873936025541146
jeffrey,female,0.9894178603921396
career,career,0.0
career,family,0.9771349072048325
career,male,0.9717943097784909
career,female,0.9712639855899433
corporation,career,0.9850867055021816
corporation,family,0.9850715097230011
corporation,male,0.9900612497312778
corporation,female,0.9899846285448706
salary,career,0.9638583025132862
salary,family,0.9867737740948885
salary,male,0.9843985933202528
salary,female,0.9822694754811143
office,career,0.9780283798493105
office,family,0.9798947897562746
office,male,0.9823915515150503
office,female,0.9835070794004506
professional,career,0.94712911762923
professional,family,0.973704138258257
professional,male,0.9493226585801817
professional,female,0.945497136151404
management,career,0.9727342813879143
management,family,0.9810550500205599
management,male,0.9762111957456525
management,female,0.9800363237137109
business,career,0.9596415118368005
business,family,0.9688351731574949
business,male,0.9778202142354071
business,female,0.9761104686012891
wedding,career,0.9814828032076571
wedding,family,0.9742725107548246
wedding,male,0.983418447007959
wedding,female,0.9841741884966588
marriage,career,0.9430591283554699
marriage,family,0.9668650706173327
marriage,male,0.9719835638818572
marriage,female,0.9755006197771257
parents,career,0.9744278258702134
parents,family,0.9567495381985859
parents,male,0.9694033719981819
parents,female,0.968569803104528
relatives,career,0.981954315965477
relatives,family,0.9641782839364387
relatives,male,0.971262857185774
relatives,female,0.9699713501984262
family,career,0.9771349072048325
family,family,0.0
family,male,0.9686392145278245
family,female,0.9718765515422759
home,career,0.9779592009104795
home,family,0.9744246785642959
home,male,0.9782785436457793
home,female,0.98282839471315
children,career,0.9825416477724548
children,family,0.9702144609303464
children,male,0.9715564716780112
children,female,0.9712381135083821
