First word,Second word,cosine distance
rebecca,career,0.9948128176195151
rebecca,family,0.9985601929551965
rebecca,male,0.9999245954827677
rebecca,female,0.9995039676784476
michelle,career,0.9992467864367649
michelle,family,0.999011196661476
michelle,male,0.9998209003203212
michelle,female,0.997636380176156
emily,career,0.9996502845451747
emily,family,0.9953599564571279
emily,male,0.9966963703107584
emily,female,0.9965984506360497
julia,career,0.9997007723390159
julia,family,0.9986070329658244
julia,male,0.9995816830271357
julia,female,0.99913860424815
anna,career,0.9987639157583339
anna,family,0.9913653171535332
anna,male,0.999522699724469
anna,female,0.9975641957206481
ben,career,0.989303387332604
ben,family,0.9954151021412925
ben,male,0.9996413288296804
ben,female,0.9993223009506447
paul,career,0.9961681552835612
paul,family,0.9927469555983811
paul,male,0.9970615645557185
paul,female,0.9974155265019985
daniel,career,0.9984363017600174
daniel,family,0.998830525101761
daniel,male,0.9994757258360087
daniel,female,0.9998399368120626
john,career,0.9868040255725424
john,family,0.9840985217039115
john,male,0.9937351923120292
john,female,0.9969672824378139
jeffrey,career,0.9998041553251006
jeffrey,family,0.9993954569342445
jeffrey,male,0.9883401398757853
jeffrey,female,0.9995875841584734
career,career,0.0
career,family,0.9945093074860518
career,male,0.997512182889556
career,female,0.9985674589764588
corporation,career,0.9974060566742854
corporation,family,0.9978573999386914
corporation,male,0.9996986334709612
corporation,female,0.9991206329267237
salary,career,0.9962612855572884
salary,family,0.9997472999624062
salary,male,0.9996021658647858
salary,female,0.9998412187434221
office,career,0.9954327931285599
office,family,0.990961909860143
office,male,0.9981712073207947
office,female,0.995706063462741
professional,career,0.994405057373653
professional,family,0.9951716713937478
professional,male,0.9959224714572822
professional,female,0.996415409668054
management,career,0.9942570481145371
management,family,0.9941017283240811
management,male,0.9992776906575106
management,female,0.9974438365562429
business,career,0.9912965417457297
business,family,0.9846287208509297
business,male,0.9976793295400571
business,female,0.996788067711031
wedding,career,0.9995144036881007
wedding,family,0.9929004877274591
wedding,male,0.9995736796700976
wedding,female,0.9992355381088892
marriage,career,0.9900144913136666
marriage,family,0.9762203348410798
marriage,male,0.9963214993213815
marriage,female,0.9937265495788553
parents,career,0.9974604335360479
parents,family,0.991086999566094
parents,male,0.9938555320891443
parents,female,0.9949762466153564
relatives,career,0.9996348772524077
relatives,family,0.9789960844497277
relatives,male,0.9991760139828216
relatives,female,0.9961368604980085
family,career,0.9945093074860518
family,family,0.0
family,male,0.9962111211520717
family,female,0.9956512023036855
home,career,0.993328540919955
home,family,0.9691702797571142
home,male,0.9954539601377356
home,female,0.9935039000147199
children,career,0.995474405270639
children,family,0.972772316091459
children,male,0.991045036267172
children,female,0.9922446549004538
