First word,Second word,cosine distance
rebecca,career,0.7160888910293579
rebecca,family,0.6745269298553467
rebecca,male,0.7802762538194656
rebecca,female,0.7250100672245026
michelle,career,0.669010728597641
michelle,family,0.6550577580928802
michelle,male,0.6948467195034027
michelle,female,0.6464299559593201
emily,career,0.7777687162160873
emily,family,0.6712492406368256
emily,male,0.7668433487415314
emily,female,0.7134431302547455
julia,career,0.8103819489479065
julia,family,0.7422703206539154
julia,male,0.8258634358644485
julia,female,0.8400101214647293
anna,career,0.7568222433328629
anna,family,0.6749216616153717
anna,male,0.7944484353065491
anna,female,0.8017082959413528
ben,career,0.7711915969848633
ben,family,0.7154012024402618
ben,male,0.797828808426857
ben,female,0.8064247816801071
paul,career,0.6007992029190063
paul,family,0.6958366334438324
paul,male,0.6943368911743164
paul,female,0.7089018523693085
daniel,career,0.7854684591293335
daniel,family,0.7159413695335388
daniel,male,0.8770739063620567
daniel,female,0.8782711029052734
john,career,0.5997016131877899
john,family,0.5759108662605286
john,male,0.6301355063915253
john,female,0.6828566193580627
jeffrey,career,0.7472986578941345
jeffrey,family,0.7082615792751312
jeffrey,male,0.7331464290618896
jeffrey,female,0.7502132952213287
career,career,0.0
career,family,0.5543572306632996
career,male,0.6812399923801422
career,female,0.6658127903938293
corporation,career,0.7445580661296844
corporation,family,0.7480201125144958
corporation,male,0.8549925684928894
corporation,female,0.8895740136504173
salary,career,0.581034779548645
salary,family,0.6801446080207825
salary,male,0.7753693759441376
salary,female,0.771044060587883
office,career,0.6205975413322449
office,family,0.5791113376617432
office,male,0.7146608531475067
office,female,0.7081009745597839
professional,career,0.45603299140930176
professional,family,0.5903297960758209
professional,male,0.6564931571483612
professional,female,0.661636084318161
management,career,0.6233485639095306
management,family,0.6802973747253418
management,male,0.7253471910953522
management,female,0.740515261888504
business,career,0.565887063741684
business,family,0.5651969313621521
business,male,0.6778660416603088
business,female,0.690214604139328
wedding,career,0.6964279413223267
wedding,family,0.5792283713817596
wedding,male,0.77105712890625
wedding,female,0.7545171976089478
marriage,career,0.5634582936763763
marriage,family,0.36944591999053955
marriage,male,0.6605556607246399
marriage,female,0.6242811381816864
parents,career,0.6206264495849609
parents,family,0.3407890796661377
parents,male,0.6205760836601257
parents,female,0.6132761240005493
relatives,career,0.7370365858078003
relatives,family,0.3661680817604065
relatives,male,0.6761007905006409
relatives,female,0.669115275144577
family,career,0.5543572306632996
family,family,0.0
family,male,0.5853322148323059
family,female,0.5800743401050568
home,career,0.5400860607624054
home,family,0.38202279806137085
home,male,0.5623922348022461
home,female,0.5970450043678284
children,career,0.6186823546886444
children,family,0.35888028144836426
children,male,0.6087624728679657
children,female,0.5935305655002594
