First word,Second word,cosine distance
rebecca,career,0.2766065850177364
rebecca,family,0.35210961831864784
rebecca,male,0.30085725629184223
rebecca,female,0.2946454932656072
michelle,career,0.2642531709784911
michelle,family,0.3275185256414388
michelle,male,0.2823763035774318
michelle,female,0.2750862026550922
emily,career,0.26989221009533815
emily,family,0.3348381206736877
emily,male,0.2851823305959539
emily,female,0.2804085108036899
julia,career,0.26463928496568256
julia,family,0.3282241331327407
julia,male,0.28308079983246326
julia,female,0.27472563167937236
anna,career,0.26171364616498083
anna,family,0.3304098510499355
anna,male,0.28648962314334403
anna,female,0.2762700330815775
ben,career,0.21454216704718898
ben,family,0.22522010653652702
ben,male,0.24760845520716213
ben,female,0.2384783746720781
paul,career,0.20615786052583296
paul,family,0.178691030436553
paul,male,0.2666706316527746
paul,female,0.2503923743932386
daniel,career,0.22772911958761521
daniel,family,0.2727926672706482
daniel,male,0.26746180741815484
daniel,female,0.2598093568633284
john,career,0.21938769679058423
john,family,0.16224706161861369
john,male,0.284343487237673
john,female,0.26407903987937786
jeffrey,career,0.38975341783127704
jeffrey,family,0.49741214972164316
jeffrey,male,0.4037320581665367
jeffrey,female,0.3997115389387993
career,career,0.0
career,family,0.22708134786785195
career,male,0.24715674139951693
career,female,0.23019332910780244
corporation,career,0.3189480167835125
corporation,family,0.3989791092503048
corporation,male,0.35424235296880013
corporation,female,0.352281675100684
salary,career,0.3309452854047481
salary,family,0.42677229763504765
salary,male,0.367198639349001
salary,female,0.36615830596641663
office,career,0.21245940701738308
office,family,0.1901512035098183
office,male,0.26389662163802174
office,female,0.2514132724724608
professional,career,0.17581383235205028
professional,family,0.24394063471267347
professional,male,0.23981977109705277
professional,female,0.23052036203303572
management,career,0.2364154887466482
management,family,0.29674298059796334
management,male,0.2834691543145128
management,female,0.27972254314150824
business,career,0.20734244892667186
business,family,0.16035443837123176
business,male,0.26688527097602144
business,female,0.2551883325761479
wedding,career,0.23283091242771792
wedding,family,0.23930858300765412
wedding,male,0.2691711856648935
wedding,female,0.259915091186409
marriage,career,0.22945023700903733
marriage,family,0.25604573866792424
marriage,male,0.2662638702223614
marriage,female,0.2599465586927311
parents,career,0.20306184523562776
parents,family,0.17057642317421207
parents,male,0.2308140738090968
parents,female,0.22596780825798202
relatives,career,0.29375379914419075
relatives,family,0.3251308036271302
relatives,male,0.297614000273565
relatives,female,0.2969148666710927
family,career,0.22708134786785195
family,family,0.0
family,male,0.2661555467821749
family,female,0.2548136702823902
home,career,0.23982315363615014
home,family,0.12315215804575208
home,male,0.2880825731223131
home,female,0.27328288007395385
children,career,0.22201666823359179
children,family,0.14005184101270696
children,male,0.25492496999072467
children,female,0.24395908132045907
