First word,Second word,cosine distance
rebecca,career,0.96665316430342
rebecca,family,0.9909441515140074
rebecca,male,0.966696059603056
rebecca,female,0.9543393578006729
michelle,career,0.9632213416682655
michelle,family,0.9894986183876842
michelle,male,0.961883103999161
michelle,female,0.95488925086294
emily,career,0.9658363502989462
emily,family,0.9902383450651302
emily,male,0.9614868700617056
emily,female,0.954894616593669
julia,career,0.965692165491059
julia,family,0.9880942040776266
julia,male,0.9620276171395539
julia,female,0.9559562186736923
anna,career,0.9617350530149215
anna,family,0.9897814036629502
anna,male,0.963012945120807
anna,female,0.9526435456614456
ben,career,0.9554762201529787
ben,family,0.9678166148673318
ben,male,0.9643100709454637
ben,female,0.9587728442819115
paul,career,0.9402872041408742
paul,family,0.950745991944032
paul,male,0.9738925019783868
paul,female,0.9626745225223915
daniel,career,0.9511149640827055
daniel,family,0.9764530305056892
daniel,male,0.962294054447456
daniel,female,0.9595178497960116
john,career,0.9386123133131563
john,family,0.9319357532688534
john,male,0.9699871184537857
john,female,0.9638189472541189
jeffrey,career,0.9880383247482416
jeffrey,family,1.004531042495312
jeffrey,male,0.9830802643790971
jeffrey,female,0.9785461920297606
career,career,0.0
career,family,0.9652852774473423
career,male,0.9517667288730006
career,female,0.943855125258475
corporation,career,0.9776004383756148
corporation,family,1.0116643884352408
corporation,male,0.9726866432710786
corporation,female,0.9739928898479199
salary,career,0.9697923255672225
salary,family,1.0075662607198568
salary,male,0.9743637246655049
salary,female,0.9738869060610285
office,career,0.9532840925406947
office,family,0.9582174600348278
office,male,0.9719227821400815
office,female,0.9670133686586914
professional,career,0.9071443527258062
professional,family,0.9837539998762987
professional,male,0.9482906808204757
professional,female,0.9386412442364742
management,career,0.9490658180686196
management,family,1.000902888451727
management,male,0.9616294891581231
management,female,0.9614188017101735
business,career,0.9514327875987292
business,family,0.9287465468986581
business,male,0.9839978959636168
business,female,0.9851692364184244
wedding,career,0.9521920182357895
wedding,family,0.9525548666516497
wedding,male,0.9684120072343884
wedding,female,0.966626322078065
marriage,career,0.9296316246613934
marriage,family,0.9534841217529896
marriage,male,0.9447640729389546
marriage,female,0.9423074362181341
parents,career,0.9469535562791824
parents,family,0.905490959299968
parents,male,0.9492244705453816
parents,female,0.9506777208629432
relatives,career,0.9741026125354326
relatives,family,0.9519952610681534
relatives,male,0.9564239091831452
relatives,female,0.9548686773533446
family,career,0.9652852774473423
family,family,0.0
family,male,0.9745493684270077
family,female,0.9768323317826427
home,career,0.9836875294382947
home,family,0.8767386036344973
home,male,1.000258833729415
home,female,1.000576828317428
children,career,0.9640020823700948
children,family,0.9048114157211208
children,male,0.9669396640604967
children,female,0.9650250141357019
