First word,Second word,cosine distance
rebecca,career,0.7366870641708374
rebecca,family,0.6790618896484375
rebecca,male,0.7986956387758255
rebecca,female,0.7489040493965149
michelle,career,0.7296459376811981
michelle,family,0.6721212267875671
michelle,male,0.7807167172431946
michelle,female,0.7839468270540237
emily,career,0.7333609759807587
emily,family,0.6412459313869476
emily,male,0.7329217791557312
emily,female,0.715058833360672
julia,career,0.8070079237222672
julia,family,0.6107639968395233
julia,male,0.8169628977775574
julia,female,0.7623782306909561
anna,career,0.7830832302570343
anna,family,0.7452518939971924
anna,male,0.7889503240585327
anna,female,0.7513962239027023
ben,career,0.7283316850662231
ben,family,0.6408568918704987
ben,male,0.768142506480217
ben,female,0.7661912590265274
paul,career,0.6511760354042053
paul,family,0.6489563584327698
paul,male,0.786919116973877
paul,female,0.7490759193897247
daniel,career,0.7574911415576935
daniel,family,0.6527864038944244
daniel,male,0.7857346385717392
daniel,female,0.819053441286087
john,career,0.6957533359527588
john,family,0.646456390619278
john,male,0.8132633119821548
john,female,0.8030436038970947
jeffrey,career,0.756065234541893
jeffrey,family,0.6812969446182251
jeffrey,male,0.8073923140764236
jeffrey,female,0.7715461999177933
career,career,0.0
career,family,0.6286820471286774
career,male,0.7535311579704285
career,female,0.7080429792404175
corporation,career,0.750552624464035
corporation,family,0.722862035036087
corporation,male,0.8238776922225952
corporation,female,0.7974516749382019
salary,career,0.6168577075004578
salary,family,0.7279038727283478
salary,male,0.7389145791530609
salary,female,0.7421173453330994
office,career,0.71134352684021
office,family,0.6065853238105774
office,male,0.8035638928413391
office,female,0.7473750114440918
professional,career,0.5302348434925079
professional,family,0.6919881999492645
professional,male,0.6700952649116516
professional,female,0.6507700979709625
management,career,0.6823429763317108
management,family,0.7289160490036011
management,male,0.7584999948740005
management,female,0.791528195142746
business,career,0.5723659694194794
business,family,0.5940974950790405
business,male,0.7266238629817963
business,female,0.7313136160373688
wedding,career,0.7195430099964142
wedding,family,0.5733326375484467
wedding,male,0.7716136425733566
wedding,female,0.7918895035982132
marriage,career,0.638843834400177
marriage,family,0.5616787075996399
marriage,male,0.7718967646360397
marriage,female,0.7649272680282593
parents,career,0.6747274696826935
parents,family,0.3657386302947998
parents,male,0.6601783335208893
parents,female,0.7058137357234955
relatives,career,0.7957625538110733
relatives,family,0.46816015243530273
relatives,male,0.7439172267913818
relatives,female,0.7249040007591248
family,career,0.6286820471286774
family,family,0.0
family,male,0.7020464241504669
family,female,0.7223865389823914
home,career,0.627469390630722
home,family,0.4933786392211914
home,male,0.7552559673786163
home,female,0.7026274800300598
children,career,0.7019660174846649
children,family,0.4716898798942566
children,male,0.6998560130596161
children,female,0.6842778623104095
