First word,Second word,cosine distance
rebecca,career,0.7987459450960159
rebecca,family,0.7283963263034821
rebecca,male,0.842186227440834
rebecca,female,0.7551370859146118
michelle,career,0.7969279885292053
michelle,family,0.7576307505369186
michelle,male,0.8354615271091461
michelle,female,0.7766863703727722
emily,career,0.8130068331956863
emily,family,0.6913818717002869
emily,male,0.8115378469228745
emily,female,0.7371658086776733
julia,career,0.779449537396431
julia,family,0.7235450446605682
julia,male,0.8859056755900383
julia,female,0.8049381077289581
anna,career,0.814346045255661
anna,family,0.7003022134304047
anna,male,0.8598608821630478
anna,female,0.7773275524377823
ben,career,0.8331043571233749
ben,family,0.789702519774437
ben,male,0.8370801657438278
ben,female,0.835670068860054
paul,career,0.7539971321821213
paul,family,0.7377976477146149
paul,male,0.8373324275016785
paul,female,0.8270183950662613
daniel,career,0.8125324100255966
daniel,family,0.7537059932947159
daniel,male,0.8320678770542145
daniel,female,0.8193956464529037
john,career,0.7325131297111511
john,family,0.6282207369804382
john,male,0.8134617358446121
john,female,0.7958279997110367
jeffrey,career,0.9153475537896156
jeffrey,family,0.8903089687228203
jeffrey,male,0.9496550224721432
jeffrey,female,0.9287521988153458
career,career,0.0
career,family,0.7013041079044342
career,male,0.818044975399971
career,female,0.7555395066738129
corporation,career,0.8753286078572273
corporation,family,0.8816669210791588
corporation,male,0.999086778901983
corporation,female,0.9757789056748152
salary,career,0.6632463037967682
salary,family,0.8945423662662506
salary,male,0.8648563921451569
salary,female,0.8521368056535721
office,career,0.8204336613416672
office,family,0.7150896787643433
office,male,0.913237527012825
office,female,0.8850400149822235
professional,career,0.4694294333457947
professional,family,0.709054708480835
professional,male,0.8260432630777359
professional,female,0.7620131075382233
management,career,0.6912698447704315
management,family,0.8499659895896912
management,male,0.977836899459362
management,female,0.9364208057522774
business,career,0.5860640704631805
business,family,0.689257800579071
business,male,0.9319850131869316
business,female,0.8905528858304024
wedding,career,0.8765399903059006
wedding,family,0.6675117015838623
wedding,male,0.9243867173790932
wedding,female,0.9144854322075844
marriage,career,0.7608696520328522
marriage,family,0.4740620255470276
marriage,male,0.7263925671577454
marriage,female,0.7263809740543365
parents,career,0.7900354862213135
parents,family,0.37878066301345825
parents,male,0.7281275689601898
parents,female,0.7468666136264801
relatives,career,0.9358460381627083
relatives,family,0.3686789870262146
relatives,male,0.7139504551887512
relatives,female,0.7476326823234558
family,career,0.7013041079044342
family,family,0.0
family,male,0.6472765505313873
family,female,0.6625816524028778
home,career,0.7312178909778595
home,family,0.40680450201034546
home,male,0.7770631909370422
home,female,0.7691363245248795
children,career,0.8190757185220718
children,family,0.39986616373062134
children,male,0.6732572615146637
children,female,0.6784258484840393
