First word,Second word,cosine distance
rebecca,career,0.06461677450006342
rebecca,family,0.029924695295654224
rebecca,male,0.0530810894141559
rebecca,female,0.047857640021438885
michelle,career,0.057229786724785514
michelle,family,0.03139826898300491
michelle,male,0.05557221236775545
michelle,female,0.052327958769163074
emily,career,0.06074009516197976
emily,family,0.02820533754548804
emily,male,0.050478735000861086
emily,female,0.045879259735654654
julia,career,0.059236916628260694
julia,family,0.022309200947196683
julia,male,0.04509458884895812
julia,female,0.039595848148045176
anna,career,0.06030842478292686
anna,family,0.025536417908314846
anna,male,0.04773998306244409
anna,female,0.04279421679869788
ben,career,0.06452005590903653
ben,family,0.02160262144838343
ben,male,0.0416154509373996
ben,female,0.03853838118325825
paul,career,0.06592968495482932
paul,family,0.02273410626655159
paul,male,0.043856059546869997
paul,female,0.04000446755635079
daniel,career,0.06520518635731065
daniel,family,0.025148860453580224
daniel,male,0.045277640634970306
daniel,female,0.04203554193464676
john,career,0.08101128474845376
john,family,0.02853161747059174
john,male,0.04826439542476291
john,female,0.0431109292029922
jeffrey,career,0.08214304062661404
jeffrey,family,0.03136191215669415
jeffrey,male,0.0496858508563941
jeffrey,female,0.044242802733778896
career,career,0.0
career,family,0.04351406907748734
career,male,0.06906577958855298
career,female,0.06819829535383082
corporation,career,0.1032307319675928
corporation,family,0.04111156244071856
corporation,male,0.0569190656574986
corporation,female,0.050216055581838503
salary,career,0.06847286781534667
salary,family,0.06372493981745253
salary,male,0.08234127371234568
salary,female,0.08107043287587479
office,career,0.10117209652324954
office,family,0.0351148673005075
office,male,0.05992367955010747
office,female,0.0537843917297105
professional,career,0.03805367318248698
professional,family,0.02446300827005099
professional,male,0.050990223444038585
professional,female,0.046723053119802516
management,career,0.07942964354899096
management,family,0.04175852175364603
management,male,0.0695191426913595
management,female,0.06284796326332631
business,career,0.04547117370568221
business,family,0.02072312414167443
business,male,0.050158455509504596
business,female,0.04550153524979261
wedding,career,0.1122728844263241
wedding,family,0.09820314332472024
wedding,male,0.12921596539896996
wedding,female,0.12718469589634818
marriage,career,0.051186589226541956
marriage,family,0.013667704513639745
marriage,male,0.035017063501348256
marriage,female,0.030276525234820162
parents,career,0.06890676819709385
parents,family,0.03746482533572448
parents,male,0.07634537348649739
parents,female,0.0731622023668207
relatives,career,0.07591558850010294
relatives,family,0.03286308032586327
relatives,male,0.07400975718283853
relatives,female,0.06958470483698831
family,career,0.04351406907748734
family,family,0.0
family,male,0.030787407535208144
family,female,0.026908055790102248
home,career,0.04843607186021992
home,family,0.019075062933358478
home,male,0.04844090319826122
home,female,0.04576361330330847
children,career,0.0616438448227864
children,family,0.022567237853436395
children,male,0.05559007764985602
children,female,0.050608571189792895
