First word,Second word,cosine distance
rebecca,career,0.9855504959132545
rebecca,family,0.9874764456142916
rebecca,male,0.9815243632238319
rebecca,female,0.9756502226608188
michelle,career,0.9860796357675081
michelle,family,0.9903621626254085
michelle,male,0.9825381124434173
michelle,female,0.9764232717591953
emily,career,0.9894306999984479
emily,family,0.9855746159538356
emily,male,0.9800137644458937
emily,female,0.9748803211185917
julia,career,0.9847375155010377
julia,family,0.9880360578542428
julia,male,0.9809238682783993
julia,female,0.9769276912775793
anna,career,0.9820930208566441
anna,family,0.9841732931478395
anna,male,0.9780313291465467
anna,female,0.9720338417022147
ben,career,0.9750866946235212
ben,family,0.9841067414059532
ben,male,0.9763200289120665
ben,female,0.9734066437020455
paul,career,0.9654997247299455
paul,family,0.9690598915897305
paul,male,0.9782476549509361
paul,female,0.9758255053946677
daniel,career,0.9776270672236317
daniel,family,0.9827771832167111
daniel,male,0.975921307391343
daniel,female,0.9730969400335203
john,career,0.9669876528579944
john,family,0.950774020142108
john,male,0.9810910286920083
john,female,0.9801157264894835
jeffrey,career,0.9943172678959485
jeffrey,family,0.9956187392676813
jeffrey,male,0.9888348287590224
jeffrey,female,0.9859679358883546
career,career,0.0
career,family,0.9725286349822927
career,male,0.9810622691812992
career,female,0.977023073299128
corporation,career,0.9777419266445913
corporation,family,0.9903493689662797
corporation,male,0.9886431121325935
corporation,female,0.9885998503752587
salary,career,0.9690072670039659
salary,family,0.9915024478270708
salary,male,0.9874044738392502
salary,female,0.9878223632616548
office,career,0.9743705673117203
office,family,0.9704746734344748
office,male,0.9954545955957331
office,female,0.9965239077764912
professional,career,0.9415165113730207
professional,family,0.9755832220384777
professional,male,0.9891645722701213
professional,female,0.9844945074919644
management,career,0.9570231137974953
management,family,0.9785630059471817
management,male,0.9991649661236113
management,female,0.9996438719133647
business,career,0.9606102022735828
business,family,0.9657997000644665
business,male,1.0043237371240705
business,female,1.003889855906448
wedding,career,0.9737939073018147
wedding,family,0.9767605099462441
wedding,male,0.9810932868935066
wedding,female,0.9794550576661629
marriage,career,0.9704975329356373
marriage,family,0.9573074828592998
marriage,male,0.9687978182787038
marriage,female,0.9673594368670213
parents,career,0.9592217569567958
parents,family,0.9472308199491672
parents,male,0.9753071554537344
parents,female,0.9751725243857753
relatives,career,0.9869136717458872
relatives,family,0.9681308094321683
relatives,male,0.967321450405348
relatives,female,0.9693413461972108
family,career,0.9725286349822927
family,family,0.0
family,male,0.9806015609489833
family,female,0.9817392792959236
home,career,0.9800399581792705
home,family,0.9542715182004021
home,male,0.9948417275749846
home,female,0.9941962948328176
children,career,0.9760673335235113
children,family,0.940163092631535
children,male,0.9884704667001379
children,female,0.9888351095546468
