First word,Second word,cosine distance
rebecca,career,0.9814330171387933
rebecca,family,0.9796076167016337
rebecca,male,0.9813262359327819
rebecca,female,0.9764301210193413
michelle,career,0.9808271783660605
michelle,family,0.982477520591784
michelle,male,0.9829268242505791
michelle,female,0.9777786198910281
emily,career,0.9823388203633429
emily,family,0.9777631074876648
emily,male,0.9794880619693734
emily,female,0.9748917194035824
julia,career,0.979997255423321
julia,family,0.9798633882047728
julia,male,0.9817941994124968
julia,female,0.9778325831451501
anna,career,0.9814127502606047
anna,family,0.9789625938215842
anna,male,0.9815675479547257
anna,female,0.9756151054541478
ben,career,0.980098348874056
ben,family,0.9799176669376316
ben,male,0.9802218216922336
ben,female,0.9777380299221343
paul,career,0.9744211572340639
paul,family,0.9713509000513517
paul,male,0.9811840101208661
paul,female,0.9793013855871253
daniel,career,0.978416848795945
daniel,family,0.9779648173488321
daniel,male,0.9804541168060532
daniel,female,0.9772626662358083
john,career,0.9750582918366891
john,family,0.9578571313925096
john,male,0.981555715296292
john,female,0.9809350827175928
jeffrey,career,0.9853600097681495
jeffrey,family,0.9861864496486681
jeffrey,male,0.9859500641703604
jeffrey,female,0.9836159029439348
career,career,0.0
career,family,0.9843093669723084
career,male,0.985840453449577
career,female,0.9827514671334845
corporation,career,0.9871558048798141
corporation,family,0.9896057408465282
corporation,male,0.9904864941824613
corporation,female,0.9901763618816125
salary,career,0.9851573134837207
salary,family,0.9927985188440194
salary,male,0.992375289712464
salary,female,0.9921902516093106
office,career,0.9885473849029176
office,family,0.9840578005796272
office,male,0.9908482345084133
office,female,0.9911636922887587
professional,career,0.9699711120793014
professional,family,0.9867552482349676
professional,male,0.9863290439813818
professional,female,0.9839607988971815
management,career,0.9781967410910819
management,family,0.9878241614969003
management,male,0.9924729227416149
management,female,0.9919027433824235
business,career,0.9793130059485131
business,family,0.9813052877096122
business,male,0.9931470378046665
business,female,0.9920248249140363
wedding,career,0.9886439036792306
wedding,family,0.9847876352148853
wedding,male,0.9880995549999151
wedding,female,0.986618714874829
marriage,career,0.9813213662059402
marriage,family,0.9668300068709467
marriage,male,0.9764436171789039
marriage,female,0.97479954181682
parents,career,0.9857002126601057
parents,family,0.9689525302129862
parents,male,0.9809875576359092
parents,female,0.979862548505779
relatives,career,0.9906648256267669
relatives,family,0.9710493379377263
relatives,male,0.9746493716288661
relatives,female,0.9752739438819135
family,career,0.9843093669723084
family,family,0.0
family,male,0.9810616143143034
family,female,0.9822127942306454
home,career,0.9862348874144463
home,family,0.9697229879649997
home,male,0.9881411100343235
home,female,0.9875891316285984
children,career,0.9895737057807378
children,family,0.9665510731303182
children,male,0.9825879797211245
children,female,0.9830636772027161
