First word,Second word,cosine distance
rebecca,career,0.5885940492153168
rebecca,family,0.6095395088195801
rebecca,male,0.6023838222026825
rebecca,female,0.5497711300849915
michelle,career,0.6234197914600372
michelle,family,0.6491772830486298
michelle,male,0.6223467588424683
michelle,female,0.5665130019187927
emily,career,0.7003231346607208
emily,family,0.5971964299678802
emily,male,0.6061671376228333
emily,female,0.5559135675430298
julia,career,0.605081170797348
julia,family,0.615715742111206
julia,male,0.6461774408817291
julia,female,0.5924854576587677
anna,career,0.5837778747081757
anna,family,0.558233231306076
anna,male,0.5997369587421417
anna,female,0.5408658087253571
ben,career,0.6035756766796112
ben,family,0.5953255891799927
ben,male,0.6963367462158203
ben,female,0.678104817867279
paul,career,0.5148553848266602
paul,family,0.5459668934345245
paul,male,0.6396386623382568
paul,female,0.6233769953250885
daniel,career,0.6018999814987183
daniel,family,0.5417035818099976
daniel,male,0.6270195245742798
daniel,female,0.6244709491729736
john,career,0.481723427772522
john,family,0.4360702633857727
john,male,0.6518794298171997
john,female,0.6355098485946655
jeffrey,career,0.7007237672805786
jeffrey,family,0.7066091299057007
jeffrey,male,0.7412558495998383
jeffrey,female,0.7388837039470673
career,career,0.0
career,family,0.4899110794067383
career,male,0.661783903837204
career,female,0.5982001423835754
corporation,career,0.633483350276947
corporation,family,0.604685515165329
corporation,male,0.810749962925911
corporation,female,0.7952909618616104
salary,career,0.4454846978187561
salary,family,0.6876241862773895
salary,male,0.6919151544570923
salary,female,0.6699271202087402
office,career,0.4892190098762512
office,family,0.43958616256713867
office,male,0.7132170796394348
office,female,0.6988537013530731
professional,career,0.30084842443466187
professional,family,0.4320812225341797
professional,male,0.6515296101570129
professional,female,0.6059256792068481
management,career,0.45531731843948364
management,family,0.5074824690818787
management,male,0.7531243711709976
management,female,0.7397316694259644
business,career,0.37602823972702026
business,family,0.43117016553878784
business,male,0.772554025053978
business,female,0.7425406277179718
wedding,career,0.6354641318321228
wedding,family,0.5024537444114685
wedding,male,0.7278573215007782
wedding,female,0.7099559605121613
marriage,career,0.5816478431224823
marriage,family,0.3843996524810791
marriage,male,0.5293310582637787
marriage,female,0.5482730865478516
parents,career,0.5370955169200897
parents,family,0.23220187425613403
parents,male,0.5613093376159668
parents,female,0.5733961760997772
relatives,career,0.6899372637271881
relatives,family,0.3205615282058716
relatives,male,0.5682500004768372
relatives,female,0.5851849913597107
family,career,0.4899110794067383
family,family,0.0
family,male,0.5385718047618866
family,female,0.5476623475551605
home,career,0.4426910877227783
home,family,0.26472628116607666
home,male,0.6303368806838989
home,female,0.5954422950744629
children,career,0.5669676959514618
children,family,0.23014241456985474
children,male,0.5906470119953156
children,female,0.6110073924064636
