First word,Second word,cosine distance
rebecca,career,20.945133
rebecca,family,17.45838
rebecca,male,19.485168
rebecca,female,19.90586
michelle,career,19.34758
michelle,family,17.676115
michelle,male,19.101343
michelle,female,19.351084
emily,career,23.046669
emily,family,19.0612
emily,male,22.63135
emily,female,22.697018
julia,career,21.686426
julia,family,19.699411
julia,male,22.27933
julia,female,22.438534
anna,career,23.13622
anna,family,18.192455
anna,male,23.41455
anna,female,23.809717
ben,career,23.637203
ben,family,22.286013
ben,male,23.677523
ben,female,24.764027
paul,career,20.743011
paul,family,21.750946
paul,male,23.23341
paul,female,24.496988
daniel,career,21.396265
daniel,family,19.741873
daniel,male,22.504673
daniel,female,23.196253
john,career,20.344526
john,family,20.258759
john,male,22.586205
john,female,24.181816
jeffrey,career,19.717972
jeffrey,family,19.18739
jeffrey,male,20.593508
jeffrey,female,21.464914
career,career,0.0
career,family,21.461962
career,male,23.36806
career,female,24.504238
corporation,career,25.641499
corporation,family,24.741537
corporation,male,27.240292
corporation,female,28.859838
salary,career,22.272167
salary,family,24.358618
salary,male,25.896585
salary,female,27.085508
office,career,24.037819
office,family,22.88269
office,male,25.32832
office,female,26.573483
professional,career,17.614792
professional,family,21.969654
professional,male,21.12724
professional,female,22.225777
management,career,23.595793
management,family,24.619608
management,male,25.671946
management,female,27.059532
business,career,20.652498
business,family,20.921673
business,male,23.961206
business,female,25.673723
wedding,career,26.517738
wedding,family,20.204235
wedding,male,26.286966
wedding,female,26.360924
marriage,career,22.050262
marriage,family,16.14073
marriage,male,23.658447
marriage,female,23.667532
parents,career,24.959343
parents,family,16.222593
parents,male,23.336983
parents,female,24.127068
relatives,career,26.060802
relatives,family,13.4510355
relatives,male,22.272234
relatives,female,23.111738
family,career,21.461962
family,family,0.0
family,male,20.75788
family,female,21.928122
home,career,20.84421
home,family,14.7278185
home,male,21.135756
home,female,23.109356
children,career,25.825623
children,family,16.989689
children,male,22.599005
children,female,23.369072
