First word,Second word,cosine distance
rebecca,career,0.13207030491552632
rebecca,family,0.13939577796055017
rebecca,male,0.17231077343287352
rebecca,female,0.13055567191069029
michelle,career,0.15167593157326137
michelle,family,0.16475273224231374
michelle,male,0.1876206570764569
michelle,female,0.15089254972177923
emily,career,0.14951659500714923
emily,family,0.16960911562059322
emily,male,0.19096471398331505
emily,female,0.15773457175806396
julia,career,0.14411880841582847
julia,family,0.16441144019030884
julia,male,0.18467070834416338
julia,female,0.15074533393799755
anna,career,0.13474386606663313
anna,family,0.15495173365633821
anna,male,0.1791278732578628
anna,female,0.1428101352706511
ben,career,0.13049553251916807
ben,family,0.14389633972543997
ben,male,0.16947348254582595
ben,female,0.1298221369936325
paul,career,0.1317252608942246
paul,family,0.15212254739145095
paul,male,0.1741532960246184
paul,female,0.13766071756296763
daniel,career,0.1330625905398505
daniel,family,0.15041387167853715
daniel,male,0.17305249573081008
daniel,female,0.13503603863116262
john,career,0.13300112467271322
john,family,0.14880270416949554
john,male,0.17013585437342238
john,female,0.13240484971591526
jeffrey,career,0.16587046803734817
jeffrey,family,0.1847988630974203
jeffrey,male,0.20157055370073143
jeffrey,female,0.17240752537335158
career,career,0.0
career,family,0.13741870588003632
career,male,0.1892431416888771
career,female,0.14975572627017794
corporation,career,0.16618266320515013
corporation,family,0.08445110625179618
corporation,male,0.17288118086603685
corporation,female,0.11399067086096605
salary,career,0.10153518487878596
salary,family,0.09784302350812558
salary,male,0.16463304677105894
salary,female,0.10859938425044675
office,career,0.12937125403016164
office,family,0.08990415055134776
office,male,0.16606140668748248
office,female,0.11063607185379856
professional,career,0.11705239078409896
professional,family,0.09069905616509323
professional,male,0.15064325874853832
professional,female,0.08695867707077444
management,career,0.1470302897702066
management,family,0.10651104244838412
management,male,0.164909378151351
management,female,0.10693442724665185
business,career,0.12294812574603012
business,family,0.07099460827500938
business,male,0.153940457076492
business,female,0.08810436906745228
wedding,career,0.17428902104324664
wedding,family,0.08592191968588199
wedding,male,0.18711515124566103
wedding,female,0.1305624218608446
marriage,career,0.12084825987692475
marriage,family,0.08686215469306761
marriage,male,0.16648539848224092
marriage,female,0.1072937562290231
parents,career,0.12107287728331598
parents,family,0.10349165240802079
parents,male,0.17191121777444646
parents,female,0.12147989886750321
relatives,career,0.14944700924776672
relatives,family,0.13926480825381551
relatives,male,0.18480736327195618
relatives,female,0.13679020316738974
family,career,0.13741870588003632
family,family,0.0
family,male,0.16417326392855752
family,female,0.09582374091556235
home,career,0.13380978918457093
home,family,0.11860114351962447
home,male,0.1752665226746367
home,female,0.12701907552605038
children,career,0.141627865526016
children,family,0.08709412562561258
children,male,0.1676336748513143
children,female,0.10980657765259605
