First word,Second word,cosine distance
rebecca,career,54.80232787444847
rebecca,family,102.26695616976345
rebecca,male,65.84121076910925
rebecca,female,57.802820269757035
michelle,career,55.71207722022859
michelle,family,103.71942104360167
michelle,male,66.9013605499566
michelle,female,58.70083758294854
emily,career,51.7581982782205
emily,family,96.41045348181932
emily,male,61.46985687198539
emily,female,53.96103764165047
julia,career,51.56654416457332
julia,family,97.10213260986788
julia,male,61.88398053287126
julia,female,54.25871650249966
anna,career,50.26580447541172
anna,family,93.42005230811829
anna,male,59.97895318550118
anna,female,52.95034870042873
ben,career,49.933874311426074
ben,family,91.94309757755155
ben,male,59.20971530033044
ben,female,53.17000229156787
paul,career,60.376695901797994
paul,family,80.28101525692183
paul,male,65.03618241280498
paul,female,64.65653248352741
daniel,career,51.013139786201684
daniel,family,96.16647781151462
daniel,male,61.78065714371452
daniel,female,54.58460403614868
john,career,94.09737942723957
john,family,87.0833376668294
john,male,93.83264456067168
john,female,97.06368456201874
jeffrey,career,55.40878649623449
jeffrey,family,103.36990570284607
jeffrey,male,66.99173977501071
jeffrey,female,58.94560693111675
career,career,0.0
career,family,79.8639193172588
career,male,54.901195046730734
career,female,52.02460391855014
corporation,career,50.2851909339206
corporation,family,90.23318484298439
corporation,male,60.09588278401345
corporation,female,54.710282602394805
salary,career,49.50209916885906
salary,family,95.33098860894941
salary,male,60.304761572747914
salary,female,53.194061941863076
office,career,71.7736133289472
office,family,74.30993902158328
office,male,71.92541355344744
office,female,74.00904761240562
professional,career,51.74883958363992
professional,family,75.91271395788833
professional,male,56.362109271838555
professional,female,55.36696036270988
management,career,69.06254654113305
management,family,78.00645919937114
management,male,69.99624658722135
management,female,71.34341978322412
business,career,80.34912484550388
business,family,74.7442396313996
business,male,79.0046880589322
business,female,82.54475481808181
wedding,career,49.682942554816144
wedding,family,91.17665313894861
wedding,male,59.034624972169894
wedding,female,52.48259159852804
marriage,career,47.8789515555858
marriage,family,77.90366143818426
marriage,male,53.99367044035928
marriage,female,50.35484192334131
parents,career,57.14739110875307
parents,family,68.39379153621694
parents,male,55.72643439354901
parents,female,56.18020942522603
relatives,career,48.76751196305432
relatives,family,89.8494891421645
relatives,male,56.573626632072425
relatives,female,49.70586307121047
family,career,79.8639193172588
family,family,0.0
family,male,75.12569340639945
family,female,78.98913420967494
home,career,94.51953450208698
home,family,76.7250814638894
home,male,89.80148907251233
home,female,94.66395002302231
children,career,89.02946610557126
children,family,71.971008188388
children,male,81.39341996310216
children,female,85.72642348168102
