First word,Second word,cosine distance
rebecca,career,356.44490114859224
rebecca,family,490.32966452649566
rebecca,male,416.8092739171568
rebecca,female,405.29492516404775
michelle,career,348.3379534868155
michelle,family,484.6961315855098
michelle,male,409.7476228984088
michelle,female,397.80657957781324
emily,career,368.6231145457356
emily,family,499.1837772641957
emily,male,426.837170601958
emily,female,415.7910548435828
julia,career,381.57691138167974
julia,family,509.5816817095398
julia,male,438.675709462839
julia,female,427.39660008534173
anna,career,401.37985952631516
anna,family,523.0829000366805
anna,male,456.71961168146976
anna,female,445.28953665144365
ben,career,427.45176589029995
ben,family,546.1965497063305
ben,male,480.07444128092055
ben,female,469.8962072227823
paul,career,583.8057546556828
paul,family,672.7637966523669
paul,male,624.7159377969047
paul,female,618.4707858399381
daniel,career,427.2301718737377
daniel,family,544.2819878714994
daniel,male,479.1752197496127
daniel,female,469.3905566820043
john,career,741.9974164462624
john,family,805.3136128073917
john,male,777.2122478447213
john,female,772.7240155306675
jeffrey,career,363.3377719637968
jeffrey,family,495.29230436641603
jeffrey,male,423.15973971344323
jeffrey,female,412.0095588108887
career,career,0.0
career,family,530.852132049896
career,male,464.9949857534699
career,female,455.3913968109875
corporation,career,415.9266282010783
corporation,family,535.7135574669311
corporation,male,470.2452082546741
corporation,female,460.73378954627793
salary,career,348.97276043995834
salary,family,486.9802088617553
salary,male,411.07846015327567
salary,female,400.0120828328643
office,career,487.3230568123752
office,family,586.4194754706806
office,male,534.8050605350443
office,female,526.4061977007487
professional,career,426.87675561943445
professional,family,545.0114024733317
professional,male,478.9956976497099
professional,female,470.0995325878951
management,career,464.0938556021175
management,family,570.2556810055538
management,male,512.0694017679317
management,female,504.3934163831962
business,career,480.7530773881985
business,family,579.5290847193382
business,male,529.7839535769929
business,female,522.1453702872119
wedding,career,368.90648181103495
wedding,family,497.6251394178855
wedding,male,428.44336875277827
wedding,female,416.9945632231408
marriage,career,400.70667169403436
marriage,family,518.7701168330159
marriage,male,455.9075839387582
marriage,female,446.1663697626953
parents,career,406.94687612171276
parents,family,515.6518879889805
parents,male,456.21081910978995
parents,female,447.43001296755455
relatives,career,362.68259712101764
relatives,family,488.35344609901585
relatives,male,418.7371328673224
relatives,female,407.2758304961812
family,career,530.852132049896
family,family,0.0
family,male,568.5074219302347
family,female,562.9582129279975
home,career,532.8473463627065
home,family,609.8214619543083
home,male,573.7970366282777
home,female,567.4959356450263
children,career,480.90067728492056
children,family,568.0581690894145
children,male,519.8925141405983
children,female,514.0882929130603
