First word,Second word,cosine distance
rebecca,career,257.368380159518
rebecca,family,381.6894926528045
rebecca,male,341.6859473644616
rebecca,female,330.9017945184046
michelle,career,248.49699928836486
michelle,family,376.10651557789026
michelle,male,334.55456578803205
michelle,female,323.1258842709325
emily,career,272.70452630898245
emily,family,391.79349711016084
emily,male,352.52245130200083
emily,female,341.8286173231061
julia,career,284.7709164792401
julia,family,400.1538563784738
julia,male,362.1988168857158
julia,female,351.7463598813955
anna,career,304.8425880056976
anna,family,414.70340474632985
anna,male,378.14451181452074
anna,female,367.7464233524818
ben,career,325.88469741119553
ben,family,430.15281364571115
ben,male,395.2670278351802
ben,female,386.1927262667502
paul,career,488.43257314568456
paul,family,559.6349046488224
paul,male,535.511920382578
paul,female,529.9878156287402
daniel,career,325.83811712562425
daniel,family,429.98389580036417
daniel,male,394.5772452606158
daniel,female,385.1472775721436
john,career,651.8357780047406
john,family,701.0082459754267
john,male,688.2420307966383
john,female,683.895085851224
jeffrey,career,258.7626018047934
jeffrey,family,382.06926853100936
jeffrey,male,341.9693987447874
jeffrey,female,331.37253096337383
career,career,0.0
career,family,401.21268088219705
career,male,362.5461853410343
career,female,352.3433927298915
corporation,career,298.24414644645566
corporation,family,409.8844551573115
corporation,male,373.7404317973862
corporation,female,363.80316613541294
salary,career,232.05321707017904
salary,family,366.7412522599762
salary,male,324.32169094873075
salary,female,312.5886821621886
office,career,324.6105108399537
office,family,429.05177810029653
office,male,394.52734137809125
office,female,385.43088893374534
professional,career,327.16941199149795
professional,family,433.5038910974232
professional,male,394.10304264449184
professional,female,384.294268475294
management,career,309.7715347888984
management,family,418.8955819006718
management,male,381.9567893046725
management,female,373.08045878183657
business,career,346.9058820305669
business,family,445.9185150890674
business,male,414.6570515552179
business,female,405.5084237296353
wedding,career,248.41432006023842
wedding,family,374.4583741191863
wedding,male,334.76515275781077
wedding,female,323.7544319962748
marriage,career,263.4857594792789
marriage,family,386.60688925644814
marriage,male,348.22407291323213
marriage,female,338.1924913250465
parents,career,272.48933898857723
parents,family,388.0860355576623
parents,male,351.3752793431668
parents,female,340.79450816799596
relatives,career,242.9724280650212
relatives,family,369.70114974579525
relatives,male,329.2440517965359
relatives,female,317.84015622133427
family,career,401.21268088219705
family,family,0.0
family,male,456.38902269195347
family,female,449.277104496179
home,career,332.1541288308561
home,family,433.5697713133828
home,male,399.91395633875766
home,female,391.67258020621296
children,career,324.14228099796145
children,family,426.14091073724563
children,male,391.40619979103263
children,female,382.0432147235935
