First word,Second word,cosine distance
rebecca,career,339991.8056558862
rebecca,family,338101.01109745324
rebecca,male,340122.35445400013
rebecca,female,342358.25634533365
michelle,career,421423.5508928928
michelle,family,419898.95145090576
michelle,male,421528.0306793216
michelle,female,423334.8459880937
emily,career,121993.13226342111
emily,family,116618.32864038913
emily,male,122355.82368197611
emily,female,128440.30463070906
julia,career,222401.1668172188
julia,family,219499.51327484977
julia,male,222594.82368280942
julia,female,226002.1327362465
anna,career,190295.9825742012
anna,family,186896.73808752774
anna,male,190529.1708033186
anna,female,194492.00509671008
ben,career,191780.23713972105
ben,family,188400.49790288752
ben,male,192011.5996839943
ben,female,195944.68907430468
paul,career,110622.10855281925
paul,family,104658.68366386868
paul,male,111023.01187621188
paul,female,117694.97966164889
daniel,career,299981.49367993046
daniel,family,297833.1422209928
daniel,male,300129.1407006966
daniel,female,302660.51402017346
john,career,74469.31919304963
john,family,65264.69176511306
john,male,75066.95997328822
john,female,84622.02769034305
jeffrey,career,445805.8795938323
jeffrey,family,444351.37010713073
jeffrey,male,445905.29207229515
jeffrey,female,447612.97711065254
career,career,0.0
career,family,52917.36005613917
career,male,64583.49681441519
career,female,75475.5124849993
corporation,career,117374.82105904953
corporation,family,111775.93064046245
corporation,male,117751.76439579396
corporation,female,124062.58690241165
salary,career,82852.70237671312
salary,family,74716.60152015365
salary,male,83387.30983451442
salary,female,92083.04617700781
office,career,51653.567208942615
office,family,37228.96780642166
office,male,52506.26344134436
office,female,65430.512772236536
professional,career,63040.649604898244
professional,family,51886.182063526016
professional,male,63738.93023478412
professional,female,74751.2924596453
management,career,52018.01525073839
management,family,37735.23321610078
management,male,52865.379113854564
management,female,65731.64443613813
business,career,49455.1254838922
business,family,33991.00183722589
business,male,50345.23645747139
business,female,63720.476693694494
wedding,career,71035.69619065858
wedding,family,61349.935367278835
wedding,male,71658.38185867037
wedding,female,81613.60026488685
marriage,career,57749.03427049947
marriage,family,45525.21904660937
marriage,male,58688.875999853124
marriage,female,70507.4849413207
parents,career,50537.18563098153
parents,family,35661.86058015494
parents,male,51411.34026011171
parents,female,64567.324886431255
relatives,career,87383.26528266002
relatives,family,79669.56028717404
relatives,male,87889.39556963711
relatives,female,96167.95141005219
family,career,52917.36005613917
family,family,0.0
family,male,53715.49326722216
family,female,66442.66192241682
home,career,47377.439638259355
home,family,31025.356889423903
home,male,48301.78693075646
home,female,62122.82632402227
children,career,47212.59449141769
children,family,30772.19949656935
children,male,48137.88793520098
children,female,61992.82284907668
