First word,Second word,cosine distance
rebecca,career,2.611479
rebecca,family,2.0248537
rebecca,male,2.5648081
rebecca,female,2.5759866
michelle,career,2.738745
michelle,family,2.4574654
michelle,male,2.8260934
michelle,female,2.8250961
emily,career,2.9084947
emily,family,2.3472843
emily,male,3.003674
emily,female,2.939489
julia,career,2.6089482
julia,family,2.2385106
julia,male,2.7718081
julia,female,2.789156
anna,career,2.8569806
anna,family,2.2086225
anna,male,2.8818507
anna,female,2.9227722
ben,career,2.516801
ben,family,2.1852746
ben,male,2.6962185
ben,female,2.7856526
paul,career,2.3420994
paul,family,2.2597628
paul,male,2.564934
paul,female,2.811021
daniel,career,2.6300962
daniel,family,2.2570922
daniel,male,2.831263
daniel,female,2.9443188
john,career,2.2268143
john,family,1.9998107
john,male,2.3009822
john,female,2.5748844
jeffrey,career,2.488701
jeffrey,family,2.4805644
jeffrey,male,2.7094324
jeffrey,female,2.7848415
career,career,0.0
career,family,2.225561
career,male,2.4159372
career,female,2.5002367
corporation,career,3.172992
corporation,family,2.8959987
corporation,male,2.9667337
corporation,female,3.3112686
salary,career,2.6455684
salary,family,3.1881063
salary,male,3.2243295
salary,female,3.3510063
office,career,2.4160643
office,family,2.1795633
office,male,2.4803653
office,female,2.6807148
professional,career,1.7529287
professional,family,2.4707518
professional,male,2.3652754
professional,female,2.5128233
management,career,2.3853025
management,family,2.6947558
management,male,2.7302473
management,female,3.0016172
business,career,2.2587566
business,family,2.2797205
business,male,2.413759
business,female,2.6878676
wedding,career,3.0886903
wedding,family,2.3407037
wedding,male,2.9746604
wedding,female,2.9238417
marriage,career,2.5745587
marriage,family,1.7895447
marriage,male,2.792537
marriage,female,2.6643956
parents,career,2.6149368
parents,family,1.574066
parents,male,2.1508296
parents,female,2.1853216
relatives,career,3.030957
relatives,family,1.5462372
relatives,male,2.4263628
relatives,female,2.5201573
family,career,2.225561
family,family,0.0
family,male,1.9572542
family,female,2.0960562
home,career,2.195913
home,family,1.6192276
home,male,2.0124319
home,female,2.3417172
children,career,2.6039162
children,family,1.5641688
children,male,1.9319824
children,female,2.0633652
