First word,Second word,cosine distance
rebecca,career,14.473227
rebecca,family,11.810292
rebecca,male,15.314855
rebecca,female,14.414811
michelle,career,15.282987
michelle,family,12.584276
michelle,male,15.645475
michelle,female,14.881148
emily,career,14.776124
emily,family,11.321902
emily,male,14.909549
emily,female,13.70485
julia,career,14.852292
julia,family,11.854126
julia,male,14.781196
julia,female,13.488173
anna,career,14.34353
anna,family,12.80024
anna,male,15.399545
anna,female,13.555318
ben,career,14.700541
ben,family,12.266392
ben,male,15.194494
ben,female,15.123617
paul,career,14.0382595
paul,family,12.428856
paul,male,15.051747
paul,female,14.445372
daniel,career,14.221625
daniel,family,12.206119
daniel,male,15.548594
daniel,female,15.413096
john,career,14.10285
john,family,12.382618
john,male,15.581721
john,female,14.852184
jeffrey,career,13.38034
jeffrey,family,11.8048
jeffrey,male,14.635419
jeffrey,female,13.912544
career,career,0.0
career,family,13.472615
career,male,15.876347
career,female,15.2781725
corporation,career,16.07298
corporation,family,15.449067
corporation,male,17.53444
corporation,female,16.970596
salary,career,15.207513
salary,family,15.348126
salary,male,17.029163
salary,female,16.699915
office,career,14.939332
office,family,12.812778
office,male,15.692938
office,female,14.874872
professional,career,11.405471
professional,family,12.755769
professional,male,13.821436
professional,female,13.298725
management,career,14.664346
management,family,14.200533
management,male,15.820709
management,female,15.426061
business,career,12.688243
business,family,11.650213
business,male,14.907708
business,female,14.605799
wedding,career,15.758568
wedding,family,12.925849
wedding,male,17.219763
wedding,female,16.959143
marriage,career,15.061463
marriage,family,12.715581
marriage,male,16.229628
marriage,female,15.987197
parents,career,14.135583
parents,family,8.680191
parents,male,14.729041
parents,female,14.691945
relatives,career,16.644249
relatives,family,10.084188
relatives,male,15.8242855
relatives,female,15.268561
family,career,13.472615
family,family,0.0
family,male,14.17081
family,female,13.931528
home,career,13.462412
home,family,8.937053
home,male,14.600907
home,female,13.800232
children,career,14.543499
children,family,9.849914
children,male,14.396492
children,female,14.04397
