First word,Second word,cosine distance
rebecca,career,0.08317851830980906
rebecca,family,0.06565006281873263
rebecca,male,0.07693330240861454
rebecca,female,0.07346342186987262
michelle,career,0.08338901004278651
michelle,family,0.06403568220722092
michelle,male,0.07638300668400895
michelle,female,0.07338676466306378
emily,career,0.08451447358587043
emily,family,0.06598263737124112
emily,male,0.07821120757283279
emily,female,0.07481863136420032
julia,career,0.0822391347695007
julia,family,0.07035498974812848
julia,male,0.08133550488736378
julia,female,0.0778624031327804
anna,career,0.08108279640827187
anna,family,0.06261035904606443
anna,male,0.07374736685709628
anna,female,0.07006588169984165
ben,career,0.0806964243866092
ben,family,0.06623999903475311
ben,male,0.0771744566949661
ben,female,0.07473479035012427
paul,career,0.07867478384009456
paul,family,0.05883769231079051
paul,male,0.07021896890349574
paul,female,0.0675147661116438
daniel,career,0.07931689302228351
daniel,family,0.06491032720746144
daniel,male,0.07592913519899486
daniel,female,0.0732510046701617
john,career,0.07553463701248131
john,family,0.056018160118513155
john,male,0.06603703205252953
john,female,0.06313495774115635
jeffrey,career,0.08387426316181887
jeffrey,family,0.0720263852572623
jeffrey,male,0.0792082579044064
jeffrey,female,0.07681141942863856
career,career,0.0
career,family,0.06814964473518202
career,male,0.08089997669496259
career,female,0.08015948069164461
corporation,career,0.12286113789396294
corporation,family,0.09829294044194879
corporation,male,0.10174100585782525
corporation,female,0.09976877634190712
salary,career,0.06122719688539505
salary,family,0.050823640570795664
salary,male,0.04891141873681919
salary,female,0.048698086143085274
office,career,0.10281739944212488
office,family,0.054612961027707234
office,male,0.06596403309806567
office,female,0.0637239067529241
professional,career,0.0607370990613755
professional,family,0.05946669704872853
professional,male,0.05372470295291987
professional,female,0.05466691142072438
management,career,0.08458223494897307
management,family,0.039685335827366885
management,male,0.05152779324082201
management,female,0.0475979736140568
business,career,0.06644619732015425
business,family,0.030569498661557844
business,male,0.04330427398881648
business,female,0.04093269135254903
wedding,career,0.0782154028712795
wedding,family,0.038622467901055134
wedding,male,0.04827399610616116
wedding,female,0.04612423997049015
marriage,career,0.06029228298402373
marriage,family,0.03995029653167757
marriage,male,0.04753998482506168
marriage,female,0.04478687739718796
parents,career,0.074507908508687
parents,family,0.053825592775090976
parents,male,0.07970008001226878
parents,female,0.07614619773881445
relatives,career,0.08555633473583386
relatives,family,0.057918103591849374
relatives,male,0.07825960537623083
relatives,female,0.07390215565093929
family,career,0.06814964473518202
family,family,0.0
family,male,0.041296348115677936
family,female,0.038591896226726076
home,career,0.07539442117692619
home,family,0.057071499574752244
home,male,0.07027714195195005
home,female,0.06758457464596886
children,career,0.08097698927710002
children,family,0.04120601683585892
children,male,0.06296196537626375
children,female,0.058294215136026846
