First word,Second word,cosine distance
rebecca,career,43.80707210404454
rebecca,family,97.74512160187831
rebecca,male,42.02852933077551
rebecca,female,42.571384294947336
michelle,career,43.667988376021995
michelle,family,96.16369793494604
michelle,male,42.186895836799835
michelle,female,42.73944731138429
emily,career,43.60506978598942
emily,family,96.23871561271704
emily,male,41.69111510675635
emily,female,42.277647472146214
julia,career,43.821802024980585
julia,family,96.63026669314769
julia,male,41.82791328813807
julia,female,42.10242383544427
anna,career,43.6879080806917
anna,family,96.34694744841404
anna,male,41.73462448879607
anna,female,42.02809741032573
ben,career,50.419238957534375
ben,family,81.95730899300709
ben,male,52.77751831362073
ben,female,52.22801390987469
paul,career,68.20642222299675
paul,family,76.32029909313397
paul,male,73.29633081333652
paul,female,71.91316009197948
daniel,career,43.963510619606545
daniel,family,89.74576433807971
daniel,male,44.627377379694785
daniel,female,44.738589973431644
john,career,85.46175826529112
john,family,78.95387684629024
john,male,91.0021318356514
john,female,89.22648497484235
jeffrey,career,49.73582901571166
jeffrey,family,107.70890900975803
jeffrey,male,45.461640887352715
jeffrey,female,46.51680376976956
career,career,0.0
career,family,87.0669437168988
career,male,47.22314301271831
career,female,46.48849285231017
corporation,career,46.21641539378788
corporation,family,101.61159287471567
corporation,male,43.739551572609905
corporation,female,44.43376664261985
salary,career,46.18602262821059
salary,family,103.35251268292357
salary,male,43.49266772385298
salary,female,44.552418305810455
office,career,54.03058321417951
office,family,79.78104929552462
office,male,57.36830770038086
office,female,56.292496107966514
professional,career,41.8036290783041
professional,family,89.65999237583756
professional,male,43.650378534620415
professional,female,43.059420161994076
management,career,43.80699348795645
management,family,93.88939675850582
management,male,43.869442839956754
management,female,44.23123339619609
business,career,70.09998249887933
business,family,74.31140144485201
business,male,76.08028887084772
business,female,75.03067914334072
wedding,career,47.86688182338703
wedding,family,86.25423222854866
wedding,male,49.80662520360934
wedding,female,50.08878541545003
marriage,career,43.57110527103457
marriage,family,89.25575415298945
marriage,male,44.835699217187766
marriage,female,45.224819560475396
parents,career,51.37220831527955
parents,family,75.04659846495993
parents,male,53.06196767482823
parents,female,52.94995815101556
relatives,career,45.41197816021342
relatives,family,98.32641057809538
relatives,male,41.8190575981969
relatives,female,42.585218728462415
family,career,87.0669437168988
family,family,0.0
family,male,90.850740298393
family,female,89.79863015229593
home,career,100.87276915044657
home,family,76.44412899483255
home,male,105.79943166330061
home,female,104.35978146020288
children,career,76.72138089726772
children,family,70.94662052181556
children,male,79.17217033966922
children,female,78.24726375920767
