First word,Second word,cosine distance
rebecca,career,404.3872318872497
rebecca,family,544.6889434907077
rebecca,male,439.02227408595417
rebecca,female,439.23907273256583
michelle,career,407.2343412439733
michelle,family,547.0691163065391
michelle,male,441.24133487406465
michelle,female,442.55206344804253
emily,career,411.9659981162292
emily,family,550.4485874183333
emily,male,444.98685863180015
emily,female,446.3330475126384
julia,career,414.491839071371
julia,family,551.9021052287814
julia,male,447.44630701077983
julia,female,448.8790644742605
anna,career,436.8585982287735
anna,family,570.3534498234989
anna,male,469.0985002715968
anna,female,469.2489298322369
ben,career,483.2753921724454
ben,family,602.1406209701809
ben,male,514.2674143866245
ben,female,515.1874378457868
paul,career,544.6310100055849
paul,family,649.8978759712459
paul,male,579.2018472571949
paul,female,578.0662783679475
daniel,career,451.3886842744177
daniel,family,580.1515687380326
daniel,male,484.76839211220613
daniel,female,486.6266359993129
john,career,619.9896008682587
john,family,707.0310425465823
john,male,651.1800000875667
john,female,651.1416596392494
jeffrey,career,381.1263744565274
jeffrey,family,526.9351485409687
jeffrey,male,417.41348878634835
jeffrey,female,419.63305256502906
career,career,0.0
career,family,572.6935614256419
career,male,476.9084986808083
career,female,477.50721229528943
corporation,career,396.2965841346091
corporation,family,541.3492805905632
corporation,male,430.9025561017309
corporation,female,434.08966497998705
salary,career,374.26280064489504
salary,family,524.7065251460112
salary,male,412.50035395190264
salary,female,415.4804068410281
office,career,470.05432170304874
office,family,589.2369960748857
office,male,504.3001366540566
office,female,505.4952458727882
professional,career,431.59117216578676
professional,family,574.6711556183551
professional,male,472.47409205029663
professional,female,472.6750637735863
management,career,420.7247660359297
management,family,562.6672936188239
management,male,456.42069069923855
management,female,459.09868703988525
business,career,509.45899876022105
business,family,611.5958564455514
business,male,545.4769440141206
business,female,548.1129072621112
wedding,career,434.96143184633183
wedding,family,560.7897878435176
wedding,male,470.6452851377139
wedding,female,472.87069890890655
marriage,career,428.57118672765523
marriage,family,560.1058816127173
marriage,male,463.82518913117747
marriage,female,465.8695428339405
parents,career,447.34610401675945
parents,family,557.9629752898583
parents,male,478.6402985241933
parents,female,481.5655537827323
relatives,career,396.3065920622856
relatives,family,529.0496713825653
relatives,male,428.22884751336994
relatives,female,430.8211619033849
family,career,572.6935614256419
family,family,0.0
family,male,599.788704806938
family,female,602.5376976257884
home,career,582.9247533618363
home,family,645.2528841551774
home,male,612.376141820989
home,female,614.5681470498715
children,career,523.3405886649929
children,family,612.0643940497407
children,male,550.8295837780439
children,female,552.5292085837868
