First word,Second word,cosine distance
rebecca,career,268.1329441109605
rebecca,family,397.28820332985066
rebecca,male,330.93705561400003
rebecca,female,330.69163692193337
michelle,career,270.5642580325538
michelle,family,398.6693241733161
michelle,male,333.5780413058631
michelle,female,332.76244868597206
emily,career,271.61218986683343
emily,family,398.5774132180068
emily,male,333.0867745883144
emily,female,332.72685265958927
julia,career,274.2755962940088
julia,family,400.6568494077553
julia,male,336.6488974546094
julia,female,335.6603203621394
anna,career,310.7949412725241
anna,family,426.3965899163535
anna,male,366.5608298158529
anna,female,364.72604849410857
ben,career,347.36702773929835
ben,family,451.39996702779604
ben,male,396.4447613799863
ben,female,396.1401316991637
paul,career,428.1317399963376
paul,family,510.5642930559951
paul,male,469.0740578100624
paul,female,467.085433233391
daniel,career,330.2617647788423
daniel,family,438.97324505496357
daniel,male,382.0729089048411
daniel,female,381.6676857572988
john,career,522.7536930677988
john,family,585.4281154453502
john,male,556.296117099262
john,female,554.7202861518954
jeffrey,career,242.81877660022593
jeffrey,family,381.25647298061665
jeffrey,male,312.4620473398984
jeffrey,female,310.9868906445136
career,career,0.0
career,family,396.4108751569985
career,male,331.44747678638305
career,female,329.2626508046851
corporation,career,233.11090288357022
corporation,family,375.9604995102704
corporation,male,306.05747815773407
corporation,female,305.39940117522053
salary,career,217.26254878278166
salary,family,367.62417770278984
salary,male,294.7651782792476
salary,female,293.6086663276127
office,career,275.57782877397335
office,family,402.3974825024802
office,male,339.0878560342496
office,female,338.1082321567962
professional,career,296.0490132891915
professional,family,420.42087289132803
professional,male,352.0248811036565
professional,female,348.2468894809772
management,career,257.5673758276975
management,family,392.45974608694667
management,male,324.8168897938923
management,female,324.4260920022473
business,career,328.5865476461682
business,family,438.9839441799201
business,male,385.5905664637557
business,female,384.3260842476454
wedding,career,279.4733684892809
wedding,family,403.9513242512151
wedding,male,342.0359121910289
wedding,female,340.8665481767926
marriage,career,256.2288842203873
marriage,family,391.02669917693146
marriage,male,325.6695482162992
marriage,female,325.40998572604883
parents,career,268.11943960526554
parents,family,392.3651241278872
parents,male,331.4610972096739
parents,female,331.1436364458975
relatives,career,227.3386951059938
relatives,family,368.50298253946477
relatives,male,300.11764839102943
relatives,female,299.7524351938093
family,career,396.4108751569985
family,family,0.0
family,male,440.43686863731546
family,female,440.5074974553471
home,career,329.8940607585633
home,family,436.42733009578444
home,male,384.70875507370585
home,female,383.9979497046396
children,career,311.04227631208977
children,family,422.49550120196665
children,male,365.2203882920063
children,female,364.6327525605626
