First word,Second word,cosine distance
rebecca,career,85855.36438746136
rebecca,family,82352.41912274172
rebecca,male,93018.31074130093
rebecca,female,90233.5011724455
michelle,career,73669.82827556654
michelle,family,69527.59369570074
michelle,male,81913.5546036612
michelle,female,79201.23980831388
emily,career,76657.41667442278
emily,family,72697.03520175409
emily,male,84599.34141758991
emily,female,81964.31333397118
julia,career,74593.18572405903
julia,family,70533.70365976133
julia,male,82737.033853216
julia,female,80047.75880981088
anna,career,111252.94474729219
anna,family,108536.02622625035
anna,male,116869.09944746814
anna,female,114836.85264459676
ben,career,43558.716506771554
ben,family,36143.388281539956
ben,male,56371.32498230159
ben,female,52349.206322399106
paul,career,34728.10044852805
paul,family,24828.16152013084
paul,male,49872.6242638809
paul,female,45268.98026899435
daniel,career,61449.18276724013
daniel,family,56439.772684630174
daniel,male,71112.51283410953
daniel,female,67965.60688417549
john,career,33328.38273831151
john,family,22810.0084285465
john,male,48894.84880458416
john,female,44212.03203271124
jeffrey,career,227259.6709942579
jeffrey,family,225935.28199778261
jeffrey,male,230060.372894282
jeffrey,female,229107.4197280474
career,career,0.0
career,family,28368.361423179987
career,male,51718.68881112825
career,female,47269.347705295564
corporation,career,72946.84396949675
corporation,family,68789.50096882784
corporation,male,81254.97031411175
corporation,female,78515.20012499049
salary,career,53828.083662912126
salary,family,48047.558772279306
salary,male,64642.635895445426
salary,female,61159.59667092219
office,career,31673.918203880916
office,family,20350.042279148765
office,male,47771.10769861477
office,female,42971.46417293021
professional,career,44317.81747998504
professional,family,37542.71965877581
professional,male,57258.278369946325
professional,female,53305.19349915056
management,career,51317.963172006566
management,family,45219.47225606727
management,male,62549.12777824575
management,female,58966.01462421247
business,career,29178.478571068776
business,family,16102.46665217775
business,male,46180.91135194324
business,female,41169.66420251819
wedding,career,34664.701108643094
wedding,family,24740.690875850298
wedding,male,49827.5964592881
wedding,female,45221.5130818651
marriage,career,43119.17425618478
marriage,family,35662.42790729735
marriage,male,56053.03711917246
marriage,female,51924.63480336584
parents,career,31976.659054395255
parents,family,20730.78988848775
parents,male,47997.04861575703
parents,female,43194.019738203366
relatives,career,57780.654067679774
relatives,family,52394.58236256451
relatives,male,67967.44205107818
relatives,female,64665.34785155897
family,career,28368.361423179987
family,family,0.0
family,male,45668.04374006173
family,female,40581.79062972124
home,career,27488.437719957605
home,family,12716.604537898935
home,male,45132.15248323413
home,female,39983.656634942614
children,career,28610.8225988576
children,family,15120.553135959759
children,male,45817.80024907985
children,female,40763.16315788076
