First word,Second word,cosine distance
rebecca,career,4.5905385
rebecca,family,4.044746
rebecca,male,5.0903335
rebecca,female,4.8795047
michelle,career,4.4132085
michelle,family,4.015173
michelle,male,4.8266096
michelle,female,4.885529
emily,career,4.5301433
emily,family,3.8347604
emily,male,4.894897
emily,female,4.587127
julia,career,4.4549613
julia,family,3.8433697
julia,male,4.6406145
julia,female,4.404689
anna,career,4.7118263
anna,family,4.2229996
anna,male,5.0885034
anna,female,4.664709
ben,career,4.052211
ben,family,3.5229661
ben,male,4.6289544
ben,female,4.52069
paul,career,3.8003304
paul,family,3.4582303
paul,male,4.470491
paul,female,4.263563
daniel,career,4.313919
daniel,family,3.8380055
daniel,male,4.9119134
daniel,female,4.7654305
john,career,3.7945006
john,family,3.5548415
john,male,4.5692773
john,female,4.362324
jeffrey,career,4.502593
jeffrey,family,4.059883
jeffrey,male,4.9001474
jeffrey,female,4.72706
career,career,0.0
career,family,3.5740764
career,male,4.4625196
career,female,4.353041
corporation,career,5.0553737
corporation,family,4.8177843
corporation,male,5.4374566
corporation,female,5.3738275
salary,career,4.5616813
salary,family,4.688948
salary,male,5.4995804
salary,female,5.286814
office,career,4.0929646
office,family,3.5079315
office,male,4.5953093
office,female,4.398014
professional,career,3.325122
professional,family,3.6042533
professional,male,4.224414
professional,female,4.0843444
management,career,4.0484676
management,family,3.9571157
management,male,4.751683
management,female,4.6234155
business,career,3.4278765
business,family,3.1756034
business,male,4.265019
business,female,4.232559
wedding,career,4.450932
wedding,family,3.5249424
wedding,male,5.074663
wedding,female,5.1673074
marriage,career,4.359398
marriage,family,3.798401
marriage,male,4.9208174
marriage,female,4.981447
parents,career,3.896006
parents,family,2.4315603
parents,male,4.2954445
parents,female,4.3285627
relatives,career,5.013316
relatives,family,3.451274
relatives,male,5.094626
relatives,female,4.991332
family,career,3.5740764
family,family,0.0
family,male,4.134886
family,female,4.184788
home,career,3.5960329
home,family,2.453757
home,male,4.319077
home,female,4.121102
children,career,3.9563725
children,family,2.6939998
children,male,4.29478
children,female,4.286007
