First word,Second word,cosine distance
rebecca,career,8.042879
rebecca,family,6.2218585
rebecca,male,7.8413568
rebecca,female,7.4220114
michelle,career,7.8950715
michelle,family,6.1329317
michelle,male,7.9846516
michelle,female,7.5461407
emily,career,7.893795
emily,family,5.847895
emily,male,7.699678
emily,female,7.2795653
julia,career,7.923361
julia,family,6.2153525
julia,male,8.099671
julia,female,7.607231
anna,career,8.103631
anna,family,6.0502796
anna,male,7.9250784
anna,female,7.572486
ben,career,8.238283
ben,family,6.347903
ben,male,8.365878
ben,female,7.968193
paul,career,7.8970346
paul,family,6.328571
paul,male,7.660313
paul,female,7.240893
daniel,career,8.281155
daniel,family,6.7328186
daniel,male,8.430287
daniel,female,7.9675956
john,career,7.8062525
john,family,5.993925
john,male,7.7707686
john,female,7.37631
jeffrey,career,8.479096
jeffrey,family,6.5799475
jeffrey,male,8.337113
jeffrey,female,7.891054
career,career,0.0
career,family,6.277619
career,male,7.53437
career,female,7.187347
corporation,career,7.79764
corporation,family,6.5722246
corporation,male,8.783648
corporation,female,8.474582
salary,career,7.707011
salary,family,8.295261
salary,male,9.387947
salary,female,9.232131
office,career,6.8054743
office,family,5.3017883
office,male,7.2786922
office,female,6.948605
professional,career,5.412353
professional,family,5.519198
professional,male,6.329042
professional,female,5.881724
management,career,6.6196747
management,family,5.7727056
management,male,7.057606
management,female,6.6288905
business,career,5.500709
business,family,4.580524
business,male,6.8892508
business,female,6.5394974
wedding,career,8.071632
wedding,family,6.9104233
wedding,male,8.853627
wedding,female,8.704691
marriage,career,6.79069
marriage,family,5.209776
marriage,male,7.173263
marriage,female,7.266833
parents,career,6.807937
parents,family,4.209378
parents,male,6.2965937
parents,female,6.2734113
relatives,career,7.4858055
relatives,family,4.024455
relatives,male,6.4667335
relatives,female,6.4783316
family,career,6.277619
family,family,0.0
family,male,5.9248724
family,female,5.8351727
home,career,6.03572
home,family,3.7462382
home,male,6.443535
home,female,6.156889
children,career,6.9276447
children,family,4.2426395
children,male,6.2978144
children,female,6.1735735
