First word,Second word,cosine distance
rebecca,career,0.12270175025240894
rebecca,family,0.1150230320487118
rebecca,male,0.10284470012400196
rebecca,female,0.10284491848404724
michelle,career,0.12172713585240402
michelle,family,0.11481377605499699
michelle,male,0.10188298656701944
michelle,female,0.10208162096401478
emily,career,0.12052525238186818
emily,family,0.10936373714469712
emily,male,0.09782500688618798
emily,female,0.0979902386638377
julia,career,0.12205622389408369
julia,family,0.11467208023465954
julia,male,0.10180920811017041
julia,female,0.10179780946915694
anna,career,0.11812148550500966
anna,family,0.10980628407381941
anna,male,0.0986160873841666
anna,female,0.09860551674836596
ben,career,0.11624833956648557
ben,family,0.10375404079938666
ben,male,0.09233236839906636
ben,female,0.09166070762494756
paul,career,0.12077845047397617
paul,family,0.11569675539898806
paul,male,0.10630811157269582
paul,female,0.10558226290125142
daniel,career,0.1143541044639688
daniel,family,0.10918174054667125
daniel,male,0.09765523137895901
daniel,female,0.09692120178146757
john,career,0.11854856175936844
john,family,0.10964280916928837
john,male,0.09883323482058844
john,female,0.09736660134336156
jeffrey,career,0.12783716349376212
jeffrey,family,0.12467233047326554
jeffrey,male,0.11191732094966649
jeffrey,female,0.11126212303706608
career,career,0.0
career,family,0.10361198301132579
career,male,0.10420003859366415
career,female,0.10237655383686083
corporation,career,0.1395781612712712
corporation,family,0.08489599739437309
corporation,male,0.09480989785872605
corporation,female,0.08901438024339878
salary,career,0.11264929750417264
salary,family,0.09615073671931586
salary,male,0.09036137944937246
salary,female,0.0865506194073873
office,career,0.12603400748786509
office,family,0.08929904743104956
office,male,0.09684477749481661
office,female,0.09252001560122654
professional,career,0.09541727801357716
professional,family,0.08480191409086929
professional,male,0.07027562844894748
professional,female,0.06689345594638822
management,career,0.12834690974044735
management,family,0.08925340670342995
management,male,0.08716073496155166
management,female,0.0845741705083256
business,career,0.09281504017248271
business,family,0.058287820118595124
business,male,0.06345541298770094
business,female,0.05899315013127743
wedding,career,0.10956620642574172
wedding,family,0.08644506436230458
wedding,male,0.0932001918751803
wedding,female,0.08877773792775022
marriage,career,0.11378319121213162
marriage,family,0.06289737822748387
marriage,male,0.07934556228902992
marriage,female,0.07363674382893105
parents,career,0.12586330575169039
parents,family,0.09108903108040212
parents,male,0.09970618314589572
parents,female,0.09995262973452344
relatives,career,0.15096159618472285
relatives,family,0.11535140417941622
relatives,male,0.12060611085172894
relatives,female,0.1213088731834526
family,career,0.10361198301132579
family,family,0.0
family,male,0.06014192829229574
family,female,0.054043412501695684
home,career,0.11866665632912331
home,family,0.08931055839850514
home,male,0.0940216055577487
home,female,0.0916280169615856
children,career,0.13680816711825045
children,family,0.09694065808382177
children,male,0.11160025706812342
children,female,0.10911584500105169
