First word,Second word,cosine distance
rebecca,career,155.3734401384218
rebecca,family,266.6735323258558
rebecca,male,142.67978292285463
rebecca,female,143.2911679195446
michelle,career,156.86612667854823
michelle,family,269.42674609297666
michelle,male,143.23534261411166
michelle,female,144.1352700057794
emily,career,158.03420278791148
emily,family,269.04914249854625
emily,male,142.9117587568444
emily,female,143.86868943945677
julia,career,153.1932835696174
julia,family,264.4676187616554
julia,male,141.73964217635574
julia,female,142.19254715661285
anna,career,148.4945889109082
anna,family,254.14242596922386
anna,male,139.18674620808278
anna,female,138.7644238903261
ben,career,146.44470697093692
ben,family,235.27322714041296
ben,male,146.281579615783
ben,female,144.63640392980827
paul,career,194.60311813798617
paul,family,221.1620192055714
paul,male,211.51713386840538
paul,female,207.41708068361774
daniel,career,144.4901936242949
daniel,family,239.10173828857543
daniel,male,140.97609623847714
daniel,female,139.8449795681236
john,career,287.4715452407745
john,family,262.6732463284407
john,male,305.57853795349035
john,female,301.3976189969558
jeffrey,career,165.3006029613505
jeffrey,family,279.11895061717723
jeffrey,male,148.92225108192252
jeffrey,female,150.85199952835376
career,career,0.0
career,family,216.4868451335857
career,male,148.7341066797382
career,female,143.99807924341692
corporation,career,146.5761510495426
corporation,family,247.26124667933965
corporation,male,145.9009772506746
corporation,female,146.03229907320724
salary,career,150.32033403088766
salary,family,260.8893767667726
salary,male,148.28650049749012
salary,female,149.11489969840522
office,career,222.04860782180515
office,family,229.28993717774344
office,male,240.779774104026
office,female,237.70077752023042
professional,career,153.0611464060963
professional,family,214.75567400619573
professional,male,179.79920561313733
professional,female,175.28442195841853
management,career,219.81139708508906
management,family,240.06547461416935
management,male,242.80142411039978
management,female,239.50199271869718
business,career,239.75885038148226
business,family,237.4881780159358
business,male,267.881512515357
business,female,263.520649879443
wedding,career,148.5430589785651
wedding,family,237.64952584151973
wedding,male,144.7790019814369
wedding,female,143.2289865278783
marriage,career,138.58698629411597
marriage,family,231.54358645413248
marriage,male,132.13119742100386
marriage,female,131.531980689546
parents,career,143.3466908791903
parents,family,200.678005573026
parents,male,148.1023355308254
parents,female,145.2472965584208
relatives,career,151.10712710464549
relatives,family,257.2575552671727
relatives,male,131.51079036988548
relatives,female,133.38074408709548
family,career,216.4868451335857
family,family,0.0
family,male,227.90969726300756
family,female,223.92877085516878
home,career,272.2786821060696
home,family,235.06233246773434
home,male,289.0663653440316
home,female,284.45968208587425
children,career,236.5865489401891
children,family,209.23879373286516
children,male,246.55787261281733
children,female,242.16203044090892
