First word,Second word,cosine distance
rebecca,career,820.2956290732387
rebecca,family,1260.9705693675094
rebecca,male,933.3494112546383
rebecca,female,942.4241137010133
michelle,career,809.9766792847657
michelle,family,1256.8734459691352
michelle,male,924.1289445151726
michelle,female,933.3167073082001
emily,career,790.0853751380974
emily,family,1241.0214570907217
emily,male,905.6276371751657
emily,female,915.6027553241883
julia,career,823.7299359302797
julia,family,1262.9059059971694
julia,male,936.723352938285
julia,female,946.0923204672365
anna,career,955.8476612181954
anna,family,1351.850941998264
anna,male,1054.1435190716181
anna,female,1061.634256542158
ben,career,1051.7216748644516
ben,family,1418.475497198179
ben,male,1142.4063001161708
ben,female,1150.0225299583533
paul,career,1381.19238618047
paul,family,1661.5829876145183
paul,male,1455.5108905508714
paul,female,1461.9925793220016
daniel,career,1052.018451925511
daniel,family,1419.7371868649007
daniel,male,1142.1602208443203
daniel,female,1149.321520972839
john,career,1808.276852749994
john,family,2006.7394126235256
john,male,1866.9255869767928
john,female,1872.1432357174017
jeffrey,career,747.8227855038554
jeffrey,family,1220.03430440311
jeffrey,male,871.8723507413307
jeffrey,female,882.0704906124038
career,career,0.0
career,family,1240.9931014981853
career,male,911.8609838636681
career,female,921.6054897962616
corporation,career,855.3780771034885
corporation,family,1290.8076101420324
corporation,male,971.0178009625664
corporation,female,980.8204637257262
salary,career,963.8707470145779
salary,family,1367.2034574362215
salary,male,1067.7446603379228
salary,female,1076.0008468208666
office,career,1089.3175771733584
office,family,1445.2949135053739
office,male,1191.0969945567626
office,female,1199.510467833093
professional,career,928.6950038180875
professional,family,1340.785498469582
professional,male,1044.553669205624
professional,female,1049.0874300621429
management,career,1054.0187534575068
management,family,1424.409743990063
management,male,1163.3543829444789
management,female,1171.4321620185754
business,career,1157.878422796367
business,family,1498.2982952805678
business,male,1261.6020518799664
business,female,1268.7918312301676
wedding,career,835.3304268057421
wedding,family,1274.9148045426439
wedding,male,954.0461152094749
wedding,female,963.9480766142232
marriage,career,725.4071949705195
marriage,family,1206.7052840880788
marriage,male,858.6575728226477
marriage,female,870.4976623708001
parents,career,783.191854067527
parents,family,1231.0904100053458
parents,male,910.1044820749881
parents,female,920.6124783491813
relatives,career,645.3074260906317
relatives,family,1158.348486130718
relatives,male,785.8182507881194
relatives,female,798.4040548032152
family,career,1240.9931014981853
family,family,0.0
family,male,1325.9466251878844
family,female,1334.51357262091
home,career,1241.7626252977207
home,family,1555.6378622412285
home,male,1334.670540160214
home,female,1342.6999364412006
children,career,1014.027815466936
children,family,1376.1147072686274
children,male,1120.123387735804
children,female,1129.7957390687206
