First word,Second word,cosine distance
rebecca,career,1301.8048243085975
rebecca,family,1849.3157725991684
rebecca,male,1453.3446712546047
rebecca,female,1458.37742729728
michelle,career,1278.554820903295
michelle,family,1835.1269242037895
michelle,male,1433.2196097755743
michelle,female,1438.2606264454428
emily,career,1248.507611879169
emily,family,1810.6091296977756
emily,male,1404.009928499953
emily,female,1410.1011491539923
julia,career,1297.1639934278996
julia,family,1846.7505279783877
julia,male,1449.1364616474443
julia,female,1455.566254777064
anna,career,1443.0076716346039
anna,family,1948.2025669642576
anna,male,1579.4152422487196
anna,female,1583.0588886250464
ben,career,1617.7399784952233
ben,family,2082.1244832775888
ben,male,1741.1638887449112
ben,female,1745.8271287219743
paul,career,2037.6347785134183
paul,family,2413.4426355019345
paul,male,2140.4468100641775
paul,female,2144.178333588952
daniel,career,1562.821007140363
daniel,family,2037.5462587716656
daniel,male,1689.832049319538
daniel,female,1695.0032285455957
john,career,2544.0926553032104
john,family,2828.280062983828
john,male,2628.7971513014504
john,female,2632.702608464463
jeffrey,career,1216.0559651997821
jeffrey,family,1793.7224642887427
jeffrey,male,1378.6659347213163
jeffrey,female,1386.6489663056877
career,career,0.0
career,family,1887.3881165968396
career,male,1503.5396252103685
career,female,1509.6296047461763
corporation,career,1393.564859284148
corporation,family,1918.379711392855
corporation,male,1539.2721900232716
corporation,female,1547.6359550445443
salary,career,1475.6431105585034
salary,family,1984.7447634350215
salary,male,1619.3704331607614
salary,female,1627.641416472111
office,career,1977.303737626114
office,family,2364.1235673896294
office,male,2083.457956301369
office,female,2090.0841081605436
professional,career,1540.7928050073433
professional,family,2035.6140573353568
professional,male,1686.0069655502123
professional,female,1689.6309964666873
management,career,1834.2383122615572
management,family,2263.2418481754044
management,male,1959.1807139966866
management,female,1965.4211251165614
business,career,1860.9216178245574
business,family,2272.4098112500005
business,male,1983.345810482146
business,female,1988.827436306477
wedding,career,1413.4970677978401
wedding,family,1925.9865406649878
wedding,male,1553.1259430539822
wedding,female,1559.9470513913366
marriage,career,1291.9536036989557
marriage,family,1826.063263699512
marriage,male,1439.8251499141134
marriage,female,1447.3726279810644
parents,career,1349.486647207584
parents,family,1866.3887958933628
parents,male,1493.5666218211893
parents,female,1501.6206146049253
relatives,career,1144.8972461331894
relatives,family,1734.2673809068376
relatives,male,1307.2441834728893
relatives,female,1318.0324081738713
family,career,1887.3881165968396
family,family,0.0
family,male,1990.1063936320822
family,female,1997.4103444507566
home,career,2069.027182928771
home,family,2421.4091062904326
home,male,2168.6750196434414
home,female,2173.9338406463858
children,career,1717.7900869627692
children,family,2129.3508389339636
children,male,1829.9377089260977
children,female,1837.029950730906
