First word,Second word,cosine distance
rebecca,career,587685.8614308573
rebecca,family,585553.4851728498
rebecca,male,605616.9957176166
rebecca,female,606366.5483769531
michelle,career,619557.8587453945
michelle,family,617498.0750041051
michelle,male,636609.7862095495
michelle,female,637353.3793067555
emily,career,560893.1440879513
emily,family,558683.9276533804
emily,male,579708.0611744458
emily,female,580407.8837819655
julia,career,548478.3895928677
julia,family,546192.9800184342
julia,male,567708.0594106601
julia,female,568494.1063867112
anna,career,498321.41963903344
anna,family,495787.9528086332
anna,male,519346.59874928364
anna,female,520090.3528283456
ben,career,289617.5120961027
ben,family,285286.2424512551
ben,male,324465.3643417087
ben,female,325851.2274259502
paul,career,146524.3929947427
paul,family,137746.9169309964
paul,male,207034.14183788787
paul,female,209334.05990751056
daniel,career,332541.8862771875
daniel,family,328805.1351150334
daniel,male,363352.3498968251
daniel,female,364596.5327532338
john,career,115748.12661959609
john,family,104302.9099279809
john,male,186519.35935877872
john,female,189086.21624840744
jeffrey,career,755834.0465152608
jeffrey,family,754179.2991780776
jeffrey,male,769865.0514809082
jeffrey,female,770479.4091306109
career,career,0.0
career,family,94463.68800875402
career,male,181144.308292841
career,female,183741.6996876398
corporation,career,214560.53287932332
corporation,family,208711.56936087974
corporation,male,259708.21476143555
corporation,female,261513.01259265086
salary,career,287075.97683200025
salary,family,282805.28453941096
salary,male,322325.56949394656
salary,female,323805.1695071598
office,career,98007.71357846013
office,family,84403.91056564527
office,male,176102.5077263536
office,female,178756.89418373414
professional,career,96919.2571684817
professional,family,83347.52292995348
professional,male,175442.7514046722
professional,female,178181.281276866
management,career,88063.34386762729
management,family,72947.58705038312
management,male,170901.61595579144
management,female,173646.59565837556
business,career,83778.04539644343
business,family,67363.06209660452
business,male,168644.7742995316
business,female,171418.20976473234
wedding,career,183744.5524462596
wedding,family,176836.63071997423
wedding,male,234885.84520736418
wedding,female,236870.6443822948
marriage,career,159894.19577517812
marriage,family,151698.5864928356
marriage,male,216661.37857926107
marriage,female,218842.77299879084
parents,career,94571.66303409568
parents,family,80287.6098935163
parents,male,174207.64456237506
parents,female,176885.58006697864
relatives,career,205850.75741918516
relatives,family,199592.08927183598
relatives,male,252239.2808259362
relatives,female,254378.43696486895
family,career,94463.68800875402
family,family,0.0
family,male,174121.8324670662
family,female,176836.82480565892
home,career,86464.2998021596
home,family,70510.7999877664
home,male,169951.85329718224
home,female,172703.34192498276
children,career,81665.29420676024
children,family,64559.7205822504
children,male,167524.06067579513
children,female,170341.65734945599
