First word,Second word,cosine distance
rebecca,career,4.4542685
rebecca,family,3.8873022
rebecca,male,4.5352817
rebecca,female,4.2295637
michelle,career,4.557673
michelle,family,3.9095852
michelle,male,4.65398
michelle,female,4.328091
emily,career,4.7592297
emily,family,3.849161
emily,male,4.5253625
emily,female,4.230391
julia,career,4.4100795
julia,family,3.7411525
julia,male,4.5986924
julia,female,4.310129
anna,career,4.4958572
anna,family,3.7297688
anna,male,4.528564
anna,female,4.1914554
ben,career,4.8394356
ben,family,4.18724
ben,male,4.8481784
ben,female,4.7393937
paul,career,4.392919
paul,family,3.917798
paul,male,4.5369253
paul,female,4.366085
daniel,career,4.6948586
daniel,family,4.059868
daniel,male,4.701584
daniel,female,4.5896397
john,career,4.198456
john,family,3.5461087
john,male,4.471197
john,female,4.275823
jeffrey,career,4.7039843
jeffrey,family,4.091954
jeffrey,male,4.7594485
jeffrey,female,4.606652
career,career,0.0
career,family,3.9330053
career,male,4.789069
career,female,4.52334
corporation,career,4.8398156
corporation,family,4.392153
corporation,male,5.681785
corporation,female,5.47925
salary,career,4.619223
salary,family,5.265769
salary,male,5.7032237
salary,female,5.6104655
office,career,4.221505
office,family,3.4683845
office,male,4.5981555
office,female,4.4454365
professional,career,3.340502
professional,family,3.4224885
professional,male,4.284781
professional,female,4.046657
management,career,4.127477
management,family,3.8428435
management,male,4.724523
management,female,4.620272
business,career,3.5717537
business,family,3.2980814
business,male,4.6139407
business,female,4.3925004
wedding,career,5.451107
wedding,family,4.685776
wedding,male,5.7803826
wedding,female,5.7396507
marriage,career,4.5005045
marriage,family,3.432214
marriage,male,4.5770807
marriage,female,4.6347632
parents,career,4.181785
parents,family,2.5287337
parents,male,4.1354327
parents,female,4.1102386
relatives,career,4.7617154
relatives,family,2.6066785
relatives,male,4.3025875
relatives,female,4.312264
family,career,3.9330053
family,family,0.0
family,male,3.8927238
family,female,3.8692791
home,career,3.7819133
home,family,2.6007385
home,male,4.099838
home,female,3.8787558
children,career,4.2161307
children,family,2.6154668
children,male,4.0726705
children,female,4.0445714
