,0,1,correlation
0,rebecca,career,0.9376903
1,rebecca,family,0.89721286
2,rebecca,male,0.91589296
3,rebecca,female,0.8520076
4,michelle,career,0.917525
5,michelle,family,0.8591305
6,michelle,male,0.9043816
7,michelle,female,0.80934775
8,emily,career,0.92221814
9,emily,family,0.80220914
10,emily,male,0.97627974
11,emily,female,0.9105263
12,julia,career,0.89898485
13,julia,family,0.8759406
14,julia,male,0.954285
15,julia,female,0.88747764
16,anna,career,0.88079274
17,anna,family,0.80469614
18,anna,male,0.8957042
19,anna,female,0.85266805
20,ben,career,0.835923
21,ben,family,0.9420071
22,ben,male,0.94207174
23,ben,female,0.94195306
24,paul,career,0.79972947
25,paul,family,0.82940257
26,paul,male,0.9520531
27,paul,female,0.9389524
28,daniel,career,0.86551505
29,daniel,family,0.8833194
30,daniel,male,0.9911498
31,daniel,female,0.95519423
32,john,career,0.7744109
33,john,family,0.76464134
34,john,male,0.8295879
35,john,female,0.8263602
36,jeffrey,career,0.8827179
37,jeffrey,family,0.93338877
38,jeffrey,male,0.98032653
39,jeffrey,female,0.91841877
40,career,career,0.0
41,career,family,0.72928226
42,career,male,0.8446536
43,career,female,0.7964065
44,corporation,career,0.9177505
45,corporation,family,0.838089
46,corporation,male,1.0545696
47,corporation,female,1.0107833
48,salary,career,0.7418907
49,salary,family,0.82227796
50,salary,male,0.8742996
51,salary,female,0.86363226
52,office,career,0.70972824
53,office,family,0.7168659
54,office,male,0.8728006
55,office,female,0.8265052
56,professional,career,0.41865396
57,professional,family,0.77721584
58,professional,male,0.68357694
59,professional,female,0.66692376
60,management,career,0.78211105
61,management,family,0.7817781
62,management,male,0.8912243
63,management,female,0.9022259
64,business,career,0.6733314
65,business,family,0.6320101
66,business,male,0.85648113
67,business,female,0.87157404
68,wedding,career,0.84507096
69,wedding,family,0.62869275
70,wedding,male,0.83251286
71,wedding,female,0.8497283
72,marriage,career,0.71015346
73,marriage,family,0.5713482
74,marriage,male,0.72620463
75,marriage,female,0.7539682
76,parents,career,0.7980302
77,parents,family,0.38312548
78,parents,male,0.6713035
79,parents,female,0.70798826
80,relatives,career,0.9673906
81,relatives,family,0.38322604
82,relatives,male,0.72456145
83,relatives,female,0.7522866
84,family,career,0.72928226
85,family,family,0.0
86,family,male,0.7512617
87,family,female,0.8276793
88,home,career,0.6638607
89,home,family,0.4661318
90,home,male,0.87387836
91,home,female,0.857477
92,children,career,0.8140581
93,children,family,0.51110953
94,children,male,0.65183175
95,children,female,0.6516891
