,0,1,cosine
0,rebecca,career,0.93957055
1,rebecca,family,0.89931417
2,rebecca,male,0.91479397
3,rebecca,female,0.85150754
4,michelle,career,0.91537017
5,michelle,family,0.857115
6,michelle,male,0.90641654
7,michelle,female,0.8103688
8,emily,career,0.9257595
9,emily,family,0.80638874
10,emily,male,0.9739122
11,emily,female,0.9095017
12,julia,career,0.90109783
13,julia,family,0.8782289
14,julia,male,0.9530354
15,julia,female,0.88692266
16,anna,career,0.8817291
17,anna,family,0.80593026
18,anna,male,0.89544636
19,anna,female,0.8525226
20,ben,career,0.837362
21,ben,family,0.9431751
22,ben,male,0.941468
23,ben,female,0.9416488
24,paul,career,0.8048109
25,paul,family,0.8345596
26,paul,male,0.9490648
27,paul,female,0.93759567
28,daniel,career,0.8639612
29,daniel,family,0.8816555
30,daniel,male,0.9926636
31,daniel,female,0.955926
32,john,career,0.777649
33,john,family,0.7680675
34,john,male,0.82811904
35,john,female,0.82565105
36,jeffrey,career,0.8876616
37,jeffrey,family,0.9382904
38,jeffrey,male,0.97709274
39,jeffrey,female,0.91703796
40,career,career,0.0
41,career,family,0.724795
42,career,male,0.84980506
43,career,female,0.79915935
44,corporation,career,0.91374457
45,corporation,family,0.8343129
46,corporation,male,1.0576731
47,corporation,female,1.0122986
48,salary,career,0.74262756
49,salary,family,0.8228181
50,salary,male,0.87452966
51,salary,female,0.8636918
52,office,career,0.7123934
53,office,family,0.71964496
54,office,male,0.8717473
55,office,female,0.8260051
56,professional,career,0.41688585
57,professional,family,0.7736566
58,professional,male,0.68798506
59,professional,female,0.66917515
60,management,career,0.7902386
61,management,family,0.790225
62,management,male,0.88682145
63,management,female,0.90029204
64,business,career,0.6732595
65,business,family,0.6321106
66,business,male,0.8575363
67,business,female,0.87200904
68,wedding,career,0.8418799
69,wedding,family,0.626349
70,wedding,male,0.83587825
71,wedding,female,0.85131794
72,marriage,career,0.7108755
73,marriage,family,0.57257944
74,marriage,male,0.72676325
75,marriage,female,0.7541064
76,parents,career,0.79998034
77,parents,family,0.38656747
78,parents,male,0.6709082
79,parents,female,0.70767415
80,relatives,career,0.966551
81,relatives,family,0.3842724
82,relatives,male,0.7257427
83,relatives,female,0.7527243
84,family,career,0.724795
85,family,family,0.0
86,family,male,0.75708055
87,family,female,0.83045197
88,home,career,0.66313726
89,home,family,0.46610558
90,home,male,0.87548065
91,home,female,0.85820407
92,children,career,0.8156624
93,children,family,0.51379794
94,children,male,0.65166575
95,children,female,0.651484
