,0,1,euclidean
0,rebecca,career,8.639813423156738
1,rebecca,family,8.396821975708008
2,rebecca,male,8.604706764221191
3,rebecca,female,8.296546936035156
4,michelle,career,8.864130973815918
5,michelle,family,8.523591041564941
6,michelle,male,8.89495849609375
7,michelle,female,8.40290641784668
8,emily,career,8.786775588989258
9,emily,family,8.150137901306152
10,emily,male,9.08847713470459
11,emily,female,8.774663925170898
12,julia,career,8.728621482849121
13,julia,family,8.561781883239746
14,julia,male,9.051745414733887
15,julia,female,8.723755836486816
16,anna,career,9.046124458312988
17,anna,family,8.598140716552734
18,anna,male,9.186552047729492
19,anna,female,8.953996658325195
20,ben,career,8.902298927307129
21,ben,family,9.393853187561035
22,ben,male,9.510650634765625
23,ben,female,9.501502990722656
24,paul,career,8.478533744812012
25,paul,family,8.58095645904541
26,paul,male,9.280436515808105
27,paul,female,9.21390151977539
28,daniel,career,8.778432846069336
29,daniel,family,8.813657760620117
30,daniel,male,9.484607696533203
31,daniel,female,9.297229766845703
32,john,career,8.526588439941406
33,john,family,8.424997329711914
34,john,male,8.866233825683594
35,john,female,8.843522071838379
36,jeffrey,career,8.569287300109863
37,jeffrey,family,8.750165939331055
38,jeffrey,male,9.065260887145996
39,jeffrey,female,8.774202346801758
40,career,career,0.0
41,career,family,8.141980171203613
42,career,male,8.936724662780762
43,career,female,8.656962394714355
44,corporation,career,9.164738655090332
45,corporation,family,8.705683708190918
46,corporation,male,9.936832427978516
47,corporation,female,9.7108154296875
48,salary,career,8.296785354614258
49,salary,family,8.682255744934082
50,salary,male,9.073074340820312
51,salary,female,9.006926536560059
52,office,career,7.840868949890137
53,office,family,7.8297319412231445
54,office,male,8.743349075317383
55,office,female,8.501891136169434
56,professional,career,6.232295513153076
57,professional,family,8.44078540802002
58,professional,male,8.0676851272583
59,professional,female,7.948056697845459
60,management,career,8.386523246765137
61,management,family,8.334898948669434
62,management,male,8.955613136291504
63,management,female,9.013053894042969
64,business,career,7.508457183837891
65,business,family,7.227649688720703
66,business,male,8.539786338806152
67,business,female,8.600440979003906
68,wedding,career,8.702369689941406
69,wedding,family,7.4609880447387695
70,wedding,male,8.74077033996582
71,wedding,female,8.811148643493652
72,marriage,career,8.10608959197998
73,marriage,family,7.2324700355529785
74,marriage,male,8.25983715057373
75,marriage,female,8.404597282409668
76,parents,career,8.136096000671387
77,parents,family,5.639838695526123
78,parents,male,7.52553653717041
79,parents,female,7.7164411544799805
80,relatives,career,9.25216293334961
81,relatives,family,5.800513744354248
82,relatives,male,8.084589958190918
83,relatives,female,8.223663330078125
84,family,career,8.141980171203613
85,family,family,0.0
86,family,male,8.386835098266602
87,family,female,8.773985862731934
88,home,career,7.3569183349609375
89,home,family,6.140198707580566
90,home,male,8.513739585876465
91,home,female,8.419880867004395
92,children,career,8.68220329284668
93,children,family,6.8505682945251465
94,children,male,7.820836544036865
95,children,female,7.811205863952637
