0,1,cosine
Rebecca,career,0.9247006890590868
Rebecca,family,0.8852324351612223
Rebecca,male,0.8557994406370006
Rebecca,female,0.8105275412588668
Michelle,career,0.9100692612972303
Michelle,family,0.8817333269187637
Michelle,male,0.8481834656070038
Michelle,female,0.8149636974239918
Emily,career,0.8878210993209589
Emily,family,0.8466404403939505
Emily,male,0.8529990702948522
Emily,female,0.8226493659940382
Julia,career,0.9180641919740169
Julia,family,0.8613505116442337
Julia,male,0.8533683311391509
Julia,female,0.8113651789252518
Anna,career,0.9123855775283167
Anna,family,0.8685466858528668
Anna,male,0.8228436358183673
Anna,female,0.7968501682821224
Ben,career,0.9551412051163877
Ben,family,0.9398665571332533
Ben,male,0.9224633940691016
Ben,female,0.9715265558843511
Paul,career,0.9274903740094396
Paul,family,0.9039484385794079
Paul,male,0.9158864614015627
Paul,female,0.9067249604200062
Daniel,career,0.9242583934970716
Daniel,family,0.8915867244814212
Daniel,male,0.8686843411419817
Daniel,female,0.8383849077222105
John,career,0.9203914134009935
John,family,0.8873575572226489
John,male,0.8951322404187327
John,female,0.8744323939283654
Jeffrey,career,0.9281302533867926
Jeffrey,family,0.899281081
Jeffrey,male,0.8799536469236487
Jeffrey,female,0.853782258
career,career,0
career,family,0.5289681719001829
career,male,0.7982616126966321
career,female,0.6867289021226946
corporation,career,0.5203332175630595
corporation,family,0.5204192025879497
corporation,male,0.7496307702727896
corporation,female,0.648305079
salary,career,0.6309241348417521
salary,family,0.6482819329875881
salary,male,0.8029194456241013
salary,female,0.7953277657583055
office,career,0.6248770539506415
office,family,0.5871066318473871
office,male,0.7535808096803883
office,female,0.6831393083686494
professional,career,0.4755402252197358
professional,family,0.6075467221896276
professional,male,0.7813990747657235
professional,female,0.6093257821529967
management,career,0.43025789386170665
management,family,0.5146511655860977
management,male,0.749562792
management,female,0.6848587127789136
business,career,0.49117986416203296
business,family,0.5330412691252127
business,male,0.8472378596789393
business,female,0.7399940812094299
wedding,career,0.47813780602687794
wedding,family,0.5225862360839935
wedding,male,0.8136214269398584
wedding,female,0.7070246521878762
marriage,career,0.45179491629951707
marriage,family,0.5169820837023982
marriage,male,0.7296874203787074
marriage,female,0.641929645
parents,career,0.6848844075701812
parents,family,0.5655018806280164
parents,male,0.7574293991248107
parents,female,0.731708309
relatives,career,0.6533961720431475
relatives,family,0.5024071501377851
relatives,male,0.7206014350343223
relatives,female,0.6790093661044851
family,career,0.5289681719001829
family,family,0
family,male,0.7250033864827926
family,female,0.628284453
home,career,0.6323003253434625
home,family,0.6105424609074246
home,male,0.7520511690786649
home,female,0.6719015672925854
children,career,0.5737548415500743
children,family,0.48858847660895166
children,male,0.7132566714227173
children,female,0.6254384582109047
