,0,1,correlation
0,rebecca,career,0.7167956822363382
1,rebecca,family,0.6891607605698038
2,rebecca,male,0.6806703473061244
3,rebecca,female,0.6248870930495188
4,michelle,career,0.706091481665343
5,michelle,family,0.6776200365636869
6,michelle,male,0.6376473042442019
7,michelle,female,0.6186905696881899
8,emily,career,0.6436946717626184
9,emily,family,0.6097257290027345
10,emily,male,0.6674498031644649
11,emily,female,0.6199959620776323
12,julia,career,0.665621036473151
13,julia,family,0.6127147161144819
14,julia,male,0.636587179854254
15,julia,female,0.5841070609086187
16,anna,career,0.705052364753464
17,anna,family,0.6738093276717675
18,anna,male,0.6513126195983556
19,anna,female,0.604999190281851
20,ben,career,0.7542845009350844
21,ben,family,0.7301242100479752
22,ben,male,0.678410692002082
23,ben,female,0.707491959697929
24,paul,career,0.657145350232545
25,paul,family,0.6490883773107565
26,paul,male,0.6421125729342202
27,paul,female,0.6040560658300962
28,daniel,career,0.7044713614478788
29,daniel,family,0.6640863988852507
30,daniel,male,0.6834641541321913
31,daniel,female,0.6494148581674073
32,john,career,0.650484381621059
33,john,family,0.6299404124458565
34,john,male,0.6515459564192883
35,john,female,0.590767511153092
36,jeffrey,career,0.699959678780997
37,jeffrey,family,0.6583116367275961
38,jeffrey,male,0.6851567738336362
39,jeffrey,female,0.6323607339071073
40,career,career,0.0
41,career,family,0.41720117412443625
42,career,male,0.6013663182020581
43,career,female,0.4858119785755973
44,corporation,career,0.4801565853728593
45,corporation,family,0.42998933230915526
46,corporation,male,0.6032882820520915
47,corporation,female,0.4492905393840474
48,salary,career,0.48674540042412706
49,salary,family,0.49079904965816046
50,salary,male,0.6714084271914744
51,salary,female,0.5500425156183899
52,office,career,0.4779323245357908
53,office,family,0.47494567189579684
54,office,male,0.6076242131086067
55,office,female,0.5106248648959
56,professional,career,0.40485732560455256
57,professional,family,0.42747930089817054
58,professional,male,0.530566375382612
59,professional,female,0.37160831093966074
60,management,career,0.4061314432477382
61,management,family,0.40208526511690434
62,management,male,0.6167611401341937
63,management,female,0.4738823741902479
64,business,career,0.3809144350077106
65,business,family,0.4241790600907659
66,business,male,0.6110371737965117
67,business,female,0.49063598555205046
68,wedding,career,0.4767305691598396
69,wedding,family,0.4470675637068071
70,wedding,male,0.6201895172554424
71,wedding,female,0.4983909221047087
72,marriage,career,0.38859151809879666
73,marriage,family,0.38656740883067187
74,marriage,male,0.5514310686571424
75,marriage,female,0.45474341934751816
76,parents,career,0.42687130312387367
77,parents,family,0.3773605366282312
78,parents,male,0.5860318258782862
79,parents,female,0.4418696074918572
80,relatives,career,0.4612524434795543
81,relatives,family,0.3265793249892699
82,relatives,male,0.5671245210084783
83,relatives,female,0.4025329281401836
84,family,career,0.41720117412443625
85,family,family,0.0
86,family,male,0.5850140998406852
87,family,female,0.43239491576898015
88,home,career,0.49317822092188945
89,home,family,0.4733541867484916
90,home,male,0.6191934839091765
91,home,female,0.534021210079736
92,children,career,0.4190796905337989
93,children,family,0.3388411907450797
94,children,male,0.5412097322924099
95,children,female,0.37019008301714573
