,0,1,correlation
0,Rebecca,career,0.7236968440537275
1,Rebecca,family,0.6741172340978228
2,Rebecca,male,0.7470588797458078
3,Rebecca,female,0.6186709241914254
4,Michelle,career,0.745228079240901
5,Michelle,family,0.6918257038627975
6,Michelle,male,0.7445383227112647
7,Michelle,female,0.6282004309977895
8,Emily,career,0.672507412715996
9,Emily,family,0.619382250914916
10,Emily,male,0.7099843143101916
11,Emily,female,0.5744071597363445
12,Julia,career,0.7441315188931505
13,Julia,family,0.6767137807167286
14,Julia,male,0.7215393244025488
15,Julia,female,0.6229592784380137
16,Anna,career,0.759650163620321
17,Anna,family,0.7099983806183985
18,Anna,male,0.7282026022905912
19,Anna,female,0.6387830929880558
20,Ben,career,0.7790505650882996
21,Ben,family,0.7403907127627551
22,Ben,male,0.7286203057173173
23,Ben,female,0.7281791811552903
24,Paul,career,0.6929630952192007
25,Paul,family,0.66213511156145
26,Paul,male,0.6919134368668698
27,Paul,female,0.6059972377682434
28,Daniel,career,0.7466341613737846
29,Daniel,family,0.6940778038445403
30,Daniel,male,0.7273574555214153
31,Daniel,female,0.6285398569595602
32,John,career,0.6556327775684256
33,John,family,0.6171658017065115
34,John,male,0.695974363418328
35,John,female,0.5673926686928211
36,Jeffrey,career,0.7343502591557408
37,Jeffrey,family,0.6830909620753214
38,Jeffrey,male,0.7742277788226736
39,Jeffrey,female,0.6549046252269796
40,career,career,0.0
41,career,family,0.41720117412443625
42,career,male,0.6013663182020581
43,career,female,0.4858119785755973
44,corporation,career,0.4801565853728593
45,corporation,family,0.42998933230915526
46,corporation,male,0.6032882820520915
47,corporation,female,0.4492905393840474
48,salary,career,0.48674540042412706
49,salary,family,0.49079904965816046
50,salary,male,0.6714084271914744
51,salary,female,0.5500425156183899
52,office,career,0.4779323245357908
53,office,family,0.47494567189579684
54,office,male,0.6076242131086067
55,office,female,0.5106248648959
56,professional,career,0.40485732560455256
57,professional,family,0.42747930089817054
58,professional,male,0.530566375382612
59,professional,female,0.37160831093966074
60,management,career,0.4061314432477382
61,management,family,0.40208526511690434
62,management,male,0.6167611401341937
63,management,female,0.4738823741902479
64,business,career,0.3809144350077106
65,business,family,0.4241790600907659
66,business,male,0.6110371737965117
67,business,female,0.49063598555205046
68,wedding,career,0.4767305691598396
69,wedding,family,0.4470675637068071
70,wedding,male,0.6201895172554424
71,wedding,female,0.4983909221047087
72,marriage,career,0.38859151809879666
73,marriage,family,0.38656740883067187
74,marriage,male,0.5514310686571424
75,marriage,female,0.45474341934751816
76,parents,career,0.42687130312387367
77,parents,family,0.3773605366282312
78,parents,male,0.5860318258782862
79,parents,female,0.4418696074918572
80,relatives,career,0.4612524434795543
81,relatives,family,0.3265793249892699
82,relatives,male,0.5671245210084783
83,relatives,female,0.4025329281401836
84,family,career,0.41720117412443625
85,family,family,0.0
86,family,male,0.5850140998406852
87,family,female,0.43239491576898015
88,home,career,0.49317822092188945
89,home,family,0.4733541867484916
90,home,male,0.6191934839091765
91,home,female,0.534021210079736
92,children,career,0.4190796905337989
93,children,family,0.3388411907450797
94,children,male,0.5412097322924099
95,children,female,0.37019008301714573
