,0,1,correlation
0,rebecca,career,0.7783452953799086
1,rebecca,family,0.7973547774715146
2,rebecca,male,0.6918049098535085
3,rebecca,female,0.8300614774516729
4,michelle,career,0.8439980650881056
5,michelle,family,0.8797178994155119
6,michelle,male,0.7489221136827369
7,michelle,female,0.8587272896658724
8,emily,career,0.7667063849819236
9,emily,family,0.7904304337196182
10,emily,male,0.6742180541123847
11,emily,female,0.7917809062208802
12,julia,career,0.6923402797697151
13,julia,family,0.7571683676094244
14,julia,male,0.6241472855240076
15,julia,female,0.7961477257103172
16,anna,career,0.8159048614432373
17,anna,family,0.8272448016923305
18,anna,male,0.7144053314921048
19,anna,female,0.820104826078405
20,ben,career,0.7647591111318701
21,ben,family,0.8475681012118792
22,ben,male,0.7038009445421596
23,ben,female,0.8906463447700628
24,paul,career,0.7795475312443418
25,paul,family,0.8431217706629117
26,paul,male,0.7203979214159523
27,paul,female,0.8574210380719682
28,daniel,career,0.7687678702249826
29,daniel,family,0.8087392725451625
30,daniel,male,0.6730467517628669
31,daniel,female,0.8315762116440363
32,john,career,0.7922593111480655
33,john,family,0.7977390871564098
34,john,male,0.7229798617438584
35,john,female,0.7898792879063565
36,jeffrey,career,0.7908880975629442
37,jeffrey,family,0.8199009234506959
38,jeffrey,male,0.711986826101812
39,jeffrey,female,0.8688597512643441
40,career,career,0.0
41,career,family,0.5225048161007212
42,career,male,0.6353011773811181
43,career,female,0.6403804816958008
44,corporation,career,0.5116818825766967
45,corporation,family,0.5581938356339733
46,corporation,male,0.5427274974015796
47,corporation,female,0.7060920917363839
48,salary,career,0.5520886669123513
49,salary,family,0.6623101284676737
50,salary,male,0.6632031113783627
51,salary,female,0.7506459832621337
52,office,career,0.5379200083354846
53,office,family,0.5735595472634365
54,office,male,0.5661036841756021
55,office,female,0.685762971685239
56,professional,career,0.5214542579477203
57,professional,family,0.5968189413827927
58,professional,male,0.6243678633434663
59,professional,female,0.5492597808428119
60,management,career,0.45518885792558894
61,management,family,0.5483499233768512
62,management,male,0.6438214136206395
63,management,female,0.723342134610863
64,business,career,0.4129811330856711
65,business,family,0.5095523028322346
66,business,male,0.688514329696213
67,business,female,0.6391488757252486
68,wedding,career,0.5781759169721716
69,wedding,family,0.5860438968133332
70,wedding,male,0.6803801727044101
71,wedding,female,0.6793423150704542
72,marriage,career,0.482254978535413
73,marriage,family,0.5028698639687395
74,marriage,male,0.5957416463228382
75,marriage,female,0.6814344792772105
76,parents,career,0.5611689424557773
77,parents,family,0.5124583563741462
78,parents,male,0.5617805957120533
79,parents,female,0.7033232066528693
80,relatives,career,0.658717112806247
81,relatives,family,0.5753895259637352
82,relatives,male,0.6360403565477644
83,relatives,female,0.7594372760809274
84,family,career,0.5225048161007212
85,family,family,0.0
86,family,male,0.6210146375481578
87,family,female,0.5868794433652467
88,home,career,0.6712951572886324
89,home,family,0.7141432640278409
90,home,male,0.7032985187934258
91,home,female,0.7884256965383141
92,children,career,0.5709495727905409
93,children,family,0.5184365795242936
94,children,male,0.5725303564256351
95,children,female,0.6755066020514698
