,0,1,correlation
0,Rebecca,career,1.027226553935715
1,Rebecca,family,0.9346815444327663
2,Rebecca,male,1.0464110230352839
3,Rebecca,female,0.94932497198341
4,Michelle,career,0.9982969615543694
5,Michelle,family,0.9308617410399023
6,Michelle,male,0.9842955121804996
7,Michelle,female,0.9526598839669075
8,Emily,career,0.9809600644729484
9,Emily,family,0.8831740166322268
10,Emily,male,0.9656857569769215
11,Emily,female,0.9117123679509695
12,Julia,career,0.9756963551087213
13,Julia,family,0.8929341662039008
14,Julia,male,0.9553486126516271
15,Julia,female,0.9503077961941517
16,Anna,career,1.0066452277438036
17,Anna,family,0.9197005767962642
18,Anna,male,0.9994180313529122
19,Anna,female,0.936392114938295
20,Ben,career,0.8876023842768295
21,Ben,family,0.9199632932434076
22,Ben,male,0.8346345281397565
23,Ben,female,0.9821802159321972
24,Paul,career,0.9910204768893405
25,Paul,family,0.9078809878115568
26,Paul,male,0.9970767802044042
27,Paul,female,0.9490041040557191
28,Daniel,career,0.9477674327780974
29,Daniel,family,0.8808019765969556
30,Daniel,male,0.9026643904528086
31,Daniel,female,0.9519215222230087
32,John,career,1.0347850701326322
33,John,family,0.9257914440360976
34,John,male,1.0435982574077318
35,John,female,0.9446125626405133
36,Jeffrey,career,0.9650679026736902
37,Jeffrey,family,0.8979396348890005
38,Jeffrey,male,0.9667323059771247
39,Jeffrey,female,0.9492219458726213
40,career,career,0.0
41,career,family,0.5225048161007212
42,career,male,0.6353011773811181
43,career,female,0.6403804816958008
44,corporation,career,0.5116818825766967
45,corporation,family,0.5581938356339733
46,corporation,male,0.5427274974015796
47,corporation,female,0.7060920917363839
48,salary,career,0.5520886669123513
49,salary,family,0.6623101284676737
50,salary,male,0.6632031113783627
51,salary,female,0.7506459832621337
52,office,career,0.5379200083354846
53,office,family,0.5735595472634365
54,office,male,0.5661036841756021
55,office,female,0.685762971685239
56,professional,career,0.5214542579477203
57,professional,family,0.5968189413827927
58,professional,male,0.6243678633434663
59,professional,female,0.5492597808428119
60,management,career,0.45518885792558894
61,management,family,0.5483499233768512
62,management,male,0.6438214136206395
63,management,female,0.723342134610863
64,business,career,0.4129811330856711
65,business,family,0.5095523028322346
66,business,male,0.688514329696213
67,business,female,0.6391488757252486
68,wedding,career,0.5781759169721716
69,wedding,family,0.5860438968133332
70,wedding,male,0.6803801727044101
71,wedding,female,0.6793423150704542
72,marriage,career,0.482254978535413
73,marriage,family,0.5028698639687395
74,marriage,male,0.5957416463228382
75,marriage,female,0.6814344792772105
76,parents,career,0.5611689424557773
77,parents,family,0.5124583563741462
78,parents,male,0.5617805957120533
79,parents,female,0.7033232066528693
80,relatives,career,0.658717112806247
81,relatives,family,0.5753895259637352
82,relatives,male,0.6360403565477644
83,relatives,female,0.7594372760809274
84,family,career,0.5225048161007212
85,family,family,0.0
86,family,male,0.6210146375481578
87,family,female,0.5868794433652467
88,home,career,0.6712951572886324
89,home,family,0.7141432640278409
90,home,male,0.7032985187934258
91,home,female,0.7884256965383141
92,children,career,0.5709495727905409
93,children,family,0.5184365795242936
94,children,male,0.5725303564256351
95,children,female,0.6755066020514698
