,0,1,correlation
0,Rebecca,career,0.9246968092423101
1,Rebecca,family,0.8852210737699198
2,Rebecca,male,0.8556987058719545
3,Rebecca,female,0.8105030092973141
4,Michelle,career,0.9100988452318065
5,Michelle,family,0.8817740562405096
6,Michelle,male,0.8479158263826759
7,Michelle,female,0.8148679173275298
8,Emily,career,0.8878577051814136
9,Emily,family,0.8466903514870793
10,Emily,male,0.8526951832604032
11,Emily,female,0.8225367031450344
12,Julia,career,0.9180970685815353
13,Julia,family,0.8613939200089606
14,Julia,male,0.8530901400143276
15,Julia,female,0.8112623185313546
16,Anna,career,0.9123539923344429
17,Anna,family,0.8684920457318113
18,Anna,male,0.8228411005893903
19,Anna,female,0.7968768747601677
20,Ben,career,0.955046869195261
21,Ben,family,0.9397195321167295
22,Ben,male,0.9228174619604126
23,Ben,female,0.9717037424763605
24,Paul,career,0.9274811901328586
25,Paul,family,0.9039303162852325
26,Paul,male,0.9158549188036383
27,Paul,female,0.9067250703349122
28,Daniel,career,0.9242344975940097
29,Daniel,family,0.891545167454874
30,Daniel,male,0.8686838732165468
31,Daniel,female,0.8384039419345983
32,John,career,0.9204022185815448
33,John,family,0.8873691852475487
34,John,male,0.8949915050628386
35,John,female,0.8743865173714098
36,Jeffrey,career,0.9280882827644032
37,Jeffrey,family,0.899212245715757
38,Jeffrey,male,0.8800421720112411
39,Jeffrey,female,0.853838295925498
40,career,career,0.0
41,career,family,0.5290199371604765
42,career,male,0.7977850294171737
43,career,female,0.6865322652350687
44,corporation,career,0.5203858324366919
45,corporation,family,0.5205431392864637
46,corporation,male,0.7485830615434717
47,corporation,female,0.6478221075084916
48,salary,career,0.6310040111059777
49,salary,family,0.6484649158299086
50,salary,male,0.8017348139771859
51,salary,female,0.7948035717955958
52,office,career,0.6248658553754116
53,office,family,0.5870755677007697
54,office,male,0.7533902137833984
55,office,female,0.6830902573748983
56,professional,career,0.47549614111670735
57,professional,family,0.6074764350434878
58,professional,male,0.7813461632405433
59,professional,female,0.6093165018133808
60,management,career,0.43027239963871244
61,management,family,0.5146688406083539
62,management,male,0.749184188026941
63,management,female,0.6847260144471156
64,business,career,0.49106033573928476
65,business,family,0.532860545895757
66,business,male,0.8474825519352445
67,business,female,0.740105513618647
68,wedding,career,0.478186213327647
69,wedding,family,0.522692476065624
70,wedding,male,0.8128320353162545
71,wedding,female,0.7066681073883746
72,marriage,career,0.45182875077873763
73,marriage,family,0.5170383460702979
74,marriage,male,0.7291298674627329
75,marriage,female,0.6417113503645542
76,parents,career,0.684811660647122
77,parents,family,0.5653723147757823
78,parents,male,0.7574983796458571
79,parents,female,0.7317756131107951
80,relatives,career,0.6534318850831236
81,relatives,family,0.502440491763595
82,relatives,male,0.7201331530768975
83,relatives,female,0.6788439394121809
84,family,career,0.5290199371604765
85,family,family,0.0
86,family,male,0.7242849700943992
87,family,female,0.6279841296299873
88,home,career,0.6323722456907629
89,home,family,0.6106614485049516
90,home,male,0.7512473869033292
91,home,female,0.6715558317470793
92,children,career,0.5737185483107909
93,children,family,0.48851390445493703
94,children,male,0.7131372632813726
95,children,female,0.6254248457014058
