,0,1,cosine
0,rebecca,career,0.7168356696191432
1,rebecca,family,0.6897279060062119
2,rebecca,male,0.6806066158330742
3,rebecca,female,0.6248487454875088
4,michelle,career,0.7062233117332147
5,michelle,family,0.6785757614834739
6,michelle,male,0.6376324811344241
7,michelle,female,0.6187079480703974
8,emily,career,0.643693560850418
9,emily,family,0.6098750903779255
10,emily,male,0.6674393599245922
11,emily,female,0.6199870968934603
12,julia,career,0.6656307073637027
13,julia,family,0.6130549048789499
14,julia,male,0.6365435263554861
15,julia,female,0.5840734024379592
16,anna,career,0.7050696487191594
17,anna,family,0.6742225196545422
18,anna,male,0.651259522737418
19,anna,female,0.6049602283395851
20,ben,career,0.7543003592686176
21,ben,family,0.7305531924446458
22,ben,male,0.6783516122068479
23,ben,female,0.7074381640864003
24,paul,career,0.6571556200586413
25,paul,family,0.6494190810087954
26,paul,male,0.642068374286767
27,paul,female,0.604020797144584
28,daniel,career,0.704511493539558
29,daniel,family,0.6646508102397946
30,daniel,male,0.6833999325381686
31,daniel,female,0.6493704053572286
32,john,career,0.6505107521802878
33,john,family,0.6303888479991302
34,john,male,0.6514916181925589
35,john,female,0.5907303396936056
36,jeffrey,career,0.7000082299954935
37,jeffrey,family,0.6589187692890237
38,jeffrey,male,0.685091870314138
39,jeffrey,female,0.632322241271863
40,career,career,0.0
41,career,family,0.41735159601943095
42,career,male,0.6013691098777095
43,career,female,0.48581584380084086
44,corporation,career,0.4801607199423813
45,corporation,family,0.43025646912833937
46,corporation,male,0.6032634736243958
47,corporation,female,0.4492738980424532
48,salary,career,0.4867525577216485
49,salary,family,0.491082296341001
50,salary,male,0.6713751278257893
51,salary,female,0.5500183626776118
52,office,career,0.47799935040887853
53,office,family,0.4748148553398954
54,office,male,0.6077691862147383
55,office,female,0.5107699734833044
56,professional,career,0.40485685073841526
57,professional,family,0.42763591882584784
58,professional,male,0.530568389128927
59,professional,female,0.3716122405505319
60,management,career,0.40616669007172257
61,management,family,0.40204708102042286
62,management,male,0.6168497024146768
63,management,female,0.4739717059128896
64,business,career,0.38091575213198536
65,business,family,0.4242897556431827
66,business,male,0.6110518600568794
67,business,female,0.49065062859843867
68,wedding,career,0.4767735046448829
69,wedding,family,0.4475619268831933
70,wedding,male,0.6201401220094427
71,wedding,female,0.49836541141198587
72,marriage,career,0.38859108041973967
73,marriage,family,0.3867311425690142
74,marriage,male,0.5514331646712385
75,marriage,female,0.45474625123096957
76,parents,career,0.4269150571884599
77,parents,family,0.3773081265076136
78,parents,male,0.5861377163487651
79,parents,female,0.4419772842132975
80,relatives,career,0.46127570403983364
81,relatives,family,0.3265878383313545
82,relatives,male,0.5671984244496673
83,relatives,female,0.402607503049641
84,family,career,0.41735159601943095
85,family,family,0.0
86,family,male,0.585258323006137
87,family,female,0.43265965450923893
88,home,career,0.4931788193891139
89,home,family,0.4735631445215459
90,home,male,0.6191775995182669
91,home,female,0.5340087647307599
92,children,career,0.41908273994799783
93,children,family,0.33910617637702
94,children,male,0.5411915361635966
95,children,female,0.37017880542933534
