,0,1,cosine
0,Rebecca,career,0.7237147214427784
1,Rebecca,family,0.6745513595897854
2,Rebecca,male,0.74699114722997
3,Rebecca,female,0.618629978733852
4,Michelle,career,0.7453256220573135
5,Michelle,family,0.6927172982063459
6,Michelle,male,0.7444589143203402
7,Michelle,female,0.6282020484506985
8,Emily,career,0.672519269763465
9,Emily,family,0.6197443971376233
10,Emily,male,0.7099314020345909
11,Emily,female,0.5743731328922093
12,Julia,career,0.7441377169042013
13,Julia,family,0.6770519359471473
14,Julia,male,0.7214863373314524
15,Julia,female,0.622921417915709
16,Anna,career,0.7596511643856173
17,Anna,family,0.7102599237450888
18,Anna,male,0.7281600565153146
19,Anna,female,0.6387504799246191
20,Ben,career,0.7790488228133631
21,Ben,family,0.7405740681825099
22,Ben,male,0.728592280137301
23,Ben,female,0.7281539184944947
24,Paul,career,0.6929690410337888
25,Paul,family,0.6624386031104554
26,Paul,male,0.69186846466652
27,Paul,female,0.6059636487688617
28,Daniel,career,0.7466818689714243
29,Daniel,family,0.6947271807718662
30,Daniel,male,0.7272806376902363
31,Daniel,female,0.6285071103465283
32,John,career,0.655639521479295
33,John,family,0.617470374655015
34,John,male,0.6959307908827415
35,John,female,0.5673625367232857
36,Jeffrey,career,0.7343983840467466
37,Jeffrey,family,0.6837295329919115
38,Jeffrey,male,0.7741377920843837
39,Jeffrey,female,0.6548629810691993
40,career,career,0.0
41,career,family,0.41735159601943095
42,career,male,0.6013691098777095
43,career,female,0.48581584380084086
44,corporation,career,0.4801607199423813
45,corporation,family,0.43025646912833937
46,corporation,male,0.6032634736243958
47,corporation,female,0.4492738980424532
48,salary,career,0.4867525577216485
49,salary,family,0.491082296341001
50,salary,male,0.6713751278257893
51,salary,female,0.5500183626776118
52,office,career,0.47799935040887853
53,office,family,0.4748148553398954
54,office,male,0.6077691862147383
55,office,female,0.5107699734833044
56,professional,career,0.40485685073841526
57,professional,family,0.42763591882584784
58,professional,male,0.530568389128927
59,professional,female,0.3716122405505319
60,management,career,0.40616669007172257
61,management,family,0.40204708102042286
62,management,male,0.6168497024146768
63,management,female,0.4739717059128896
64,business,career,0.38091575213198536
65,business,family,0.4242897556431827
66,business,male,0.6110518600568794
67,business,female,0.49065062859843867
68,wedding,career,0.4767735046448829
69,wedding,family,0.4475619268831933
70,wedding,male,0.6201401220094427
71,wedding,female,0.49836541141198587
72,marriage,career,0.38859108041973967
73,marriage,family,0.3867311425690142
74,marriage,male,0.5514331646712385
75,marriage,female,0.45474625123096957
76,parents,career,0.4269150571884599
77,parents,family,0.3773081265076136
78,parents,male,0.5861377163487651
79,parents,female,0.4419772842132975
80,relatives,career,0.46127570403983364
81,relatives,family,0.3265878383313545
82,relatives,male,0.5671984244496673
83,relatives,female,0.402607503049641
84,family,career,0.41735159601943095
85,family,family,0.0
86,family,male,0.585258323006137
87,family,female,0.43265965450923893
88,home,career,0.4931788193891139
89,home,family,0.4735631445215459
90,home,male,0.6191775995182669
91,home,female,0.5340087647307599
92,children,career,0.41908273994799783
93,children,family,0.33910617637702
94,children,male,0.5411915361635966
95,children,female,0.37017880542933534
