,0,1,cosine
0,rebecca,career,0.7783149286572069
1,rebecca,family,0.7973687454118461
2,rebecca,male,0.6917541104277488
3,rebecca,female,0.830031828746341
4,michelle,career,0.8439630019518891
5,michelle,family,0.8797311712428874
6,michelle,male,0.7488585976450244
7,michelle,female,0.8586946630654679
8,emily,career,0.7666400335260433
9,emily,family,0.790480696598836
10,emily,male,0.6740626677648294
11,emily,female,0.7917187452120188
12,julia,career,0.692281358625129
13,julia,family,0.7572794622939036
14,julia,male,0.6239369027940798
15,julia,female,0.7960687404026059
16,anna,career,0.8158254444407995
17,anna,family,0.8272987685453763
18,anna,male,0.7142218622466736
19,anna,female,0.8200334611863733
20,ben,career,0.7648447330097693
21,ben,family,0.8475595193910116
22,ben,male,0.7040086552824114
23,ben,female,0.8907162704722498
24,paul,career,0.7796059180467959
25,paul,family,0.8431141455215552
26,paul,male,0.7205484767109988
27,paul,female,0.8574711426295453
28,daniel,career,0.7687247711206844
29,daniel,family,0.808761583151465
30,daniel,male,0.6729633717140971
31,daniel,female,0.8315336103517065
32,john,career,0.7922561033107445
33,john,family,0.7977414481650091
34,john,male,0.7229933348978278
35,john,female,0.789876075054854
36,jeffrey,career,0.7908660381642076
37,jeffrey,family,0.8199101744903213
38,jeffrey,male,0.7119556577212274
39,jeffrey,female,0.8688372909170271
40,career,career,0.0
41,career,family,0.5225258059035904
42,career,male,0.6352534369638401
43,career,female,0.6403563767057512
44,corporation,career,0.5116503421365088
45,corporation,family,0.5582663309815797
46,corporation,male,0.5426078691221661
47,corporation,female,0.7060425251536554
48,salary,career,0.5520994978386857
49,salary,family,0.6623101867909396
50,salary,male,0.6632446331389181
51,salary,female,0.7506517473584597
52,office,career,0.5380545693545961
53,office,family,0.5735756754044298
54,office,male,0.5663880358114977
55,office,female,0.6858733646782065
56,professional,career,0.5214262730478264
57,professional,family,0.5968492170228477
58,professional,male,0.6242933533359435
59,professional,female,0.5492334105064972
60,management,career,0.4551642264398891
61,management,family,0.548384102858568
62,management,male,0.6437398392083823
63,management,female,0.7233049073384952
64,business,career,0.41295926783671655
65,business,family,0.5095873255442103
66,business,male,0.6884275222968096
67,business,female,0.6391169362347668
68,wedding,career,0.5781882195478361
69,wedding,family,0.5860436107140969
70,wedding,male,0.68042437581466
71,wedding,female,0.6793511440677885
72,marriage,career,0.4822359349508474
73,marriage,family,0.5029874349637242
74,marriage,male,0.5955779454467842
75,marriage,female,0.6813857969068904
76,parents,career,0.5611762408384096
77,parents,family,0.5124594772126135
78,parents,male,0.5618256952668417
79,parents,female,0.703326726804897
80,relatives,career,0.6587946554010121
81,relatives,family,0.5753923100855065
82,relatives,male,0.6362287014472017
83,relatives,female,0.7595031286409424
84,family,career,0.5225258059035904
85,family,family,0.0
86,family,male,0.6210822183016644
87,family,female,0.5868967474176174
88,home,career,0.6713430260244102
89,home,family,0.7141389625956427
90,home,male,0.7034203629564532
91,home,female,0.7884655615428873
92,children,career,0.5709356520776427
93,children,family,0.5184480198070747
94,children,male,0.5725203719023761
95,children,female,0.6754907942458677
