,0,1,cosine
0,rebecca,career,0.8090116268906778
1,rebecca,family,0.8166076901775484
2,rebecca,male,0.822411857449347
3,rebecca,female,0.7844292814026546
4,michelle,career,0.7886813343577133
5,michelle,family,0.8007440578262639
6,michelle,male,0.8622751297564173
7,michelle,female,0.8357165865520173
8,emily,career,0.7574380975864277
9,emily,family,0.7792958713536363
10,emily,male,0.926208292804212
11,emily,female,0.9034191289709224
12,julia,career,0.8058876960653957
13,julia,family,0.7675081467120071
14,julia,male,0.7647900677997614
15,julia,female,0.7572417104286067
16,anna,career,0.8390045652253244
17,anna,family,0.8383489450054405
18,anna,male,0.79697420182197
19,anna,female,0.7859710767477114
20,ben,career,0.8490546329111207
21,ben,family,0.882741380892949
22,ben,male,0.932888303540192
23,ben,female,0.9657076685463157
24,paul,career,0.8407070505249761
25,paul,family,0.8675822758956191
26,paul,male,0.9782320013325032
27,paul,female,0.9886893135318697
28,daniel,career,0.8283793867285664
29,daniel,family,0.8484872816944198
30,daniel,male,0.9447228599902993
31,daniel,female,0.9435068090894342
32,john,career,0.8284044052758778
33,john,family,0.8454958671198767
34,john,male,0.9314173587729195
35,john,female,0.9301126385055609
36,jeffrey,career,0.8087004306440233
37,jeffrey,family,0.830744149680155
38,jeffrey,male,0.9201322231858712
39,jeffrey,female,0.9049248038074348
40,career,career,0.0
41,career,family,0.5289681719001829
42,career,male,0.7982616126966321
43,career,female,0.6867289021226946
44,corporation,career,0.5203332175630595
45,corporation,family,0.5204192025879497
46,corporation,male,0.7496307702727896
47,corporation,female,0.648305078685464
48,salary,career,0.6309241348417521
49,salary,family,0.6482819329875881
50,salary,male,0.8029194456241013
51,salary,female,0.7953277657583055
52,office,career,0.6248770539506415
53,office,family,0.5871066318473871
54,office,male,0.7535808096803883
55,office,female,0.6831393083686494
56,professional,career,0.4755402252197358
57,professional,family,0.6075467221896276
58,professional,male,0.7813990747657235
59,professional,female,0.6093257821529967
60,management,career,0.43025789386170665
61,management,family,0.5146511655860977
62,management,male,0.749562791889409
63,management,female,0.6848587127789136
64,business,career,0.49117986416203296
65,business,family,0.5330412691252127
66,business,male,0.8472378596789393
67,business,female,0.7399940812094299
68,wedding,career,0.47813780602687794
69,wedding,family,0.5225862360839935
70,wedding,male,0.8136214269398584
71,wedding,female,0.7070246521878762
72,marriage,career,0.45179491629951707
73,marriage,family,0.5169820837023982
74,marriage,male,0.7296874203787074
75,marriage,female,0.641929644863628
76,parents,career,0.6848844075701812
77,parents,family,0.5655018806280164
78,parents,male,0.7574293991248107
79,parents,female,0.731708308978894
80,relatives,career,0.6533961720431475
81,relatives,family,0.5024071501377851
82,relatives,male,0.7206014350343223
83,relatives,female,0.6790093661044851
84,family,career,0.5289681719001829
85,family,family,0.0
86,family,male,0.7250033864827926
87,family,female,0.628284453370111
88,home,career,0.6323003253434625
89,home,family,0.6105424609074246
90,home,male,0.7520511690786649
91,home,female,0.6719015672925854
92,children,career,0.5737548415500743
93,children,family,0.48858847660895166
94,children,male,0.7132566714227173
95,children,female,0.6254384582109047
