,0,1,cosine
0,Rebecca,career,0.9247006890590868
1,Rebecca,family,0.8852324351612223
2,Rebecca,male,0.8557994406370006
3,Rebecca,female,0.8105275412588668
4,Michelle,career,0.9100692612972303
5,Michelle,family,0.8817333269187637
6,Michelle,male,0.8481834656070038
7,Michelle,female,0.8149636974239918
8,Emily,career,0.8878210993209589
9,Emily,family,0.8466404403939505
10,Emily,male,0.8529990702948522
11,Emily,female,0.8226493659940382
12,Julia,career,0.9180641919740169
13,Julia,family,0.8613505116442337
14,Julia,male,0.8533683311391509
15,Julia,female,0.8113651789252518
16,Anna,career,0.9123855775283167
17,Anna,family,0.8685466858528668
18,Anna,male,0.8228436358183673
19,Anna,female,0.7968501682821224
20,Ben,career,0.9551412051163877
21,Ben,family,0.9398665571332533
22,Ben,male,0.9224633940691016
23,Ben,female,0.9715265558843511
24,Paul,career,0.9274903740094396
25,Paul,family,0.9039484385794079
26,Paul,male,0.9158864614015627
27,Paul,female,0.9067249604200062
28,Daniel,career,0.9242583934970716
29,Daniel,family,0.8915867244814212
30,Daniel,male,0.8686843411419817
31,Daniel,female,0.8383849077222105
32,John,career,0.9203914134009935
33,John,family,0.8873575572226489
34,John,male,0.8951322404187327
35,John,female,0.8744323939283654
36,Jeffrey,career,0.9281302533867926
37,Jeffrey,family,0.899281080578541
38,Jeffrey,male,0.8799536469236487
39,Jeffrey,female,0.85378225813247
40,career,career,0.0
41,career,family,0.5289681719001829
42,career,male,0.7982616126966321
43,career,female,0.6867289021226946
44,corporation,career,0.5203332175630595
45,corporation,family,0.5204192025879497
46,corporation,male,0.7496307702727896
47,corporation,female,0.648305078685464
48,salary,career,0.6309241348417521
49,salary,family,0.6482819329875881
50,salary,male,0.8029194456241013
51,salary,female,0.7953277657583055
52,office,career,0.6248770539506415
53,office,family,0.5871066318473871
54,office,male,0.7535808096803883
55,office,female,0.6831393083686494
56,professional,career,0.4755402252197358
57,professional,family,0.6075467221896276
58,professional,male,0.7813990747657235
59,professional,female,0.6093257821529967
60,management,career,0.43025789386170665
61,management,family,0.5146511655860977
62,management,male,0.749562791889409
63,management,female,0.6848587127789136
64,business,career,0.49117986416203296
65,business,family,0.5330412691252127
66,business,male,0.8472378596789393
67,business,female,0.7399940812094299
68,wedding,career,0.47813780602687794
69,wedding,family,0.5225862360839935
70,wedding,male,0.8136214269398584
71,wedding,female,0.7070246521878762
72,marriage,career,0.45179491629951707
73,marriage,family,0.5169820837023982
74,marriage,male,0.7296874203787074
75,marriage,female,0.641929644863628
76,parents,career,0.6848844075701812
77,parents,family,0.5655018806280164
78,parents,male,0.7574293991248107
79,parents,female,0.731708308978894
80,relatives,career,0.6533961720431475
81,relatives,family,0.5024071501377851
82,relatives,male,0.7206014350343223
83,relatives,female,0.6790093661044851
84,family,career,0.5289681719001829
85,family,family,0.0
86,family,male,0.7250033864827926
87,family,female,0.628284453370111
88,home,career,0.6323003253434625
89,home,family,0.6105424609074246
90,home,male,0.7520511690786649
91,home,female,0.6719015672925854
92,children,career,0.5737548415500743
93,children,family,0.48858847660895166
94,children,male,0.7132566714227173
95,children,female,0.6254384582109047
