,0,1,euclidean
0,Rebecca,career,81.64495633657396
1,Rebecca,family,78.12554838167605
2,Rebecca,male,83.61380895734231
3,Rebecca,female,75.10742445958189
4,Michelle,career,82.85271726289984
5,Michelle,family,79.16904374823352
6,Michelle,male,83.47092476311585
7,Michelle,female,75.68478860994432
8,Emily,career,78.01649838747186
9,Emily,family,74.21309276894375
10,Emily,male,80.81557670079357
11,Emily,female,71.73384769778767
12,Julia,career,82.88451881732826
13,Julia,family,78.36343123991102
14,Julia,male,82.26991982719552
15,Julia,female,75.45584866730088
16,Anna,career,85.49525845657583
17,Anna,family,81.98079251816408
18,Anna,male,84.33987213171149
19,Anna,female,78.02695316138072
20,Ben,career,82.65389623232699
21,Ben,family,79.83502487227119
22,Ben,male,80.63445825886438
23,Ben,female,79.49147081361441
24,Paul,career,79.91053107237279
25,Paul,family,77.43818268199718
26,Paul,male,80.49184493975697
27,Paul,female,74.3510932674604
28,Daniel,career,79.92144189439739
29,Daniel,family,76.35593861302154
30,Daniel,male,79.5887934772001
31,Daniel,female,72.96916240327266
32,John,career,77.5247260340745
33,John,family,74.56146631580027
34,John,male,80.51814413314275
35,John,female,71.7532665484515
36,Jeffrey,career,82.72878913882563
37,Jeffrey,family,79.12865798847076
38,Jeffrey,male,85.60872595210995
39,Jeffrey,female,77.734045282937
40,career,career,0.0
41,career,family,62.52258071503993
42,career,male,76.26874832211679
43,career,female,67.69997754607921
44,corporation,career,65.28395478208107
45,corporation,family,61.208564413550675
46,corporation,male,73.76491953511254
47,corporation,female,62.808218765447805
48,salary,career,67.28481058265206
49,salary,family,66.98662491930416
50,salary,male,79.64547593707306
51,salary,female,71.16284627874776
52,office,career,67.0162954966723
53,office,family,66.21513099898914
54,office,male,76.16198177185557
55,office,female,68.93369521984414
56,professional,career,62.099926883167576
57,professional,family,63.288101662510314
58,professional,male,71.6396077542444
59,professional,female,59.211371482226745
60,management,career,61.20557002734655
61,management,family,60.34174538175168
62,management,male,76.02218233133028
63,management,female,65.77125809309088
64,business,career,60.479047824004795
65,business,family,63.30459148816678
66,business,male,77.18193089959169
67,business,female,68.31560895965033
68,wedding,career,66.66414773292102
69,wedding,family,64.0216162995084
70,wedding,male,76.6316959327047
71,wedding,female,67.81477996413568
72,marriage,career,60.16763994807385
73,marriage,family,59.491331565399555
74,marriage,male,72.24317873547785
75,marriage,female,64.75726993132851
76,parents,career,63.980153404680635
77,parents,family,59.6545336945006
78,parents,male,75.53918012625549
79,parents,female,64.79190952958743
80,relatives,career,64.54003781557986
81,relatives,family,53.812313153180945
82,relatives,male,72.15112462731153
83,relatives,female,59.982019894085376
84,family,career,62.52258071503993
85,family,family,0.0
86,family,male,74.6228942997342
87,family,female,63.34152679553072
88,home,career,68.00248558294655
89,home,family,66.05796965035887
90,home,male,76.79611769430025
91,home,female,70.41103335053867
92,children,career,62.136503843845716
93,children,family,55.38859238783572
94,children,male,71.17943020827872
95,children,female,58.0986437918729
