,0,1,euclidean
0,rebecca,career,118.90153699458513
1,rebecca,family,115.29019938558723
2,rebecca,male,111.73734074507824
3,rebecca,female,116.50991974756595
4,michelle,career,122.76579121048036
5,michelle,family,119.94412924767137
6,michelle,male,115.2680348805457
7,michelle,female,117.35751498782543
8,emily,career,119.39173434668258
9,emily,family,116.29372678482315
10,emily,male,111.60634341176217
11,emily,female,115.32853023634715
12,julia,career,111.75397668737695
13,julia,family,111.93391774864835
14,julia,male,105.75259127685821
15,julia,female,113.66838026920057
16,anna,career,116.37192040201525
17,anna,family,111.66104013165693
18,anna,male,108.54588712080516
19,anna,female,109.98509332797423
20,ben,career,127.64580772643608
21,ben,family,129.62325352522456
22,ben,male,122.21617535535972
23,ben,female,131.74948101613052
24,paul,career,124.30421244741419
25,paul,family,124.35582514474794
26,paul,male,119.18188043453306
27,paul,female,124.33331673079994
28,daniel,career,123.77854233928855
29,daniel,family,122.20526585086286
30,daniel,male,115.52257240909628
31,daniel,female,122.85249645962223
32,john,career,119.45417303226792
33,john,family,114.77352535726374
34,john,male,113.74587227216517
35,john,female,113.12456625757623
36,jeffrey,career,126.43414109843962
37,jeffrey,family,123.98697803864908
38,jeffrey,male,119.66559253000881
39,jeffrey,female,126.50696907822599
40,career,career,0.0
41,career,family,94.04490054361521
42,career,male,107.69230189378119
43,career,female,103.10933266186254
44,corporation,career,100.38968429153692
45,corporation,family,101.13297578472084
46,corporation,male,103.08457771202644
47,corporation,female,112.56012135917598
48,salary,career,103.45581539015011
49,salary,family,109.02799445364977
50,salary,male,113.04096845024888
51,salary,female,114.99045448996927
52,office,career,101.31854253378786
53,office,family,100.65546820115513
54,office,male,103.64354972388865
55,office,female,109.01331925339386
56,professional,career,94.22602960151804
57,professional,family,96.08213893912257
58,professional,male,102.68085299095691
59,professional,female,91.2289347249472
60,management,career,91.61191711574168
61,management,family,96.53024196212321
62,management,male,108.6084194032155
63,management,female,109.7539056010256
64,business,career,83.99366820661247
65,business,family,88.87136102902154
66,business,male,107.89890567082927
67,business,female,98.50893095190945
68,wedding,career,103.21992113644677
69,wedding,family,99.72794134323553
70,wedding,male,111.62406430462163
71,wedding,female,106.35847739866074
72,marriage,career,97.84251061050676
73,marriage,family,96.52358270264766
74,marriage,male,108.37899262607799
75,marriage,female,111.0818482697589
76,parents,career,107.21646261617472
77,parents,family,99.23433542741267
78,parents,male,107.00088893990757
79,parents,female,114.8356183937439
80,relatives,career,122.55724053534585
81,relatives,family,111.66760644509009
82,relatives,male,120.22837384886677
83,relatives,female,126.44901126440358
84,family,career,94.04490054361521
85,family,family,0.0
86,family,male,102.10086384305751
87,family,female,93.95438597679515
88,home,career,123.74579117131526
89,home,family,123.69546525522613
90,home,male,126.29962762624479
91,home,female,128.76813633409782
92,children,career,113.8691795446684
93,children,family,105.88475208502145
94,children,male,113.77677346017796
95,children,female,119.15397235895651
