,0,1,euclidean
0,Rebecca,career,139.80175866111364
1,Rebecca,family,128.00563902381057
2,Rebecca,male,140.66486992852924
3,Rebecca,female,127.82146428343059
4,Michelle,career,135.68594569577002
5,Michelle,family,125.578481150969
6,Michelle,male,134.30515158015817
7,Michelle,female,125.83550096476213
8,Emily,career,131.27315725560288
9,Emily,family,119.10697148972413
10,Emily,male,129.81339489289502
11,Emily,female,119.80821197641855
12,Julia,career,133.07932882680225
13,Julia,family,121.95386828309796
14,Julia,male,131.24543153108303
15,Julia,female,124.5737176158152
16,Anna,career,136.59521519256333
17,Anna,family,125.17929538353378
18,Anna,male,135.66888864737686
19,Anna,female,125.11643245946166
20,Ben,career,134.04959200943227
21,Ben,family,131.34541159610632
22,Ben,male,129.6480044737514
23,Ben,female,134.48473816013492
24,Paul,career,132.3555050857082
25,Paul,family,121.16827351356889
26,Paul,male,132.32442122507695
27,Paul,female,122.65469270996833
28,Daniel,career,138.13328086142673
29,Daniel,family,128.21149904043526
30,Daniel,male,134.42770237667918
31,Daniel,female,132.05832707010018
32,John,career,136.28333917277453
33,John,family,123.39671464066485
34,John,male,136.41193571201512
35,John,female,123.42450197609793
36,Jeffrey,career,135.8515122118568
37,Jeffrey,family,125.82946083006372
38,Jeffrey,male,135.55724076735754
39,Jeffrey,female,128.17364616303317
40,career,career,0.0
41,career,family,94.04490054361521
42,career,male,107.69230189378119
43,career,female,103.10933266186254
44,corporation,career,100.38968429153692
45,corporation,family,101.13297578472084
46,corporation,male,103.08457771202644
47,corporation,female,112.56012135917598
48,salary,career,103.45581539015011
49,salary,family,109.02799445364977
50,salary,male,113.04096845024888
51,salary,female,114.99045448996927
52,office,career,101.31854253378786
53,office,family,100.65546820115513
54,office,male,103.64354972388865
55,office,female,109.01331925339386
56,professional,career,94.22602960151804
57,professional,family,96.08213893912257
58,professional,male,102.68085299095691
59,professional,female,91.2289347249472
60,management,career,91.61191711574168
61,management,family,96.53024196212321
62,management,male,108.6084194032155
63,management,female,109.7539056010256
64,business,career,83.99366820661247
65,business,family,88.87136102902154
66,business,male,107.89890567082927
67,business,female,98.50893095190945
68,wedding,career,103.21992113644677
69,wedding,family,99.72794134323553
70,wedding,male,111.62406430462163
71,wedding,female,106.35847739866074
72,marriage,career,97.84251061050676
73,marriage,family,96.52358270264766
74,marriage,male,108.37899262607799
75,marriage,female,111.0818482697589
76,parents,career,107.21646261617472
77,parents,family,99.23433542741267
78,parents,male,107.00088893990757
79,parents,female,114.8356183937439
80,relatives,career,122.55724053534585
81,relatives,family,111.66760644509009
82,relatives,male,120.22837384886677
83,relatives,female,126.44901126440358
84,family,career,94.04490054361521
85,family,family,0.0
86,family,male,102.10086384305751
87,family,female,93.95438597679515
88,home,career,123.74579117131526
89,home,family,123.69546525522613
90,home,male,126.29962762624479
91,home,female,128.76813633409782
92,children,career,113.8691795446684
93,children,family,105.88475208502145
94,children,male,113.77677346017796
95,children,female,119.15397235895651
