,0,1,euclidean
0,rebecca,career,436.9212211219663
1,rebecca,family,441.3097826885361
2,rebecca,male,444.3048898246486
3,rebecca,female,435.70109158440624
4,michelle,career,443.3316800626915
5,michelle,family,448.9378521615537
6,michelle,male,467.27630314471827
7,michelle,female,461.77147871923984
8,emily,career,426.3101463936247
9,emily,family,434.6810178443199
10,emily,male,475.3683787707562
11,emily,female,471.34532907109605
12,julia,career,416.6215539092389
13,julia,family,409.1379622232539
14,julia,male,409.9113026517569
15,julia,female,409.7793360303279
16,anna,career,443.2220340888147
17,anna,family,445.43339394176627
18,anna,male,435.73780448445797
19,anna,female,434.5004518263298
20,ben,career,487.4478261190518
21,ben,family,499.110878685899
22,ben,male,514.3558541120096
23,ben,female,525.0328985288364
24,paul,career,471.968008536663
25,paul,family,481.6577599779123
26,paul,male,512.8240551075593
27,paul,female,517.3967571588374
28,daniel,career,461.35040149460787
29,daniel,family,469.1583516983936
30,daniel,male,496.47601810214906
31,daniel,female,497.98359377898777
32,john,career,458.99407336389567
33,john,family,465.96239566808646
34,john,male,490.50187948913316
35,john,female,491.9818225208281
36,jeffrey,career,443.481327332311
37,jeffrey,family,451.7974002673253
38,jeffrey,male,476.96133957396904
39,jeffrey,female,474.8493750800429
40,career,career,0.0
41,career,family,360.4591989164891
42,career,male,444.1804166587107
43,career,female,413.6078275559951
44,corporation,career,341.51329097821593
45,corporation,family,343.60230507678017
46,corporation,male,413.2314388190302
47,corporation,female,386.22341699922845
48,salary,career,392.56660689294955
49,salary,family,399.9668489843177
50,salary,male,446.50035293018993
51,salary,female,446.114265815679
52,office,career,389.75138681503245
53,office,family,379.738202742152
54,office,male,431.5593003877033
55,office,female,412.5133551843086
56,professional,career,344.07929657405606
57,professional,family,390.82108756156396
58,professional,male,444.56114876408895
59,professional,female,394.0653639913411
60,management,career,320.18494618285837
61,management,family,352.04806215107226
62,management,male,426.1646273537768
63,management,female,409.0211775171259
64,business,career,348.4678160911481
65,business,family,364.8268009119032
66,business,male,461.35105517253913
67,business,female,432.818723682152
68,wedding,career,346.06278377357097
69,wedding,family,363.5432344715384
70,wedding,male,454.9536002196185
71,wedding,female,425.7068965130031
72,marriage,career,329.601162544528
73,marriage,family,354.4357509931163
74,marriage,male,422.39169091134016
75,marriage,female,397.77860520126524
76,parents,career,403.1891993882083
77,parents,family,368.3567564992008
78,parents,male,427.62308876524827
79,parents,female,422.01018093759836
80,relatives,career,368.4081856649923
81,relatives,family,326.5208964411527
82,relatives,male,390.43648145804394
83,relatives,female,381.1840266285196
84,family,career,360.4591989164891
85,family,family,0.0
86,family,male,425.44367323324116
87,family,female,397.5869588349713
88,home,career,394.1553800403405
89,home,family,389.27871364730703
90,home,male,433.37297615697963
91,home,female,411.21612973730845
92,children,career,364.8227077588095
93,children,family,338.63353727060854
94,children,male,410.28258086747746
95,children,female,385.9052364174775
